lemma	NOUN	abbr
$A	NOUN	acronym
$NZ	NOUN	acronym
&	SYM	abbreviation
+	SYM	abbreviation
/	PUNCT	abbreviation
358	PROPN	acronym
4F	PROPN	acronym
A&T	PROPN	acronym
A	NOUN	acronym
A/S	NOUN	acronym
A0	NOUN	acronym
A1	NOUN	acronym
A2	NOUN	acronym
A3	NOUN	acronym
A4	NOUN	acronym
A5	NOUN	acronym
AA	NOUN	acronym
AAL	PROPN	acronym
AAP	PROPN	acronym
ABB	PROPN	acronym
ABC	PROPN	acronym
ABS	NOUN	acronym
AC	NOUN	acronym
AC/DC	PROPN	acronym
ADAC	PROPN	acronym
ADP	NOUN	acronym
ADSL	NOUN	acronym
ADT	NOUN	acronym
AED	NOUN	acronym
AEGEE	PROPN	acronym
AEK	PROPN	acronym
AFA	NOUN	acronym
AFN	NOUN	acronym
AFP	PROPN	acronym
AFS	PROPN	acronym
AFTA	PROPN	acronym
AG	NOUN	acronym
AGEA	NOUN	acronym
AHKA	NOUN	acronym
AIA	PROPN	acronym
AICA	PROPN	acronym
AIECE	PROPN	acronym
AIESEC	PROPN	acronym
AIG	PROPN	acronym
AIV	NOUN	acronym
AKAVA	PROPN	acronym
AKE	PROPN	acronym
AKL	PROPN	acronym
AKS	PROPN	acronym
AKT	PROPN	acronym
AL	PROPN	acronym
ALBA	PROPN	acronym
ALK	NOUN	acronym
ALL	NOUN	acronym
ALS	NOUN	acronym
AM	PROPN	acronym
AMD	PROPN	acronym
AMR	PROPN	acronym
ANC	PROPN	acronym
ANG	NOUN	acronym
ANP	PROPN	acronym
ANSI	PROPN	acronym
ANWR	PROPN	acronym
AO	NOUN	acronym
AOA	NOUN	acronym
AOK	NOUN	acronym
AOL	PROPN	acronym
AON	NOUN	acronym
AOR	NOUN	acronym
AOVA	PROPN	acronym
AP	PROPN	acronym
APEC	PROPN	acronym
API	NOUN	acronym
ARA	PROPN	acronym
ARENE	PROPN	acronym
ARK	PROPN	acronym
ARL	NOUN	acronym
ARM	PROPN	acronym
ARP	NOUN	acronym
ARS	NOUN	acronym
AS	NOUN	acronym
ASA	NOUN	acronym
ASEAN	PROPN	acronym
ASEAN+3	PROPN	acronym
ASEM	PROPN	acronym
ASP	NOUN	acronym
ASX	PROPN	acronym
AT&T	PROPN	acronym
ATL	PROPN	acronym
ATS	NOUN	acronym
ATTAC	PROPN	acronym
AU$	NOUN	acronym
AU	PROPN	acronym
AUD	NOUN	acronym
AUK	NOUN	acronym
AVEA	PROPN	acronym
AVI	NOUN	acronym
AWG	NOUN	acronym
AYO	PROPN	acronym
AZM	NOUN	acronym
AZN	NOUN	acronym
Ab	ADV	abbreviation
AdultTV	PROPN	acronym
Af	NOUN	acronym
Ah	NOUN	acronym
Air100	PROPN	acronym
Airbnb	PROPN	acronym
Analyse2	PROPN	acronym
Arg$	NOUN	acronym
AsOYL	NOUN	acronym
B&B	NOUN	acronym
B	NOUN	acronym
B.A.	NOUN	abbreviation
B.S.	NOUN	abbreviation
B.Sc.	NOUN	abbreviation
B.o.B	PROPN	acronym
B9	PROPN	acronym
BA	NOUN	acronym
BAA	PROPN	acronym
BAD	NOUN	acronym
BAE	PROPN	acronym
BAIC	PROPN	acronym
BAM	NOUN	acronym
BAN	NOUN	acronym
BASF	PROPN	acronym
BATS	PROPN	acronym
BB&T	PROPN	acronym
BBC	PROPN	acronym
BBD	NOUN	acronym
BBVA	PROPN	acronym
BD	NOUN	acronym
BDS$	NOUN	acronym
BDT	NOUN	acronym
BE	PROPN	acronym
BEA	NOUN	acronym
BEC	NOUN	acronym
BEF	NOUN	acronym
BEL	NOUN	acronym
BF	NOUN	acronym
BGL	NOUN	acronym
BGM	NOUN	acronym
BGN	NOUN	acronym
BGO	NOUN	acronym
BHD	NOUN	acronym
BHP	PROPN	acronym
BIF	NOUN	acronym
BIS	PROPN	acronym
BKK	PROPN	acronym
BKT	NOUN	acronym
BMD	NOUN	acronym
BMI	PROPN	acronym
BMW	PROPN	acronym
BMWi	PROPN	acronym
BND	NOUN	acronym
BOA	PROPN	acronym
BOB	NOUN	acronym
BOJ	PROPN	acronym
BOL	NOUN	acronym
BOP	NOUN	acronym
BOV	NOUN	acronym
BP	PROPN	acronym
BRB	NOUN	acronym
BRC	NOUN	acronym
BRE	NOUN	acronym
BRL	NOUN	acronym
BRN	NOUN	acronym
BRR	NOUN	acronym
BRZ	NOUN	acronym
BSD	NOUN	acronym
BSE	NOUN	acronym
BSc	NOUN	acronym
BSkyB	PROPN	acronym
BT	PROPN	acronym
BTIG	PROPN	acronym
BTN	NOUN	acronym
BUK	NOUN	acronym
BWP	NOUN	acronym
BYB	NOUN	acronym
BYD	PROPN	acronym
BYR	NOUN	acronym
BZ$	NOUN	acronym
BZA	PROPN	acronym
BZD	NOUN	acronym
BayernLB	PROPN	acronym
Be	NOUN	acronym
Ber$	NOUN	acronym
Blue1	PROPN	acronym
Bq	NOUN	acronym
Br	NOUN	acronym
Bs	NOUN	acronym
C&A	PROPN	acronym
C	NOUN	acronym
CA$	NOUN	acronym
CAD	NOUN	acronym
CAF	PROPN	acronym
CAM	NOUN	acronym
CAT	NOUN	acronym
CBS	PROPN	acronym
CCCP	PROPN	acronym
CD	NOUN	acronym
CD-R	NOUN	acronym
CD-ROM	NOUN	acronym
CD-RW	NOUN	acronym
CDF	NOUN	acronym
CE	NOUN	acronym
CEA	NOUN	acronym
CECA	PROPN	acronym
CEFTA	PROPN	acronym
CEN	PROPN	acronym
CENTO	PROPN	acronym
CEP	PROPN	acronym
CEPS	PROPN	acronym
CERN	PROPN	acronym
CEVA/EGL	PROPN	acronym
CF	NOUN	acronym
CFPF	NOUN	acronym
CGI	PROPN	acronym
CHE	NOUN	acronym
CHF	NOUN	acronym
CHW	NOUN	acronym
CIA	PROPN	acronym
CICA	PROPN	acronym
CIE	PROPN	acronym
CIHEC	PROPN	acronym
CIMO	PROPN	acronym
CINT	PROPN	acronym
CIOFF	PROPN	acronym
CIPD	PROPN	acronym
CISV	PROPN	acronym
CIT	PROPN	acronym
CLE	NOUN	acronym
CLF	NOUN	acronym
CLP	NOUN	acronym
CN	NOUN	acronym
CNBC	PROPN	acronym
CNN	PROPN	acronym
CNPC	PROPN	acronym
CNS	NOUN	acronym
CNX	NOUN	acronym
CNY	NOUN	acronym
CO	NOUN	acronym
COD	NOUN	acronym
COMP	NOUN	acronym
COP	NOUN	acronym
COU	NOUN	acronym
CPM	PROPN	acronym
CPW	PROPN	acronym
CR	NOUN	acronym
CRA	PROPN	acronym
CRC	NOUN	acronym
CRH	PROPN	acronym
CSA	PROPN	acronym
CSD	NOUN	acronym
CSK	NOUN	acronym
CSR	PROPN	acronym
CT	NOUN	acronym
CTIA	PROPN	acronym
CUC	NOUN	acronym
CUP	NOUN	acronym
CV	NOUN	acronym
CVE	NOUN	acronym
CVEsc	NOUN	acronym
CYP	NOUN	acronym
CZ	NOUN	acronym
CZK	NOUN	acronym
Call99577	NOUN	acronym
Can$	NOUN	acronym
Canal+	PROPN	acronym
Ch$	NOUN	acronym
Cl	NOUN	acronym
Co	NOUN	acronym
Co.	NOUN	abbreviation
Col$	NOUN	acronym
Corp	NOUN	acronym
Corp.	NOUN	abbreviation
Cu	NOUN	acronym
DA	NOUN	acronym
DAB	NOUN	acronym
DAMA	PROPN	acronym
DAT	PROPN	acronym
DBRS	PROPN	acronym
