lemma	homonym	adptype
aikaan	ADP	genitive
aikana	ADP	genitive
ajalta	ADP	genitive
ajan	ADP	genitive
ajoilta	ADP	genitive
alapuolella	ADP	genitive
alapuolelle	ADP	genitive
alapuolelta	ADP	genitive
alas	ADP	partitive
ali	ADP	genitive
alitse	ADP	genitive
alkaen	ADP	elative
alkupuolella	ADP	genitive
alkuvaiheessa	ADP	genitive
alla	ADP	genitive
alle	ADP	genitive
alta	ADP	genitive
alussa	ADP	genitive
ansiosta	ADP	genitive
armoilla	ADP	genitive
armoille	ADP	genitive
arvosta	ADP	genitive
asemasta	ADP	genitive
asemesta	ADP	genitive
asti	ADP	partitive
avuksi	ADP	genitive
avulla	ADP	genitive
edelle	ADP	genitive
edelle	ADP	preposition
edellä	ADP	genitive
edessä	ADP	genitive
edestä	ADP	genitive
editse	ADP	genitive
edustalla	ADP	genitive
ennen	ADP	partitive
ennen	ADP	partitive
eteen	ADP	genitive
eteläpuolitse	ADP	genitive
etupuolitse	ADP	genitive
halki	ADP	genitive
hallussa	ADP	genitive
hallusta	ADP	genitive
haltuun	ADP	genitive
hampaissa	ADP	genitive
hampaista	ADP	genitive
hanttiin	ADP	partitive
huolimatta	ADP	partitive
huomassa	ADP	genitive
huostaan	ADP	genitive
huostassa	ADP	genitive
huostasta	ADP	genitive
hyväksi	ADP	genitive
hyväksi	ADP	genitive
hännille	ADP	genitive
hännillä	ADP	genitive
hänniltä	ADP	genitive
ilman	ADP	partitive
ilman	ADP	partitive
itäpuolitse	ADP	genitive
jaloissa	ADP	genitive
jaloista	ADP	genitive
johdolla	ADP	genitive
johdosta	ADP	genitive
johtoon	ADP	genitive
johtuen	ADP	genitive
joukkoon	ADP	genitive
joukossa	ADP	genitive
joukosta	ADP	genitive
juurella	ADP	genitive
juurelle	ADP	genitive
juuressa	ADP	genitive
jäljessä	ADP	genitive
jäljestä	ADP	genitive
jälkeen	ADP	genitive
kannalla	ADP	genitive
kannalle	ADP	genitive
kannoilla	ADP	genitive
kannoille	ADP	genitive
kannoilta	ADP	genitive
kanssa	ADP	genitive
katsoen	ADP	illative
katsomatta	ADP	illative
kautta	ADP	genitive
keinoin	ADP	genitive
kera	ADP	genitive
keralla	ADP	genitive
keralla	ADP	genitive
keralle	ADP	genitive
keskeen	ADP	genitive
keskelle	ADP	genitive
keskellä	ADP	genitive
keskeltä	ADP	genitive
kesken	ADP	genitive
keskitse	ADP	genitive
keskuudessa	ADP	genitive
keskuudesta	ADP	genitive
keskuuteen	ADP	genitive
kiinni	ADP	genitive
kiitos	ADP	genitive
kimppuun	ADP	genitive
kintereille	ADP	genitive
kohdalla	ADP	genitive
kohdalle	ADP	genitive
kohdalta	ADP	genitive
kohden	ADP	partitive
kohtaan	ADP	partitive
kohtaan	ADP	genitive
kohti	ADP	partitive
kohti	ADP	partitive
koskien	ADP	partitive
kourissa	ADP	genitive
kourista	ADP	genitive
kuivilla	ADP	preposition
kuiville	ADP	genitive
kuluessa	ADP	genitive
kuluttua	ADP	genitive
kupeella	ADP	genitive
kupeelle	ADP	genitive
kupeelta	ADP	genitive
kupeitse	ADP	genitive
kustannuksella	ADP	genitive
kuti	ADP	genitive
kuulten	ADP	genitive
kylläksi	ADP	genitive
käsiin	ADP	genitive
käsin	ADP	genitive
köniin	ADP	genitive
laidalla	ADP	genitive
laidalle	ADP	genitive
laidalta	ADP	genitive
laidassa	ADP	genitive
laidasta	ADP	genitive
lailla	ADP	genitive
laitaan	ADP	genitive
laskematta	ADP	partitive
likelle	ADP	genitive
likellä	ADP	genitive
likitse	ADP	genitive
lisäksi	ADP	genitive
lomassa	ADP	genitive
lomasta	ADP	genitive
lomitse	ADP	genitive
loppupuolella	ADP	genitive
loppupuolella	ADP	genitive
lopulla	ADP	genitive
lukien	ADP	genitive
lukuun ottamatta	ADP	partitive
lukuunottamatta	ADP	partitive
luo	ADP	genitive
luokse	ADP	genitive
luokse	ADP	genitive
luona	ADP	genitive
luota	ADP	genitive
luvalla	ADP	genitive
läheisyyteen	ADP	genitive
lähelle	ADP	genitive
lähellä	ADP	genitive
läheltä	ADP	genitive
lähemmä	ADP	genitive
lähemmäksi	ADP	genitive
lähemmäs	ADP	genitive
lähempänä	ADP	genitive
lähettyville	ADP	genitive
lähettyvillä	ADP	genitive
lähettyviltä	ADP	genitive
lähitse	ADP	genitive
lähtien	ADP	genitive
länsipuolitse	ADP	genitive
läpi	ADP	genitive
lävitse	ADP	genitive
mennessä	ADP	illative
mieliksi	ADP	genitive
miinus	ADP	partitive
muassa	ADP	genitive
mukaan	ADP	genitive
mukaan lukien	ADP	partitive
mukaanlukien	ADP	partitive
mukaisesti	ADP	genitive
mukana	ADP	genitive
muodossa	ADP	genitive
myöten	ADP	partitive
myötä	ADP	partitive
nenitse	ADP	genitive
nojalla	ADP	genitive
nojalla	ADP	genitive
nurkitse	ADP	genitive
nähden	ADP	illative
näkökulmasta	ADP	genitive
ohella	ADP	genitive
ohessa	ADP	genitive
ohesta	ADP	genitive
ohi	ADP	genitive
ohitse	ADP	genitive
osalta	ADP	genitive
ottamatta	ADP	partitive
paikalla	ADP	genitive
paikalla	ADP	genitive
paikalle	ADP	genitive
paikalta	ADP	genitive
paitsi	ADP	partitive
pariin	ADP	genitive
pariin	ADP	genitive
parissa	ADP	genitive
parista	ADP	genitive
perusteella	ADP	genitive
perustuen	ADP	genitive
perässä	ADP	genitive
perään	ADP	genitive
piiriin	ADP	genitive
pinnalla	ADP	genitive
pinnalle	ADP	genitive
pinnalta	ADP	genitive
pinnassa	ADP	genitive
pinnasta	ADP	genitive
pitkin	ADP	partitive
pitäen	ADP	partitive
pohjalla	ADP	genitive
pohjalle	ADP	genitive
pohjalta	ADP	genitive
pohjassa	ADP	genitive
pohjasta	ADP	genitive
poikitse	ADP	genitive
poikki	ADP	genitive
poislukien	ADP	genitive
puitteissa	ADP	genitive
puoleen	ADP	genitive
puolella	ADP	genitive
puolelle	ADP	genitive
puolelta	ADP	genitive
puolessa	ADP	genitive
puolesta	ADP	genitive
puolesta	ADP	genitive
puolitse	ADP	genitive
päin	ADP	partitive
päälle	ADP	genitive
päällitse	ADP	genitive
päällä	ADP	genitive
päältä	ADP	genitive
päässä	ADP	genitive
päästä	ADP	genitive
reunalla	ADP	genitive
reunalle	ADP	genitive
reunalta	ADP	genitive
reunassa	ADP	genitive
