lemma	homonym	adptype
aikaan	ADP	postposition
aikana	ADP	postposition
ajalta	ADP	postposition
ajan	ADP	postposition
ajoilta	ADP	postposition
alapuolella	ADP	postposition
alapuolelta	ADP	postposition
alas	ADP	postposition
ali	ADP	postposition
alitse	ADP	postposition
alkaen	ADP	postposition
alkupuolella	ADP	postposition
alkuvaiheessa	ADP	postposition
alla	ADP	postposition
alle	ADP	postposition
alta	ADP	postposition
alussa	ADP	postposition
ansiosta	ADP	postposition
armoilla	ADP	postposition
armoille	ADP	postposition
arvosta	ADP	postposition
asemasta	ADP	postposition
asemesta	ADP	postposition
asti	ADP	postposition
avuksi	ADP	postposition
avulla	ADP	postposition
edelle	ADP	preposition|postposition	
edellä	ADP	postposition
edessä	ADP	postposition
edestä	ADP	postposition
editse	ADP	postposition
edustalla	ADP	postposition
ennen	ADP	preposition|postposition
eteen	ADP	postposition
eteläpuolitse	ADP	postposition
etupuolitse	ADP	postposition
halki	ADP	postposition
hallussa	ADP	postposition
hallusta	ADP	postposition
haltuun	ADP	postposition
hampaissa	ADP	postposition
hampaista	ADP	postposition
hanttiin	ADP	postposition
huolimatta	ADP	postposition
huomassa	ADP	postposition
huostaan	ADP	postposition
huostassa	ADP	postposition
huostasta	ADP	postposition
hyväksi	ADP	postposition
hännille	ADP	postposition
hännillä	ADP	postposition
hänniltä	ADP	postposition
ilman	ADP	preposition|postposition
itäpuolitse	ADP	postposition
jaloissa	ADP	postposition
jaloista	ADP	postposition
johdolla	ADP	postposition
johdosta	ADP	postposition
johtoon	ADP	postposition
johtuen	ADP	postposition
joukkoon	ADP	postposition
joukossa	ADP	postposition
joukosta	ADP	postposition
juurella	ADP	postposition
juurelle	ADP	postposition
juuressa	ADP	postposition
jäljessä	ADP	postposition
jäljestä	ADP	postposition
jälkeen	ADP	postposition
kannalla	ADP	postposition
kannalle	ADP	postposition
kannoilla	ADP	postposition
kannoille	ADP	postposition
kannoilta	ADP	postposition
kanssa	ADP	postposition
katsoen	ADP	postposition
katsomatta	ADP	postposition
kautta	ADP	postposition
keinoin	ADP	postposition
kera	ADP	postposition
keralla	ADP	postposition
keralle	ADP	postposition
keskeen	ADP	postposition
keskelle	ADP	preposition
keskellä	ADP	postposition
keskeltä	ADP	postposition
kesken	ADP	postposition
keskitse	ADP	postposition
keskuudessa	ADP	postposition
keskuudesta	ADP	postposition
keskuuteen	ADP	postposition
kiinni	ADP	postposition
kiitos	ADP	preposition
kimppuun	ADP	postposition
kintereille	ADP	postposition
kohdalla	ADP	postposition
kohdalle	ADP	postposition
kohdalta	ADP	postposition
kohden	ADP	postposition
kohtaan	ADP	postposition
kohti	ADP	preposition|postposition
koskien	ADP	postposition
kourissa	ADP	postposition
kourista	ADP	postposition
kuivilla	ADP	preposition
kuiville	ADP	postposition
kuluessa	ADP	postposition
kuluttua	ADP	postposition
kupeella	ADP	postposition
kupeelle	ADP	postposition
kupeelta	ADP	postposition
kupeitse	ADP	postposition
kustannuksella	ADP	postposition
kuti	ADP	postposition
kuulten	ADP	postposition
kylläksi	ADP	postposition
käsiin	ADP	postposition
käsin	ADP	postposition
köniin	ADP	postposition
laidalla	ADP	postposition
laidalle	ADP	postposition
laidalta	ADP	postposition
laidassa	ADP	postposition
laidasta	ADP	postposition
lailla	ADP	postposition
laitaan	ADP	postposition
laskematta	ADP	postposition
likelle	ADP	postposition
likellä	ADP	postposition
likitse	ADP	postposition
lisäksi	ADP	postposition
lomassa	ADP	postposition
lomasta	ADP	postposition
lomitse	ADP	postposition
loppupuolella	ADP	postposition
lopulla	ADP	postposition
lukien	ADP	postposition
lukuunottamatta	ADP	postposition
luo	ADP	postposition
luokse	ADP	postposition
luona	ADP	postposition
luota	ADP	postposition
luvalla	ADP	postposition
läheisyyteen	ADP	postposition
lähelle	ADP	postposition
lähellä	ADP	postposition
läheltä	ADP	postposition
lähemmä	ADP	postposition
lähemmäksi	ADP	postposition
lähemmäs	ADP	postposition
lähempänä	ADP	postposition
lähettyville	ADP	postposition
lähettyvillä	ADP	postposition
lähettyviltä	ADP	postposition
lähitse	ADP	postposition
lähtien	ADP	postposition
länsipuolitse	ADP	postposition
läpi	ADP	postposition
lävitse	ADP	postposition
mennessä	ADP	postposition
mieliksi	ADP	postposition
miinus	ADP	postposition
muassa	ADP	postposition
mukaan	ADP	postposition
mukaanlukien	ADP	postposition
mukaisesti	ADP	postposition
mukana	ADP	postposition
muodossa	ADP	postposition
myöten	ADP	postposition
myötä	ADP	postposition
nenitse	ADP	postposition
nojalla	ADP	postposition
nurkitse	ADP	postposition
nähden	ADP	postposition
näkökulmasta	ADP	postposition
ohella	ADP	postposition
ohessa	ADP	postposition
ohesta	ADP	postposition
ohi	ADP	postposition
ohitse	ADP	postposition
osalta	ADP	postposition
ottamatta	ADP	postposition
paikalla	ADP	postposition
paikalle	ADP	postposition
paikalta	ADP	postposition
paitsi	ADP	postposition
pariin	ADP	postposition
parissa	ADP	postposition
parista	ADP	postposition
perusteella	ADP	postposition
perustuen	ADP	postposition
perässä	ADP	postposition
perään	ADP	postposition
piiriin	ADP	postposition
pinnalla	ADP	postposition
pinnalle	ADP	postposition
pinnalta	ADP	postposition
pinnassa	ADP	postposition
pinnasta	ADP	postposition
pitkin	ADP	postposition
pitäen	ADP	postposition
pohjalla	ADP	postposition
pohjalle	ADP	postposition
pohjalta	ADP	postposition
pohjassa	ADP	postposition
pohjasta	ADP	postposition
poikitse	ADP	postposition
poikki	ADP	postposition
poislukien	ADP	postposition
puitteissa	ADP	postposition
puoleen	ADP	postposition
puolella	ADP	postposition
puolelle	ADP	postposition
puolelta	ADP	postposition
puolessa	ADP	postposition
puolesta	ADP	postposition
puolitse	ADP	postposition
päin	ADP	postposition
päälle	ADP	postposition
päällitse	ADP	postposition
päällä	ADP	postposition
päältä	ADP	postposition
päässä	ADP	postposition
päästä	ADP	postposition
reunalla	ADP	postposition
reunalle	ADP	postposition
reunalta	ADP	postposition
reunassa	ADP	postposition
reunasta	ADP	postposition
riippuen	ADP	postposition
riippumatta	ADP	postposition
rinnalla	ADP	postposition
rinnalle	ADP	postposition
rinnalta	ADP	postposition
saakka	ADP	postposition
seassa	ADP	postposition
seasta	ADP	postposition
sekaan	ADP	postposition
selkään	ADP	postposition
seurauksena	ADP	postposition
sijaan	ADP	postposition
sijasta	ADP	postposition
sisälle	ADP	postposition
sisällä	ADP	postposition
sisältä	ADP	postposition
sisäpuolelta	ADP	postposition
sisäpuolitse	ADP	postposition
sisään	ADP	postposition
sitten	ADP	postposition
sivuitse	ADP	postposition
sivulla	ADP	postposition
suhteen	ADP	postposition
suhteessa	ADP	preposition
suojaan	ADP	postposition
suussa	ADP	postposition
suusta	ADP	postposition
taa	ADP	postposition
taakse	ADP	postposition
taholla	ADP	postposition
taholle	ADP	postposition
taholta	ADP	postposition
taitse	ADP	postposition
takaa	ADP	postposition
takana	ADP	postposition
takapuolitse	ADP	postposition
takia	ADP	postposition
tapauksessa	ADP	postposition
tarpeeksi	ADP	postposition
tasalla	ADP	postposition
tasalle	ADP	postposition
tasalta	ADP	postposition
tautta	ADP	postposition
tavalla	ADP	postposition
tielle	ADP	postposition
tienoilla	ADP	postposition
tieten	ADP	postposition
tiimoilta	ADP	postposition
tilalle	ADP	postposition
toimesta	ADP	postposition
tuella	ADP	postposition
tuntumaan	ADP	postposition
tuntumassa	ADP	postposition
tykö	ADP	postposition
tähden	ADP	postposition
ulkopuolella	ADP	postposition
ulkopuolelle	ADP	postposition
ulkopuolelta	ADP	postposition
ulos	ADP	postposition
ulottuviin	ADP	postposition
ulottuvilla	ADP	postposition
ulottuville	ADP	postposition
ulottuvilta	ADP	postposition
ulottuvissa	ADP	postposition
ulottuvista	ADP	postposition
vaiheilla	ADP	postposition
vaikutuksesta	ADP	postposition
vailla	ADP	postposition
vaille	ADP	postposition
vallassa	ADP	postposition
vallasta	ADP	postposition
valossa	ADP	postposition
valtaan	ADP	postposition
varaan	ADP	postposition
varalta	ADP	postposition
varassa	ADP	postposition
varasta	ADP	postposition
varrella	ADP	postposition
varrelle	ADP	postposition
varrelta	ADP	postposition
varressa	ADP	postposition
varresta	ADP	postposition
varsille	ADP	postposition
varten	ADP	postposition
vastaan	ADP	postposition
vastapäätä	ADP	postposition
vastassa	ADP	postposition
vasten	ADP	postposition
vastoin	ADP	postposition
verran	ADP	postposition
verrattuna	ADP	postposition
viereen	ADP	postposition
vierelle	ADP	postposition
vierellä	ADP	postposition
viereltä	ADP	postposition
vieressä	ADP	postposition
vierestä	ADP	postposition
vieritse	ADP	postposition
voimalla	ADP	postposition
voimasta	ADP	postposition
vuoksi	ADP	postposition
väliin	ADP	postposition
välille	ADP	postposition
välillä	ADP	postposition
väliltä	ADP	postposition
välissä	ADP	postposition
välistä	ADP	postposition
välitse	ADP	postposition
välttämättä	ADP	postposition
vängällä	ADP	postposition
ylettyville	ADP	postposition
yli	ADP	postposition
ylitse	ADP	postposition
ylle	ADP	postposition
yllä	ADP	postposition
yläpuolella	ADP	postposition
yläpuolelle	ADP	postposition
yläpuolitse	ADP	postposition
ylös	ADP	postposition
ympäri	ADP	postposition
ympärille	ADP	postposition
ympärillä	ADP	postposition
ympäriltä	ADP	postposition
ympäritse	ADP	postposition
ääreen	ADP	postposition
äärelle	ADP	postposition
äärellä	ADP	postposition
ääreltä	ADP	postposition
ääressä	ADP	postposition
äärestä	ADP	postposition
ääriin	ADP	postposition
