lemma	NOUN	blacklist
Aallokko	PROPN	propn-blocking
Aallonharja	PROPN	propn-blocking
Aalto	PROPN	propn-blocking
Aaltonen	PROPN	propn-blocking
Aamu	PROPN	propn-blocking
Aamunkoitto	PROPN	propn-blocking
Aamutähti	PROPN	propn-blocking
Aapa	PROPN	propn-blocking
Aaria	PROPN	propn-blocking
Aarni	PROPN	propn-blocking
Aarnio	PROPN	propn-blocking
Aarre	PROPN	propn-blocking
Aarrehauta	PROPN	propn-blocking
Aate	PROPN	propn-blocking
Aatos	PROPN	propn-blocking
Aatto	PROPN	propn-blocking
Aava	PROPN	propn-blocking
Aave	PROPN	propn-blocking
Aavikko	PROPN	propn-blocking
Ahava	PROPN	propn-blocking
Ahdinko	PROPN	propn-blocking
Ahjo	PROPN	propn-blocking
Ahkera	PROPN	propn-blocking
Ahma	PROPN	propn-blocking
Ahoniitty	PROPN	propn-blocking
Ahven	PROPN	propn-blocking
Aimo	PROPN	propn-blocking
Aina	PROPN	propn-blocking
Ainoa	PROPN	propn-blocking
Ainokainen	PROPN	propn-blocking
Airo	PROPN	propn-blocking
Airut	PROPN	propn-blocking
Aisti	PROPN	propn-blocking
Aistimus	PROPN	propn-blocking
Aitio	PROPN	propn-blocking
Aito	PROPN	propn-blocking
Aitta	PROPN	propn-blocking
Ajankulu	PROPN	propn-blocking
Ajo	PROPN	propn-blocking
Akka	PROPN	propn-blocking
Akku	PROPN	propn-blocking
Akseli	PROPN	propn-blocking
Ala	PROPN	propn-blocking
Alainen	PROPN	propn-blocking
Alajakso	PROPN	propn-blocking
Alamaa	PROPN	propn-blocking
Alamainen	PROPN	propn-blocking
Alamäki	PROPN	propn-blocking
Alapää	PROPN	propn-blocking
Alas	PROPN	propn-blocking
Alaselkä	PROPN	propn-blocking
Alasin	PROPN	propn-blocking
Alava	PROPN	propn-blocking
Alavirta	PROPN	propn-blocking
Ale	PROPN	propn-blocking
Alfa	PROPN	propn-blocking
Alhainen	PROPN	propn-blocking
Alimmainen	PROPN	propn-blocking
Alkio	PROPN	propn-blocking
Alku	PROPN	propn-blocking
Alla	PROPN	propn-blocking
Allekirjoittanut	PROPN	propn-blocking
Allianssi	PROPN	propn-blocking
Allikko	PROPN	propn-blocking
Allofoni	PROPN	propn-blocking
Alpakka	PROPN	propn-blocking
Alppi	PROPN	propn-blocking
Alta	PROPN	propn-blocking
Altis	PROPN	propn-blocking
Alun	PROPN	propn-blocking
Alus	PROPN	propn-blocking
Alusvesi	PROPN	propn-blocking
Ampuja	PROPN	propn-blocking
Ane	PROPN	propn-blocking
Angervo	PROPN	propn-blocking
Ani	PROPN	propn-blocking
Ankka	PROPN	propn-blocking
Ankkuri	PROPN	propn-blocking
Annansilmä	PROPN	propn-blocking
Ansa	PROPN	propn-blocking
Ansio	PROPN	propn-blocking
Anto	PROPN	propn-blocking
Apaja	PROPN	propn-blocking
Ape	PROPN	propn-blocking
Apila	PROPN	propn-blocking
Apilanurmi	PROPN	propn-blocking
Apilas	PROPN	propn-blocking
Apteekki	PROPN	propn-blocking
Apuri	PROPN	propn-blocking
Ara	PROPN	propn-blocking
Arkki	PROPN	propn-blocking
Armas	PROPN	propn-blocking
Armo	PROPN	propn-blocking
Aro	PROPN	propn-blocking
Arpi	PROPN	propn-blocking
Arvanheitto	PROPN	propn-blocking
Arvio	PROPN	propn-blocking
Arvo	PROPN	propn-blocking
As	PROPN	propn-blocking
Asema	PROPN	propn-blocking
Asento	PROPN	propn-blocking
Askar	PROPN	propn-blocking
Askel	PROPN	propn-blocking
Aspekti	PROPN	propn-blocking
Asteriski	PROPN	propn-blocking
Asti	PROPN	propn-blocking
Asu	PROPN	propn-blocking
Asuja	PROPN	propn-blocking
Asukas	PROPN	propn-blocking
Asuma	PROPN	propn-blocking
Asumaton	PROPN	propn-blocking
Asunto	PROPN	propn-blocking
Asuntola	PROPN	propn-blocking
Asuntomessut	PROPN	propn-blocking
Ateenalainen	PROPN	propn-blocking
Auki	PROPN	propn-blocking
Aukio	PROPN	propn-blocking
Aula	PROPN	propn-blocking
Aulis	PROPN	propn-blocking
Auma	PROPN	propn-blocking
Aura	PROPN	propn-blocking
Aurankurki	PROPN	propn-blocking
Aurinko	PROPN	propn-blocking
Autio	PROPN	propn-blocking
Autiomaa	PROPN	propn-blocking
Avara	PROPN	propn-blocking
Avokallio	PROPN	propn-blocking
Avomaa	PROPN	propn-blocking
Avonainen	PROPN	propn-blocking
Avuton	PROPN	propn-blocking
Bestseller	PROPN	propn-blocking
Biomassa	PROPN	propn-blocking
Biosfääri	PROPN	propn-blocking
Boomi	PROPN	propn-blocking
Burgundi	PROPN	propn-blocking
Demo	PROPN	propn-blocking
Diaspora	PROPN	propn-blocking
Diesel	PROPN	propn-blocking
Dilemma	PROPN	propn-blocking
Dingo	PROPN	propn-blocking
Dipoli	PROPN	propn-blocking
Dominikaaninen	PROPN	propn-blocking
Dumppi	PROPN	propn-blocking
Ebola	PROPN	propn-blocking
Ego	PROPN	propn-blocking
Ehto	PROPN	propn-blocking
Eile	PROPN	propn-blocking
Eine	PROPN	propn-blocking
Eksymä	PROPN	propn-blocking
Ele	PROPN	propn-blocking
