lemma	NOUN	boundaries
aakkosjärjestys	NOUN	aakkos{WB}järjestys
aakkoskeitto	NOUN	aakkos{WB}keitto
aakkoskirjain	NOUN	aakkos{WB}kirjain
aakkoslaji	NOUN	aakkos{WB}laji
aakkosnumeerinen	ADJ	aakkos{WB}numeerinen
aakkosruno	NOUN	aakkos{WB}runo
Aalintie	PROPN	Aalin{WB}tie
aallonharja	NOUN	aallon{WB}harja
aallonmurtaja	NOUN	aallon{WB}murtaja
aallonpituus	NOUN	aallon{WB}pituus
aallonpohja	NOUN	aallon{WB}pohja
Aallontie	PROPN	Aallon{WB}tie
aaloeheimo	NOUN	aaloe{WB}heimo
aaltoallas	NOUN	aalto{WB}allas
aaltoalue	NOUN	aalto{WB}alue
aaltoenergia	NOUN	aalto{WB}energia
aaltohiukkasdualismi	NOUN	aaltohiukkas{WB}dualismi
aaltokulma	NOUN	aalto{WB}kulma
aaltolevy	NOUN	aalto{WB}levy
aaltoliike	NOUN	aalto{WB}liike
aaltoluku	NOUN	aalto{WB}luku
aaltomekaniikka	NOUN	aalto{WB}mekaniikka
aaltomuoto	NOUN	aalto{WB}muoto
aaltopahvi	NOUN	aalto{WB}pahvi
aaltopelti	NOUN	aalto{WB}pelti
aaltopeltivaja	NOUN	aaltopelti{WB}vaja
aaltopituus	NOUN	aalto{WB}pituus
aaltoputki	NOUN	aalto{WB}putki
aaltoreunainen	ADJ	aalto{WB}reunainen
aaltorintama	NOUN	aalto{WB}rintama
aaltosarja	NOUN	aalto{WB}sarja
aaltosulje	NOUN	aalto{WB}sulje
aaltosulku	NOUN	aalto{WB}sulku
aaltosulkumerkki	NOUN	aalto{WB}sulku{WB}merkki
aaltoteoria	NOUN	aalto{WB}teoria
aaltoviiva	NOUN	aalto{WB}viiva
aaltovoimala	NOUN	aalto{WB}voimala
aaltoyhtälö	NOUN	aalto{WB}yhtälö
aamiaisaika	NOUN	aamiais{WB}aika
aamiaismajoitus	NOUN	aamiais{WB}majoitus
aamiaisnurkka	NOUN	aamiais{WB}nurkka
aamiaispaikka	NOUN	aamiais{WB}paikka
aamiaispöytä	NOUN	aamiais{WB}pöytä
aamiaisruoka	NOUN	aamiais{WB}ruoka
aamiaistapaaminen	NOUN	aamiais{WB}tapaaminen
aamiaistee	NOUN	aamiais{WB}tee
aamiaistunti	NOUN	aamiais{WB}tunti
aamuaskare	NOUN	aamu{WB}askare
aamuasu	NOUN	aamu{WB}asu
aamuateria	NOUN	aamu{WB}ateria
aamuhartaus	NOUN	aamu{WB}hartaus
aamuhämärä	NOUN	aamu{WB}hämärä
aamujumalanpalvelus	NOUN	aamu{WB}jumalan{WB}palvelus
aamujuna	NOUN	aamu{WB}juna
aamukahdeksan	NOUN	aamu{WB}kahdeksan
aamukahvi	NOUN	aamu{WB}kahvi
aamukaksi	NOUN	aamu{WB}kaksi
aamukampa	NOUN	aamu{WB}kampa
aamukaste	NOUN	aamu{WB}kaste
aamukoi	NOUN	aamu{WB}koi
aamukolme	NOUN	aamu{WB}kolme
aamukuusi	NOUN	aamu{WB}kuusi
aamukylmä	ADJ	aamu{WB}kylmä
aamukymmenen	NOUN	aamu{WB}kymmenen
aamulehti	NOUN	aamu{WB}lehti
aamulenkki	NOUN	aamu{WB}lenkki
aamulypsy	NOUN	aamu{WB}lypsy
aamulähetys	NOUN	aamu{WB}lähetys
aamulämpö	NOUN	aamu{WB}lämpö
aamunavaus	NOUN	aamun{WB}avaus
aamuneljä	NOUN	aamu{WB}neljä
aamunkoi	NOUN	aamun{WB}koi
aamunkoite	NOUN	aamun{WB}koite
aamunkoitto	NOUN	aamun{WB}koitto
aamunraikas	ADJ	aamun{WB}raikas
aamunsarastus	NOUN	aamun{WB}sarastus
aamuntorkku	NOUN	aamun{WB}torkku
aamunvirkku	NOUN	aamun{WB}virkku
aamupahoinvointi	NOUN	aamu{WB}pahoin{WB}vointi
aamupala	NOUN	aamu{WB}pala
aamupalvelus	NOUN	aamu{WB}palvelus
aamupesu	NOUN	aamu{WB}pesu
aamupuku	NOUN	aamu{WB}puku
aamupuoli	NOUN	aamu{WB}puoli
aamupäivä	NOUN	aamu{WB}päivä
aamupäivätee	NOUN	aamu{WB}päivä{WB}tee
aamurusko	NOUN	aamu{WB}rusko
aamuruuhka	NOUN	aamu{WB}ruuhka
aamuryyppy	NOUN	aamu{WB}ryyppy
aamuseitsemän	NOUN	aamu{WB}seitsemän
aamusoitto	NOUN	aamu{WB}soitto
aamutakki	NOUN	aamu{WB}takki
