lemma	homonym	original-ktn
aavameri	2	50
ahkeraliisa	1	50
ahtaus	1	40
ahtaus	2	40
aika	1	9
aitoamaryllis	1	50
aito	1	99
aitosuomalainen	1	50
aitosuomalaisuus	1	50
aitosyöpä	1	50
aitotumallinen	1	50
aitotumallinen	2	50
aitotumallinen	3	50
aitotumallinen	4	50
aneurysma	1	10
bed and breakfast	1	99
bileet	1	20
eukkonen	1	99
forte	1	8
fortissimo	1	2
hapanimelä	1	50
hapanimeläkastike	1	50
hapanjuuri	1	50
hapankaali	1	50
hapankerma	1	50
hapankorppu	1	50
hapanleipä	1	50
hapannaama	1	50
hapantaikina	1	50
happy hour	1	99
harmaa-asteikko	1	50
harmaahaikara	1	50
harmaahapsi	1	50
harmaahapsi	2	50
harmaahapsi	3	50
harmaahapsi	4	50
harmaahome	1	50
harmaahylje	1	50
harmaakaihi	1	50
harmaakaihi	2	50
harmaakarhu	1	50
harmaakiilto	1	50
harmaakivi	1	50
harmaaleppä	1	50
harmaalokki	1	50
harmaanieriä	1	50
harmaaparta	1	50
harmaapää	1	50
harmaasieppo	1	50
harmaatuonti	1	50
harmaavarpunen	1	50
helppoheikki	1	50
herkkäilmeinen	1	18
hidaskatu	1	50
hienohelma	1	50
hienomekaanikko	1	50
hienomekaniikka	1	50
hienomotoriikka	1	50
hienopaperi	1	50
hienopesu	1	50
hienorakenne	1	50
hienosahaus	1	50
hienosaippua	1	50
hienosokeri	2	50
hienosäädin	1	50
hienosäätö	1	50
hohtojalokivi	1	50
hoosianna	1	9
huimapää	1	50
hullujussi	1	50
hullukaali	1	50
hulluruoho	1	50
humala	1	10
hurjapää	1	50
hämäräkytkin	1	50
hämärämies	1	50
hämäränäkö	1	50
hämäräsokea	1	50
hämäräsokea	2	50
hämäräsokeus	1	50
hämärätila	1	50
höykänen	1	99
ilmoinen	1	99
imelälimppu	1	50
imukärhivilliviini	1	50
isohirvenjäkälä	1	50
isoisoisä	1	50
isoisovanhemmat	1	50
isoisoäiti	1	50
isoisä	1	50
isojako	2	50
isokuovi	2	50
isokäpylintu	2	50
isolepinkäinen	2	50
isolokki	2	50
