lemma	homonym	new_para	clitics
aakkosellisesti	1	PCLE_NOPEASTI	opt
aakkosittain	1	PCLE_NOPEASTI	opt
aalloittain	1	PCLE_NOPEASTI	opt
aasimaisesti	1	PCLE_NOPEASTI	opt
aatteellisesti	1	PCLE_NOPEASTI	opt
aavemaisesti	1	PCLE_NOPEASTI	opt
absoluuttisesti	1	PCLE_NOPEASTI	opt
abstraktisesti	1	PCLE_NOPEASTI	opt
abstraktisti	1	PCLE_NOPEASTI	opt
absurdisti	1	PCLE_NOPEASTI	opt
adekvaatisti	1	PCLE_NOPEASTI	opt
adjektiivisesti	1	PCLE_NOPEASTI	opt
adverbiaalisesti	1	PCLE_NOPEASTI	opt
adverbisesti	1	PCLE_NOPEASTI	opt
adversatiivisesti	1	PCLE_NOPEASTI	opt
aerodynaamisesti	1	PCLE_NOPEASTI	opt
affektiivisesti	1	PCLE_NOPEASTI	opt
affektisesti	1	PCLE_NOPEASTI	opt
aggressiivisesti	1	PCLE_NOPEASTI	opt
agnostisesti	1	PCLE_NOPEASTI	opt
ahdashenkisesti	1	PCLE_TYHMÄSTI	opt
ahdasmielisesti	1	PCLE_TYHMÄSTI	opt
ahdasnäköisesti	1	PCLE_TYHMÄSTI	opt
ahdasrajaisesti	1	PCLE_NOPEASTI	opt
ahdistuneesti	1	PCLE_NOPEASTI	opt
ahkerasti	1	PCLE_NOPEASTI	opt
ahnaasti	1	PCLE_NOPEASTI	opt
ahneesti	1	PCLE_NOPEASTI	opt
ahtaasti	1	PCLE_NOPEASTI	opt
aidosti	1	PCLE_NOPEASTI	opt
aiheellisesti	1	PCLE_NOPEASTI	opt
aiheettomasti	1	PCLE_NOPEASTI	opt
aikaan	2	PCLE_VALTAAN	opt
aina	1	PCLE_KOTONA	opt
aistikkaasti	1	PCLE_NOPEASTI	opt
aistillisesti	1	PCLE_NOPEASTI	opt
ajallisesti	1	PCLE_NOPEASTI	opt
ajanmukaisesti	1	PCLE_NOPEASTI	opt
ajattelemattomasti	1	PCLE_NOPEASTI	opt
ajattomasti	1	PCLE_NOPEASTI	opt
ajatuksellisesti	1	PCLE_NOPEASTI	opt
ajatuksettomasti	1	PCLE_NOPEASTI	opt
ajoittain	1	PCLE_NOPEASTI	opt
akateemisesti	1	PCLE_NOPEASTI	opt
akkamaisesti	1	PCLE_NOPEASTI	opt
aksiaalisesti	1	PCLE_NOPEASTI	opt
aksiomaattisesti	1	PCLE_NOPEASTI	opt
aktiivisesti	1	PCLE_NOPEASTI	opt
aktuaalisesti	1	PCLE_NOPEASTI	opt
akustisesti	1	PCLE_NOPEASTI	opt
akuutisti	1	PCLE_NOPEASTI	opt
ala-arvoisesti	1	PCLE_NOPEASTI	opt
alakanttiin	1	PCLE_VALTAAN	opt
alakuloisesti	1	PCLE_NOPEASTI	opt
alamaisesti	1	PCLE_NOPEASTI	opt
alasti	1	PCLE_NOPEASTI	opt
alentavasti	1	PCLE_NOPEASTI	opt
alentuvaisesti	1	PCLE_NOPEASTI	opt
alentuvasti	1	PCLE_NOPEASTI	opt
alhaisesti	1	PCLE_NOPEASTI	opt
alituisesti	1	PCLE_NOPEASTI	opt
alkeellisesti	1	PCLE_NOPEASTI	opt
alkukantaisesti	1	PCLE_NOPEASTI	opt
alkuperäisesti	1	PCLE_TYHMÄSTI	opt
allegorisesti	1	PCLE_NOPEASTI	opt
aloittain	1	PCLE_NOPEASTI	opt
altruistisesti	1	PCLE_NOPEASTI	opt
alttiisti	1	PCLE_NOPEASTI	opt
alueellisesti	1	PCLE_NOPEASTI	opt
alueittain	1	PCLE_NOPEASTI	opt
alustavasti	1	PCLE_NOPEASTI	opt
ammateittain	1	PCLE_NOPEASTI	opt
ammatillisesti	1	PCLE_NOPEASTI	opt
ammattimaisesti	1	PCLE_NOPEASTI	opt
