lemma	homonym	lex
-ehtoisesti	ADV	dersti
-eleisesti	ADV	dersti
-hakuisesti	ADV	dersti
-kertaisesti	ADV	dersti
-kohtaisesti	ADV	dersti
-kätisesti	ADV	dersti
-mielisesti	ADV	dersti
-omaisesti	ADV	dersti
-painoisesti	ADV	dersti
-painotteisesti	ADV	dersti
-pohjaisesti	ADV	dersti
-puoleisesti	ADV	dersti
-sanaisesti	ADV	dersti
-selkäisesti	ADV	dersti
-silmäisesti	ADV	dersti
-syntyisesti	ADV	dersti
-säätöisesti	ADV	dersti
-tehoisesti	ADV	dersti
-tekoisesti	ADV	dersti
-tunteisesti	ADV	dersti
-tuntoisesti	ADV	dersti
-uskoisesti	ADV	dersti
-vaikutteisesti	ADV	dersti
-vaistoisesti	ADV	dersti
-valtaisesti	ADV	dersti
-varaisesti	ADV	dersti
-vastuisesti	ADV	dersti
-viivaisesti	ADV	dersti
-voimaisesti	ADV	dersti
-voittoisesti	ADV	dersti
-äänisesti	ADV	dersti
aakkosellisesti	ADV	dersti
aakkosittain	ADV	derttain
aalloittain	ADV	derttain
aasimaisesti	ADV	dersti
aatteellisesti	ADV	dersti
aavemaisesti	ADV	dersti
absoluuttisesti	ADV	dersti
abstraktisesti	ADV	dersti
abstraktisti	ADV	dersti
absurdisti	ADV	dersti
adekvaatisti	ADV	dersti
adjektiivisesti	ADV	dersti
adverbiaalisesti	ADV	dersti
adverbisesti	ADV	dersti
adversatiivisesti	ADV	dersti
aerodynaamisesti	ADV	dersti
affektiivisesti	ADV	dersti
affektisesti	ADV	dersti
aggressiivisesti	ADV	dersti
agnostisesti	ADV	dersti
ahdashenkisesti	ADV	dersti
ahdasmielisesti	ADV	dersti
ahdasnäköisesti	ADV	dersti
ahdasrajaisesti	ADV	dersti
ahdistuneesti	ADV	dersti
ahkerammin	ADV	Comp
ahkerasti	ADV	dersti
ahnaasti	ADV	dersti
ahneesti	ADV	dersti
ahtaasti	ADV	dersti
aidosti	ADV	dersti
aiemmin	ADV	Comp
aiempi	ADJ	Comp
aiheellisesti	ADV	dersti
aiheettomasti	ADV	dersti
aikaisemmin	ADV	Comp
aistikkaasti	ADV	dersti
aistillisesti	ADV	dersti
ajallisesti	ADV	dersti
ajanmukaisesti	ADV	dersti
ajattelemattomasti	ADV	dersti
ajattomasti	ADV	dersti
ajatuksellisesti	ADV	dersti
ajatuksettomasti	ADV	dersti
ajoittain	ADV	derttain
akateemisesti	ADV	dersti
akkamaisesti	ADV	dersti
aksiaalisesti	ADV	dersti
aksiomaattisesti	ADV	dersti
aktiivisemmin	ADV	Comp
aktiivisesti	ADV	dersti
aktuaalisesti	ADV	dersti
akustisesti	ADV	dersti
akuutisti	ADV	dersti
ala-arvoisesti	ADV	dersti
alakuloisesti	ADV	dersti
alamaisesti	ADV	dersti
alasti	ADV	dersti
alastomimmillaan	ADV	Superl
alemma	ADV	Comp
alemmaksi	ADV	Comp
alemmas	ADV	Comp
alempaa	ADV	Comp
alempana	ADV	Comp
alempi	ADJ	Comp
alentavasti	ADV	dersti
alentuvaisesti	ADV	dersti
alentuvasti	ADV	dersti
alhaisesti	ADV	dersti
alhaisimmillaan	ADV	Superl
