3 Step IT	PROPN	acronym
ABN AMRO	PROPN	acronym
Air France-KLM	PROPN	acronym
B & B	NOUN	acronym
Banco BPI	PROPN	acronym
Bank Zadhodni WBK	PROPN	acronym
Bureau ICE	PROPN	acronym
Carl’s Jr	PROPN	acronym
CMA CGM	PROPN	acronym
Commerce Guys S.A.S	PROPN	acronym
Daniel Stewart & Co	PROPN	acronym
dir. cant.	NOUN	abbreviation
DnB NOR	PROPN	acronym
Dream Works SKG	PROPN	acronym
DSV Air & Sea SAS	PROPN	acronym
Eräjärven SP	PROPN	acronym
et al.	NOUN	abbreviation
EU 27	PROPN	acronym
Euro RSCG	PROPN	acronym
FEPCO 1	PROPN	acronym
Fiat SpA	PROPN	acronym
Forum 18	PROPN	acronym
General Motors Co	PROPN	acronym
Global Gaming Factory X	PROPN	acronym
Groupe BPCE	PROPN	acronym
Harri Savunen & Co	PROPN	acronym
Heinolan Palloilijat -47	PROPN	acronym
Helsingin Kiri -60	PROPN	acronym
Helsingin NMKY	PROPN	acronym
Helsingin OP	PROPN	acronym
Helsingin OPKK	PROPN	acronym
Hollolan Urheilijat -46	PROPN	acronym
JP Morgan Chase & Co	PROPN	acronym
JPMorgan Chase & Co	PROPN	acronym
K Sh	NOUN	acronym
Kangasala SK	PROPN	acronym
Keravan Kori-80	PROPN	acronym
KeuPa HT	PROPN	acronym
Kiteen Pallo -90	PROPN	acronym
Knight Frank LLP	PROPN	acronym
KoMu HT	PROPN	acronym
Kuntien Tekniset KTK	PROPN	acronym
Kurikan OP	PROPN	acronym
Kustaa III	NOUN	acronym
Lahden Suunnistajat -37	PROPN	acronym
Lappeenrannan NMKY	PROPN	acronym
Levi Strauss & Co	PROPN	acronym
Lloyds TSB	PROPN	acronym
Mainostoimisto 96	PROPN	acronym
Manse PP	PROPN	acronym
MF Global Finance USA	PROPN	acronym
Mirgor SACIFIA	PROPN	acronym
Mitsubishi UFJ	PROPN	acronym
Mitsui & Co	PROPN	acronym
MOEX Offshore 2007	PROPN	acronym
Munsala IK	PROPN	acronym
Muutos 2011	PROPN	acronym
Mynämäen Suunnistajat -52	PROPN	acronym
NA f.	NOUN	abbreviation
Nasdaq OMX	PROPN	acronym
Nova KBM	PROPN	acronym
Nurmon Urheilijat -99	PROPN	acronym
Oulun NMKY	PROPN	acronym
Paulson & Co	PROPN	acronym
Pellervon taloustutkimus PTT	PROPN	acronym
Phillips 66	PROPN	acronym
Pöyry CM	PROPN	acronym
Purcell & Co	PROPN	acronym
Rahastoyhtiö Seligson & Co	PROPN	acronym
Rakennusteollisuus RT	PROPN	acronym
Rhythm Watch Co	PROPN	acronym
s. d.	NOUN	abbreviation
Saab Parts GB	PROPN	acronym
sacr. min. kand.	NOUN	abbreviation
Santander BR	PROPN	acronym
Seligson & Co	PROPN	acronym
SL Re	NOUN	acronym
So. Sh.	NOUN	abbreviation
STX OSV	PROPN	acronym
Suomen UNICEF	PROPN	acronym
Suomi-Soffa SSF	PROPN	acronym
Sweco PM	PROPN	acronym
T Sh	NOUN	acronym
Tampereen Urheilijat -38	PROPN	acronym
Teknologian tutkimuskeskus VTT	PROPN	acronym
TEO LT	PROPN	acronym
Tiffany & Co	PROPN	acronym
TJ	NOUN   	acronym
T-Mobile USA	PROPN	acronym
Tornion Lentis –88	PROPN	acronym
Turun NMKY	PROPN	acronym
U Sh	NOUN	acronym
Viestintäyhdistys A&O	PROPN	acronym
Vihdin Lentopallo-90	PROPN	acronym
Voimaosakeyhtiö SF	PROPN	acronym
Vola.ro Student Adventure SRL	PROPN	acronym
Volvo IT	PROPN	acronym
Walt Disney Co	PROPN	acronym
Westend ICT	PROPN	acronym
Windows 95	NOUN	acronym
Yhdistys 9	PROPN	acronym
