Aatamin ja Eevan kivet	PROPN	obligatory
Aavasaksan Urheilijat	PROPN	obligatory
Agronomivirkamiehet ja toimihenkilöt	PROPN	obligatory
Ahon Matin saaret	PROPN	obligatory
Ahtaus- ja Huolinta-alan Tekniset	PROPN	obligatory
Aittaojan seljänteet	PROPN	obligatory
Akava Erityisalat	PROPN	obligatory
Akavan Erityisalat	PROPN	obligatory
Akavan kirkolliset ammattiliitot	PROPN	obligatory
Aku-Jounin Aitasijajärvet	PROPN	obligatory
Ala-Antin kentät	PROPN	obligatory
Alajärven Ankkurit	PROPN	obligatory
Alankomaiden Antillit	PROPN	obligatory
Alatornion Pirkat	PROPN	obligatory
Alavuden Peli-Veikot	PROPN	obligatory
Alavuden Urheilijat	PROPN	obligatory
Andamaanit ja Nikobaarit	PROPN	obligatory
Anna Greetan järvet	PROPN	obligatory
Anonyymit Ylensyöjät	PROPN	obligatory
Antin Pyytämäjärvet	PROPN	obligatory
Automatia Pankkiautomaatit	PROPN	obligatory
Bella Veneet	PROPN	obligatory
Brittiläiset Neitsytsaaret	PROPN	obligatory
Budolajien suomalaiset kattojärjestöt	PROPN	obligatory
Capris Keittiöt	PROPN	obligatory
Demokratian Pioneerit	PROPN	obligatory
Dennis Yhtiöt	PROPN	obligatory
Depp Työpsykologiset palvelut	PROPN	obligatory
Diacor Terveyspalvelut	PROPN	obligatory
Eeliskerin Pohjakarit	PROPN	obligatory
Ekologinen puolue Vihreät	PROPN	obligatory
Elektroniikan tukkukauppiaat	PROPN	obligatory
Espoon Moottorilentäjät	PROPN	obligatory
Espoon Tapiot	PROPN	obligatory
Eteläiset Sandwichsaaret	PROPN	obligatory
Etelä-Pohjanmaan Yrittäjät	PROPN	obligatory
Etelä-Suomen Sanomat	PROPN	obligatory
Etelä-Vantaan Urheilijat	PROPN	obligatory
Evankeliset opiskelijat	PROPN	obligatory
Evankeliset ystävät	PROPN	obligatory
Evijärven Urheilijat	PROPN	obligatory
Fazer Leipomot	PROPN	obligatory
Fazer Makeiset	PROPN	obligatory
Filosofian ja elämänkatsomustiedon opettajat	PROPN	obligatory
Forssan Koripojat	PROPN	obligatory
GWS Yhtiöt	PROPN	obligatory
Haapajärven Kiilat	PROPN	obligatory
Haapajärven Pesä-Kiilat	PROPN	obligatory
Haka-Heikin saaret	PROPN	obligatory
Halikon Hakoniskat	PROPN	obligatory
Halkokarin Ulkomatalat	PROPN	obligatory
Hallinto-opin kandidaatit	PROPN	obligatory
Haminan Palloilijat	PROPN	obligatory
