Āddī Ugrī	PROPN	i
Ákra Agía Aikateriní	PROPN	i
Ákra Almyroú	PROPN	u
Ákra Ochtoniá	PROPN	a
Ákra Trypití	PROPN	i
Aserrío de Gariché	PROPN	e
Baltoji Vokė	PROPN	e
Ban Houayxay	PROPN	i
Benešov nad Ploučnicí	PROPN	i
Berkshire Hathaway	PROPN	i
Best Buy	PROPN	i
Bohušovice nad Ohří	PROPN	i
Brandýs nad Orlicí	PROPN	i
Broken Arrow	PROPN	u
Budyně nad Ohří	PROPN	i
Bureau International Permanent de la Paix	PROPN	e
Cape Girardeau	PROPN	o
Česká Třebová	PROPN	a
Charlotte Amalie	PROPN	i
CIBE Participação	PROPN	u
Concepcion del Uruguay	PROPN	i
Concepción del Uruguay	PROPN	i
Cool Blue	PROPN	u
Cruz Bay	PROPN	i
Curuzú Cuatiá	PROPN	a
Development Assistance Committee	PROPN	i
Dickenson Bay	PROPN	i
Discovery Bay	PROPN	i
drag show	NOUN	u
Eat and Joy	PROPN	i
El Copé	PROPN	e
El Espavé	PROPN	e
First Fellow	PROPN	u
Five Below	PROPN	u
floor show	NOUN	u
Frýdlant nad Ostravicí	PROPN	i
Gafanha da Nazaré	PROPN	e
Golden Rax Pizzabuffet	PROPN	e
Grande Prairie	PROPN	i
Green Bay	PROPN	i
Hervey Bay	PROPN	i
Hi Fly	PROPN	i
Homa Bay	PROPN	i
Horní Planá	PROPN	a
Hradec Králové	PROPN	e
Hradec nad Moravicí	PROPN	i
Iónia Nisiá	PROPN	a
Ivanovice na Hané	PROPN	e
Jablonné nad Orlicí	PROPN	i
Jablonné v Podještědí	PROPN	i
Kaló Chorió	PROPN	o
Káto Makrinoú	PROPN	u
Káto Vrontoú	PROPN	u
Kemira GrowHow	PROPN	u
Klášterec nad Ohří	PROPN	i
Kólpos Ierissoú	PROPN	u
Kólpos Orfanoú	PROPN	u
Kostelec nad Orlicí	PROPN	i
Kostelec na Hané	PROPN	e
Kudowa Zdrój	PROPN	i
Kudowa Zdroj	PROPN	i
Kynšperk nad Ohří	PROPN	i
Kyrá Panagiá	PROPN	a
La Malbaie	PROPN	i
La Prairie	PROPN	i
Latrebo Valley	PROPN	i
Le Bon Marché	PROPN	e
Le Puy-en-Velay	PROPN	i
Let’s Powwow	PROPN	u
LG Display	PROPN	i
Límni Pineioú	PROPN	u
Límni Tavropoú	PROPN	u
Límni Voulkariá	PROPN	a
Lomnice nad Lužnicí	PROPN	i
Loutrá Aidipsoú	PROPN	u
Lycksalighetens Ö	PROPN	ö
Mbamba Bay	PROPN	i
Megálo Chorió	PROPN	o
Městec Králové	PROPN	e
Milltown Malbay	PROPN	i
Mīnā’ Jabal ’Alī	PROPN	i
Mole Saint-Nicolas	PROPN	a
Monkey Bay	PROPN	i
Montego Bay	PROPN	i
Moose Jaw	PROPN	o
Morant Bay	PROPN	i
Moravská Třebová	PROPN	a
Morgan Stanley	PROPN	i
Naujoji Akmenė	PROPN	e
Néa Moudaniá	PROPN	a
Nieuw Nickerie	PROPN	i
North Bay	PROPN	i
Nové Město nad Metují	PROPN	i
Nové Strašecí	PROPN	i
Nuevo Guararé	PROPN	e
Ocumare del Tuy	PROPN	i
Órmos Almiroú	PROPN	u
Piper Jaffray	PROPN	i
Pirate Bay	PROPN	i
Planá nad Lužnicí	PROPN	i
Police nad Metují	PROPN	i
Portage la Prairie	PROPN	i
Port Macquarie	PROPN	i
Port Pirie	PROPN	i
port salut	NOUN	u
Puerto San José	PROPN	e
Réo Sanguié	PROPN	e
Robert´s Coffee	PROPN	i
Rovo Bay	PROPN	i
Rtyně v Podkrkonoší	PROPN	i
San Jose del Bocay	PROPN	i
San José del Bocay	PROPN	i
San Luis Potosí	PROPN	i
Santa Comba Dao	PROPN	u
Santa Comba Dão	PROPN	u
Santa Cruz del Quiché	PROPN	e
Santa Fé	PROPN	e
Santo André	PROPN	e
San Tomé	PROPN	e
Santo Tomé	PROPN	e
São José	PROPN	e
São Tomé	PROPN	e
Sault Ste. Marie	PROPN	i
SEK & Grey	PROPN	i
Sezimovo Ústí	PROPN	i
Skála Eresoú	PROPN	u
Skála Oropoú	PROPN	u
Slaughter and May	PROPN	i
Spálené Poříčí	PROPN	i
Spišská Belá	PROPN	a
Stará Turá	PROPN	a
Stewarts Law	PROPN	o
Sulphur Bay	PROPN	i
Sun on Sunday	PROPN	i
Sweeting Cay	PROPN	i
talk show	NOUN	u
Technití límni Thisavroú	PROPN	u
Teplice nad Metují	PROPN	i
The Pirate Bay	PROPN	i
Thunder Bay	PROPN	i
Tría Nisiá	PROPN	a
Týniště nad Orlicí	PROPN	i
Unión Chocó	PROPN	o
Ústí nad Orlicí	PROPN	i
Valašské Meziříčí	PROPN	i
Velké Meziříčí	PROPN	i
Veselí nad Lužnicí	PROPN	i
Vila Nova de Famalicao	PROPN	u
Vila Nova de Famalicão	PROPN	u
Vila Nova de Santo André	PROPN	e
Voss of Norway	PROPN	i
Walvis Bay	PROPN	i
Wayne´s Coffee	PROPN	i
