Alankomaiden Antillit	PROPN	country
Amerikan Samoa	PROPN	country
Antigua ja Barbuda	PROPN	country
Bosnia ja Hertsegovina	PROPN	country
Brazzavillen Kongo	PROPN	country
Brittiläiset Neitsytsaaret	PROPN	country
Burkina Faso	PROPN	country
Costa Rica	PROPN	country
dir. cant.	NOUN	title
dir. mus.	NOUN	title
Dominikaaninen tasavalta	PROPN	country
El Salvador	PROPN	country
Eteläiset Sandwichsaaret	PROPN	country
Heard and McDonaldinsaaret	PROPN	country
Helleenien tasavalta	PROPN	country
Huippuvuoret ja Jan Mayen	PROPN	country
K Sh	NOUN	currency
Kap Verde	PROPN	country
Keski-Afrikan tasavalta	PROPN	country
Kinshasan Kongo	PROPN	country
Kongon demokraattinen tasavalta	PROPN	country
Korean demokraattinen kansantasavalta	PROPN	country
Korean tasavalta	PROPN	country
NA f.	NOUN	currency
Puerto Rico	PROPN	country
Päiväntasaajan Guinea	PROPN	country
Ranskan Guayana	PROPN	country
Ranskan Polynesia	PROPN	country
sacr. min. kand.	NOUN	title
Saint Helena	PROPN	country
Saint Kitts ja Nevis	PROPN	country
Saint Lucia	PROPN	country
Saint Vincent	PROPN	country
Saint Vincent ja Grenadiinit	PROPN	country
Saint-Pierre ja Miquelon	PROPN	country
San Marino	PROPN	country
São Tomé	PROPN	country
São Tomé ja Príncipe	PROPN	country
Sierra Leone	PROPN	country
Sint Maarten	PROPN	country
SL Re	NOUN	currency
So. Sh.	NOUN	currency
Sri Lanka	PROPN	country
Svalbard ja Jan Mayen	PROPN	country
T Sh	NOUN	currency
Trinidad ja Tobago	PROPN	country
Turks- ja Caicossaaret	PROPN	country
U Sh	NOUN	currency
Wallis ja Futuna	PROPN	country
Yhdistyneet arabiemiirikunnat	PROPN	country
Yhdistynyt kuningaskunta	PROPN	country
Yhdysvaltain Neitsytsaaret	PROPN	country
