lemma	homonym	new_para	numeral_class
biljardi	2	NUM_MILJARDI	cardinal
biljoona	1	NUM_MILJOONA	cardinal
biljoonasosa	1	NUM_KOLMASOSA	cardinal
ensimmäinen	2	NUM_ENSIMMÄINEN	ordinal
kahdeksan	1	NUM_KAHDEKSAN	cardinal
kahdeksankymmentä	2	NUM_KYMMENTÄ	cardinal
kahdeksansataa	2	NUM_KYMMENTÄ	cardinal
kahdeksantoista	2	NUM_KYMMENTÄ	cardinal
kahdeksantoistasataa	1	NUM_KYMMENTÄ	cardinal
kahdeksantuhatta	2	NUM_KYMMENTÄ	cardinal
kahdeksas	1	NUM_KOLMAS	ordinal
kahdeksaskymmenes	2	NUM_NELJÄS	ordinal
kahdeksasosa	1	NUM_KOLMASOSA	cardinal
kahdeksassadas	2	NUM_KOLMAS	ordinal
kahdeksastoista	2	NUM_KYMMENTÄ	ordinal
kahdeksisen	1	NUM_KUUTISEN	cardinal
kahdeksisenkymmentä	1	NUM_KYMMENTÄ	cardinal
kahdeksisensataa	1	NUM_KYMMENTÄ	cardinal
kahdeksisentoista	1	NUM_KYMMENTÄ	cardinal
kahdeksisentuhatta	1	NUM_KYMMENTÄ	cardinal
kahdes	1	NUM_KOLMAS	ordinal
kahdeskymmenes	2	NUM_NELJÄS	ordinal
kahdeskymmenesensimmäinen	1	NUM_ENSIMMÄINEN	ordinal
kahdeskymmeneskahdes	1	NUM_KOLMAS	ordinal
kahdeskymmenestoinen	1	NUM_TOINEN	ordinal
kahdeskymmenesyhdes	1	NUM_NELJÄS	ordinal
kahdesosa	1	NUM_KOLMASOSA	cardinal
kahdessadas	2	NUM_KOLMAS	ordinal
kahdestoista	2	NUM_KYMMENTÄ	ordinal
kahta	1	NUM_KYMMENTÄ	cardinal
kahtisentoista	1	NUM_KYMMENTÄ	cardinal
kaks	1	NUM_KYMMENTÄ	cardinal
kaksi	1	NUM_KAKSI	cardinal
kaksikymmentä	2	NUM_KYMMENTÄ	cardinal
kaksikymmentäyksi	1	NUM_YKSI	cardinal
kaksisataa	2	NUM_KYMMENTÄ	cardinal
kaksisentoista	1	NUM_KYMMENTÄ	cardinal
kaksitoista	2	NUM_KYMMENTÄ	cardinal
kaksituhatta	2	NUM_KYMMENTÄ	cardinal
kiljoona	1	NUM_MILJOONA	cardinal
kolmas	1	NUM_KOLMAS	ordinal
kolmaskymmenes	2	NUM_NELJÄS	ordinal
kolmasosa	1	NUM_KOLMASOSA	cardinal
kolmassadas	2	NUM_KOLMAS	ordinal
kolmastoista	2	NUM_KYMMENTÄ	ordinal
kolme	1	NUM_KOLME	cardinal
kolmekymmentä	2	NUM_KYMMENTÄ	cardinal
kolmesataa	2	NUM_KYMMENTÄ	cardinal
kolmetoista	2	NUM_KYMMENTÄ	cardinal
kolmetuhatta	2	NUM_KYMMENTÄ	cardinal
kolmisen	1	NUM_KUUTISEN	cardinal
kolmisenkymmentä	1	NUM_KYMMENTÄ	cardinal
kolmisensataa	1	NUM_KYMMENTÄ	cardinal
kolmisentoista	1	NUM_KYMMENTÄ	cardinal
kolmisentuhatta	1	NUM_KYMMENTÄ	cardinal
kuudes	1	NUM_KOLMAS	ordinal
kuudeskymmenes	2	NUM_NELJÄS	ordinal
kuudesosa	1	NUM_KOLMASOSA	cardinal
kuudessadas	2	NUM_KOLMAS	ordinal
kuudestoista	2	NUM_KYMMENTÄ	ordinal
kuusi	2	NUM_KUUSI	cardinal
kuusikymmentä	2	NUM_KYMMENTÄ	cardinal
kuusisataa	2	NUM_KYMMENTÄ	cardinal
kuusitoista	2	NUM_KYMMENTÄ	cardinal
kuutisen	1	NUM_KUUTISEN	cardinal
kuutisenkymmentä	1	NUM_KYMMENTÄ	cardinal
kuutisensataa	1	NUM_KYMMENTÄ	cardinal
kuutisentoista	1	NUM_KYMMENTÄ	cardinal
kuutisentuhatta	1	NUM_KYMMENTÄ	cardinal
kvadriljoona	1	NUM_MILJOONA	cardinal
kvintiljoona	1	NUM_MILJOONA	cardinal
kymmen	1	NUM_KYMMEN	cardinal
kymmenen	1	NUM_KYMMENEN	cardinal
kymmenentuhatta	1	NUM_KYMMENTÄ	cardinal
kymmenes	2	NUM_NELJÄS	ordinal
kymmenesosa	1	NUM_KOLMASOSA	cardinal
kymmenestuhannesosa	1	NUM_KOLMASOSA	cardinal
kymmenisen	1	NUM_VIITISEN	cardinal
kymmenisentuhatta	1	NUM_KYMMENTÄ	cardinal
kymmenkunta	1	NUM_KYMMENKUNTA	cardinal
miljardi	1	NUM_MILJARDI	cardinal
miljardisosa	1	NUM_KOLMASOSA	cardinal
miljoona	1	NUM_MILJOONA	cardinal
miljoonasosa	1	NUM_KOLMASOSA	cardinal
nelisen	1	NUM_VIITISEN	cardinal
nelisenkymmentä	1	NUM_KYMMENTÄ	cardinal
nelisensataa	1	NUM_KYMMENTÄ	cardinal
nelisentoista	1	NUM_KYMMENTÄ	cardinal
nelisentuhatta	1	NUM_KYMMENTÄ	cardinal
neljä	1	NUM_NELJÄ	cardinal
neljäkymmentä	2	NUM_KYMMENTÄ	cardinal
neljäs	1	NUM_NELJÄS	ordinal
neljäsataa	2	NUM_KYMMENTÄ	cardinal
neljäskymmenes	2	NUM_NELJÄS	ordinal
neljäsosa	1	NUM_KOLMASOSA	cardinal
neljässadas	2	NUM_KOLMAS	ordinal
neljästoista	2	NUM_KYMMENTÄ	ordinal
neljätoista	2	NUM_KYMMENTÄ	cardinal
neljätuhatta	2	NUM_KYMMENTÄ	cardinal
nolla	1	NUM_MILJOONA	cardinal
nollas	1	NUM_KOLMAS	ordinal
pari	2	NUM_PARI	cardinal
parikymmentä	1	NUM_KYMMENTÄ	cardinal
parisataa	1	NUM_KYMMENTÄ	cardinal
parisen	1	NUM_KUUTISEN	cardinal
parisenkymmentä	1	NUM_KYMMENTÄ	cardinal
parisensataa	1	NUM_KYMMENTÄ	cardinal
parituhatta	1	NUM_KYMMENTÄ	cardinal
puolenkymmentä	1	NUM_KYMMENTÄ	cardinal
puolensataa	1	NUM_KYMMENTÄ	cardinal
puolentuhatta	1	NUM_KYMMENTÄ	cardinal
puoli	2	NUM_PUOLI	cardinal
puolikymmentä	1	NUM_KYMMENTÄ	cardinal
puolisataa	1	NUM_KYMMENTÄ	cardinal
puolisen	1	NUM_KUUTISEN	cardinal
puolisenkymmentä	1	NUM_KYMMENTÄ	cardinal
puolisensataa	1	NUM_KYMMENTÄ	cardinal
puolisentoista	1	NUM_KYMMENTÄ	cardinal
puolisentoistasataa	1	NUM_KYMMENTÄ	cardinal
puolitoista	2	NUM_KYMMENTÄ	cardinal
puolitoistakymmentä	1	NUM_KYMMENTÄ	cardinal
puolitoistasataa	1	NUM_KYMMENTÄ	cardinal
puolituhatta	1	NUM_KYMMENTÄ	cardinal
sadas	1	NUM_KOLMAS	ordinal
sadasosa	1	NUM_KOLMASOSA	cardinal
sadastuhannesosa	1	NUM_KOLMASOSA	cardinal
sata	1	NUM_SATA	cardinal
satakunta	1	NUM_KYMMENKUNTA	cardinal
satatuhatta	1	NUM_KYMMENTÄ	cardinal
seitsemisen	1	NUM_VIITISEN	cardinal
seitsemisenkymmentä	1	NUM_KYMMENTÄ	cardinal
seitsemisensataa	1	NUM_KYMMENTÄ	cardinal
seitsemisentoista	1	NUM_KYMMENTÄ	cardinal
seitsemisentuhatta	1	NUM_KYMMENTÄ	cardinal
seitsemän	1	NUM_YHDEKSÄN	cardinal
seitsemänkymmentä	2	NUM_KYMMENTÄ	cardinal
seitsemänsataa	2	NUM_KYMMENTÄ	cardinal
seitsemäntoista	2	NUM_KYMMENTÄ	cardinal
seitsemäntuhatta	2	NUM_KYMMENTÄ	cardinal
