lemma	homonym	numtype
biljardi	NUM	cardinal
biljoona	NUM	cardinal
biljoonasosa	NUM	fraction
ensimmäinen	ADJ	ordinal
kahdeksan	NUM	cardinal
kahdeksankymmentä	NUM	cardinal
kahdeksansataa	NUM	cardinal
kahdeksantoista	NUM	cardinal
kahdeksantoistasataa	NUM	cardinal
kahdeksantuhatta	NUM	cardinal
kahdeksas	ADJ	ordinal
kahdeksaskymmenes	ADJ	ordinal
kahdeksasosa	NUM	fraction
kahdeksassadas	ADJ	ordinal
kahdeksisen	NUM	cardinal
kahdeksisenkymmentä	NUM	cardinal
kahdeksisensataa	NUM	cardinal
kahdeksisentoista	NUM	cardinal
kahdeksisentuhatta	NUM	cardinal
kahdes	ADJ	ordinal
kahdeskymmenes	ADJ	ordinal
kahdeskymmenesensimmäinen	ADJ	ordinal
kahdeskymmeneskahdes	ADJ	ordinal
kahdeskymmenestoinen	ADJ	ordinal
kahdeskymmenesyhdes	ADJ	ordinal
kahdesosa	NUM	fraction
kahdessadas	ADJ	ordinal
kahdesti	ADV	multiplicative
kahdestoista	ADJ	ordinal
kahta	NUM	cardinal
kahtisentoista	NUM	cardinal
kaks	NUM	cardinal
kaksi	NUM	cardinal
kaksikymmentä	NUM	cardinal
kaksikymmentäyksi	NUM	cardinal
kaksisataa	NUM	cardinal
kaksisentoista	NUM	cardinal
kaksitoista	NUM	cardinal
kaksituhatta	NUM	cardinal
kerran	ADV	multiplicative
kiljoona	NUM	cardinal
kolmas	ADJ	ordinal
kolmaskymmenes	ADJ	ordinal
kolmasosa	NUM	fraction
kolmassadas	ADJ	ordinal
kolmastoista	ADJ	ordinal
kolme	NUM	cardinal
kolmekymmentä	NUM	cardinal
kolmesataa	NUM	cardinal
kolmesti	ADV	multiplicative
kolmetoista	NUM	cardinal
kolmetuhatta	NUM	cardinal
kolmisen	NUM	cardinal
kolmisenkymmentä	NUM	cardinal
kolmisensataa	NUM	cardinal
kolmisentoista	NUM	cardinal
kolmisentuhatta	NUM	cardinal
kuudes	ADJ	ordinal
kuudeskymmenes	ADJ	ordinal
kuudesosa	NUM	fraction
kuudessadas	ADJ	ordinal
kuudesti	ADV	multiplicative
kuudestoista	ADJ	ordinal
kuusi	NUM	cardinal
kuusikymmentä	NUM	cardinal
kuusisataa	NUM	cardinal
kuusitoista	NUM	cardinal
kuutisen	NUM	cardinal
kuutisenkymmentä	NUM	cardinal
kuutisensataa	NUM	cardinal
kuutisentoista	NUM	cardinal
kuutisentuhatta	NUM	cardinal
kvadriljoona	NUM	cardinal
kvintiljoona	NUM	cardinal
kymmen	NUM	cardinal
kymmenen	NUM	cardinal
kymmenentuhatta	NUM	cardinal
kymmenes	ADJ	ordinal
kymmenesosa	NUM	fraction
kymmenesti	ADV	multiplicative
kymmenestuhannesosa	NUM	fraction
kymmenisen	NUM	cardinal
kymmenisentuhatta	NUM	cardinal
kymmenkunta	NUM	cardinal
miljardi	NUM	cardinal
miljardisosa	NUM	fraction
miljoona	NUM	cardinal
miljoonasosa	NUM	fraction
nelisen	NUM	cardinal
nelisenkymmentä	NUM	cardinal
nelisensataa	NUM	cardinal
nelisentoista	NUM	cardinal
nelisentuhatta	NUM	cardinal
neljä	NUM	cardinal
neljäkymmentä	NUM	cardinal
neljäs	ADJ	ordinal
neljäsataa	NUM	cardinal
neljäskymmenes	ADJ	ordinal
neljäsosa	NUM	fraction
neljässadas	ADJ	ordinal
neljästi	ADV	multiplicative
neljästoista	ADJ	ordinal
neljätoista	NUM	cardinal
neljätuhatta	NUM	cardinal
nolla	NUM	cardinal
nollas	ADJ	ordinal
pari	NUM	cardinal
parikymmentä	NUM	cardinal
parisataa	NUM	cardinal
parisen	NUM	cardinal
parisenkymmentä	NUM	cardinal
parisensataa	NUM	cardinal
parituhatta	NUM	cardinal
puolenkymmentä	NUM	cardinal
puolensataa	NUM	cardinal
puolentuhatta	NUM	cardinal
puoli	NUM	fraction
puolikymmentä	NUM	cardinal
puolisataa	NUM	cardinal
puolisen	NUM	cardinal
puolisenkymmentä	NUM	cardinal
puolisensataa	NUM	cardinal
puolisentoista	NUM	cardinal
puolisentoistasataa	NUM	cardinal
puolitoista	NUM	cardinal
puolitoistakymmentä	NUM	cardinal
puolitoistasataa	NUM	cardinal
puolituhatta	NUM	cardinal
sadas	ADJ	ordinal
sadasosa	NUM	fraction
sadasti	ADV	multiplicative
sadastuhannesosa	NUM	fraction
sata	NUM	cardinal
satakunta	NUM	cardinal
satatuhatta	NUM	cardinal
seitsemisen	NUM	cardinal
seitsemisenkymmentä	NUM	cardinal
seitsemisensataa	NUM	cardinal
seitsemisentoista	NUM	cardinal
seitsemisentuhatta	NUM	cardinal
seitsemän	NUM	cardinal
seitsemänkymmentä	NUM	cardinal
seitsemänsataa	NUM	cardinal
seitsemäntoista	NUM	cardinal
seitsemäntuhatta	NUM	cardinal
seitsemäs	ADJ	ordinal
seitsemäskymmenes	ADJ	ordinal
seitsemäsosa	NUM	fraction
seitsemässadas	ADJ	ordinal
seitsemästi	ADV	multiplicative
seitsemästoista	ADJ	ordinal
toinen	ADJ	ordinal
toistakymmentä	NUM	cardinal
toistakymmentätuhatta	NUM	cardinal
toistasataa	NUM	cardinal
toistatuhatta	NUM	cardinal
triljoona	NUM	cardinal
triljoonasosa	NUM	fraction
tuhannes	ADJ	ordinal
tuhannesosa	NUM	fraction
tuhannesti	ADV	multiplicative
tuhantisen	NUM	cardinal
tuhat	NUM	cardinal
tuhatkunta	NUM	cardinal
viides	ADJ	ordinal
viideskymmenes	ADJ	ordinal
viidesosa	NUM	fraction
viidessadas	ADJ	ordinal
viidesti	ADV	multiplicative
viidestoista	ADJ	ordinal
