lemma	homonym	plurale_tantum
Aakarit	1	obligatory
aakkonen	1	common
Aalinkalliot	1	obligatory
Aalmanninarot	1	obligatory
Aalto-yliopistokiinteistöt	1	obligatory
aamu-uutiset	1	obligatory
Aapalamminkummut	1	obligatory
Aapalammit	1	obligatory
Aapasarat	1	obligatory
Aapinlammit	1	obligatory
Aapraminapajat	1	obligatory
Aarreluodot	1	obligatory
Aarresaaret	1	obligatory
Aarresärkät	1	obligatory
Aartokummut	1	obligatory
Aartosaaret	1	obligatory
Aatamin ja Eevan kivet	1	obligatory
Aataminkalliot	1	obligatory
Aataminsaaret	1	obligatory
Aatsinginjärvet	1	obligatory
Aattokalliot	1	obligatory
Aavasaksan Urheilijat	1	obligatory
ABC-asemat	1	obligatory
Adoptioperheet	1	obligatory
Agronomivirkamiehet ja toimihenkilöt	1	obligatory
ahdassuusammakko	1	common
ahdin	1	common
ahdinmalluainen	1	common
Ahkiosaaret	1	obligatory
Ahmajärvet	1	obligatory
Ahmakalliot	1	obligatory
Ahmakivet	1	obligatory
Ahmalammit	1	obligatory
Ahmaluodot	1	obligatory
Ahmatievat	1	obligatory
Ahmatunturinmuristat	1	obligatory
Ahmatunturinpalot	1	obligatory
Ahoinvuoret	1	obligatory
Ahokoskentievat	1	obligatory
Aholammit	1	obligatory
Aholankalliot	1	obligatory
Ahon Matin saaret	1	obligatory
Ahonalaset	1	obligatory
Ahoniitunkalliot	1	obligatory
Ahoniitut	1	obligatory
Ahonkalliot	1	obligatory
Ahonpellot	1	obligatory
Ahonpäänkalliot	1	obligatory
Ahonpäänlammit	1	obligatory
Ahonvuoret	1	obligatory
Ahopäännokat	1	obligatory
Ahopäät	1	obligatory
Ahosaaret	1	obligatory
Ahoset	1	obligatory
Ahot	1	obligatory
Ahtastenkankaat	1	obligatory
Ahtaus- ja Huolinta-alan Tekniset	1	obligatory
Ahterinkalliot	1	obligatory
Ahtimäet	1	obligatory
Ahvenaiset	1	obligatory
Ahvenaistensupat	1	obligatory
Ahvenharjut	1	obligatory
Ahveniset	1	obligatory
Ahvenislammet	1	obligatory
Ahvenjärvenharjut	1	obligatory
Ahvenjärvet	1	obligatory
ahvenkala	1	common
