lemma	homonym	possessive
alitse	1	opt
alla	1	opt
alle	1	opt
alta	1	opt
ammolla	1	opt
ammolle	1	opt
edelle	1	opt
edellä	1	opt
edeltä	1	opt
edessä	1	opt
edestä	1	opt
editse	1	opt
eksyksiin	1	opt
eteen	1	opt
hajalla	1	opt
hajalle	1	opt
hallussa	1	opt
hallusta	1	opt
haltuun	1	opt
hampaissa	1	opt
hampaista	1	opt
haralla	1	opt
haralle	1	opt
harilla	1	opt
harille	1	opt
henkitoreihin	1	opt
hereille	1	opt
hereillä	1	opt
huomassa	1	opt
huostassa	1	opt
häkellyksiin	1	opt
häkellyksissä	1	opt
hämmennyksiin	1	opt
hämmennyksissä	1	opt
hämäännyksiin	1	opt
hämäännyksissä	1	opt
hätäännyksissä	1	obl
hörölle	1	opt
höröllä	1	opt
ikinä	1	opt
ikänä	1	opt
istualla	1	opt
istualle	1	opt
istualta	1	opt
jalkeilla	1	opt
jalkeille	1	opt
jaloissa	1	opt
jaloista	1	opt
joutessa	1	obl
jäljessä	1	opt
jäljestä	1	opt
kannalla	1	opt
kannalle	1	opt
kannoilla	1	opt
kannoille	1	opt
kannoilta	1	opt
kanssa	1	opt
kateissa	1	obl
katsomatta	1	opt
kautta	1	opt
keralla	1	opt
keralle	1	opt
keskeen	1	opt
keskelle	1	opt
keskellä	1	opt
keskeltä	1	opt
kesken	1	opt
keskessä	1	opt
keskestä	1	opt
keskuudessa	1	opt
keskuudesta	1	opt
keskuuteen	1	opt
kiihdyksiin	1	opt
kiihdyksissä	1	opt
kimppuun	1	opt
kintereille	1	opt
kintereillä	1	opt
kintereiltä	1	opt
koholla	1	opt
koholle	1	opt
kohtaan	1	opt
kotia	1	opt
kotoa	1	opt
kotona	1	opt
kourissa	1	opt
kourista	1	opt
kuivilla	1	opt
kuiville	1	opt
kuohuksiin	1	opt
kuohuksissa	1	opt
kupeella	1	opt
kupeelle	1	opt
kupeelta	1	opt
kustannuksella	1	opt
kuti	2	obl
kylliksi	1	opt
kynsissä	1	opt
kynsistä	1	opt
käymäseltä	1	opt
köniin	1	opt
laidalla	1	opt
laidalle	1	opt
laidalta	1	opt
laidassa	1	opt
laidasta	1	opt
lailla	1	opt
laskematta	1	opt
lerpalla	1	opt
lerpalle	1	opt
likelle	1	opt
likellä	1	opt
likeltä	1	opt
lomitse	1	opt
lopulla	1	opt
luokse	1	opt
luona	1	opt
luota	1	opt
lurpalla	1	opt
lurpalle	1	opt
luvalla	1	opt
lähelle	1	opt
lähellä	1	opt
läheltä	1	opt
lähettyville	1	opt
lähettyvillä	1	obl
lähettyviltä	1	opt
läkähdyksiin	1	opt
läkähdyksissä	1	opt
lävitse	1	opt
makuulla	1	opt
makuulle	1	opt
makuulta	1	opt
menehdyksiin	1	opt
menehdyksissä	1	opt
meneillä	1	opt
mielestä	1	opt
mieliksi	1	opt
muassa	1	opt
mukaan	1	opt
mukana	1	opt
mutrulla	1	opt
mutrulle	1	opt
myötä	1	opt
nimissä	1	opt
nirpalla	1	opt
niskalla	1	opt
niskalle	1	opt
niskalta	1	opt
nojalla	1	opt
nukuksiin	1	opt
nukuksissa	1	opt
näkyviin	1	opt
näkyville	1	opt
näkyvillä	1	opt
näkyviltä	1	opt
näkyvissä	1	opt
näkyvistä	1	opt
näkökulmasta	1	opt
ohella	1	opt
ohitse	1	opt
ojolla	1	opt
ojolle	1	opt
osalta	1	opt
pahimmoiksi	1	opt
paikalla	1	opt
paikalle	1	obl
paikalta	1	opt
pakahduksiin	1	opt
pakahduksissa	1	opt
palelluksissa	1	opt
pariin	1	opt
parissa	1	opt
parista	1	opt
perimmältä	1	opt
perältä	1	obl
perässä	1	opt
perästä	1	opt
perään	1	opt
pikaistuksissa	1	opt
pikimmältä	1	opt
piloilla	1	obl
pinnalla	1	opt
pinnalle	1	opt
pinnalta	1	opt
pinnassa	1	opt
pinnasta	1	opt
pitkälle	1	opt
pitkällä	1	obl
pohjalla	1	opt
pohjalle	1	opt
pohjalta	1	opt
pohjassa	1	opt
pohjasta	1	opt
pohjimmalta	1	opt
puoleen	1	opt
puolessa	1	opt
puolesta	1	opt
päälle	1	opt
päällitse	1	opt
päällä	1	opt
päältä	1	opt
pökerryksiin	1	opt
pökerryksissä	1	opt
pökerryksistä	1	opt
pörhölle	1	opt
pörhöllä	1	opt
pörrölle	1	opt
pörröllä	1	opt
pöyhölle	1	opt
pöyhöllä	1	opt
reunalla	1	opt
reunalle	1	opt
reunalta	1	opt
reunassa	1	opt
reunasta	1	opt
riipalla	1	opt
riipalle	1	opt
rinnalla	1	opt
rinnalle	1	opt
rinnalta	1	opt
ryypyksiin	1	opt
ryypyksissä	1	opt
rökkiin	1	opt
seisaalla	1	opt
seisaalle	1	opt
seisaalta	1	opt
seisoalla	1	opt
seisoalle	1	opt
seisoalta	1	opt
seisovilla	1	opt
seisoville	1	opt
seisovilta	1	obl
sikkaralla	1	opt
sikkaralle	1	opt
silmässä	1	opt
silmästä	1	opt
sirrille	1	obl
sirrillä	1	obl
sisimmältä	1	obl
sisälle	1	opt
sisällä	1	opt
sisältä	1	opt
sisässä	1	opt
sisästä	1	opt
sisään	1	opt
sivuitse	1	opt
supulla	1	opt
supulle	1	opt
suussa	1	opt
suusta	1	opt
suutuksiin	1	opt
suutuksissa	1	opt
taa	1	opt
taakse	1	opt
tainnoksiin	1	opt
tainnoksissa	1	opt
tainnoksista	1	opt
tainnuksiin	1	opt
tainnuksissa	1	opt
tainnuksista	1	opt
taitse	1	opt
takaa	1	opt
takana	1	opt
takia	1	opt
tarpeeksi	1	opt
tasalla	1	opt
tasalle	1	opt
tasalta	1	opt
tautta	1	opt
teloilla	1	opt
teloille	1	opt
teloilta	1	opt
torkuksissa	1	opt
tuella	1	opt
tuohduksiin	1	opt
tuohduksissa	1	opt
tykö	1	opt
tykönä	1	opt
tyköä	1	opt
typerryksiin	1	opt
typerryksissä	1	opt
typerryksistä	1	opt
täynnä	1	opt
ulottuviin	1	opt
ulottuvilla	1	opt
ulottuville	1	opt
ulottuvilta	1	opt
ulottuvissa	1	opt
ulottuvista	1	opt
uuvuksiin	1	opt
uuvuksissa	1	opt
vallalla	1	opt
vallalle	1	opt
vallassa	1	opt
vallasta	1	opt
valtaan	1	opt
valveilla	1	opt
valveille	1	opt
varaan	1	opt
varassa	1	opt
varasta	1	opt
varpailla	1	opt
varpaille	1	opt
vastaan	1	opt
vastassa	1	opt
viereen	1	opt
vierelle	1	opt
vierellä	1	opt
viereltä	1	opt
vieressä	1	opt
vierestä	1	opt
vieritse	1	opt
vihoissa	1	opt
vimmastuksissa	1	opt
voivuksiin	1	opt
voivuksissa	1	opt
välille	1	opt
välissä	1	opt
välistä	1	opt
välitse	1	opt
väsyksiin	1	opt
väsyksissä	1	opt
