lemma	homonym	prontype
ei-kukaan	PRON	quantifier
ei-mikään	PRON	quantifier
eri	PRON	quantifier
eräs	PRON	quantifier|indefinite
harva	PRON	quantifier
harvempi	PRON	quantifier
he	PRON	personal,pl3
hän	PRON	personal,sg3
hää	PRON	personal,sg3
itse	PRON	reflexive
joka	PRON	relative|quantifier|indefinite
jokainen	PRON	quantifier
jokin	PRON	quantifier|indefinite
joku	PRON	quantifier|indefinite
jokunen	PRON	quantifier
jollainen	ADJ	relative
jolloin	ADV	relative
jompi	PRON	quantifier
jompikumpi	PRON	quantifier|indefinite
jonkinlainen	ADJ	quantifier
kaikki	PRON	quantifier
ken	PRON	interrogative
kenkään	PRON	interrogative
koko	PRON	quantifier
kuinka	ADV	interrogative
kuka	PRON	interrogative|quantifier|relative
kukaan	PRON	quantifier
kukakin	PRON	quantifier
kukin	PRON	quantifier
kumpainenkin	PRON	adj
kumpi	PRON	interrogative|quantifier
kumpikaan	PRON	quantifier
kumpikin	PRON	quantifier
ma	PRON	personal,sg1
me	PRON	personal,pl1
mi	ADV	interrogative
mie	PRON	personal,sg1
mikin	PRON	quantifier
mikä	PRON	interrogative|quantifier|relative
mikäkin	PRON	quantifier
mikään	PRON	quantifier
millainen	ADJ	interrogative|quantifier
mimmoinen	ADJ	interrogative
minkälainen	ADJ	interrogative
minkäslainen	ADJ	interrogative
minkäänlainen	ADJ	interrogative
minä	PRON	personal,sg1
miten	ADV	interrogative
molemmat	PRON	quantifier
mones	PRON	quantifier
moni	PRON	quantifier
monta	PRON	quantifier
muu	PRON	quantifier
muuan	PRON	quantifier|indefinite
muudan	PRON	quantifier|indefinite
muutama	PRON	quantifier
mä	PRON	personal,sg1
mää	PRON	personal,sg1
ne	PRON	demonstrative
noi	PRON	demonstrative
nuo	PRON	demonstrative
nämä	PRON	demonstrative
sa	PRON	personal,sg2
sama	PRON	quantifier
samanlainen	ADJ	quantifier
se	PRON	demonstrative
sellainen	ADJ	demonstrative
semmoinen	ADJ	demonstrative
semmonen	ADJ	demonstrative
sie	PRON	personal,sg2
sinä	PRON	personal,sg2
sä	PRON	personal,sg2
sää	PRON	personal,sg2
te	PRON	personal,pl2
toi	PRON	demonstrative
toinen	PRON	quantifier|reciprocal
tommonen	ADJ	demonstrative
tuo	PRON	demonstrative
tuollainen	ADJ	demonstrative
tuolloinen	ADJ	demonstrative
tuommoinen	ADJ	demonstrative
tällainen	ADJ	demonstrative
tämmöinen	ADJ	demonstrative
tämä	PRON	demonstrative
tää	PRON	demonstrative
usea	PRON	quantifier
useampi	PRON	quantifier
yks	PRON	quantifier
yksi	PRON	quantifier
yksikään	PRON	quantifier
