lemma	homonym	new_para	stem-vowel
360buy	1	N_COWBOY	i
Abéché	1	N_ROSÉ	e
Abomey	1	N_JOCKEY	i
Āddī Ugrī	1	N_BRASSERIE	i
Adré	1	N_ROSÉ	e
Aianí	1	N_BRASSERIE	i
Ailigandí	1	N_BRASSERIE	i
Airdrie	1	N_BRASSERIE	i
Aitolikó	1	N_ESQUIMAU	o
Akmenė	1	N_ROSÉ	e
Ákra Agía Aikateriní	1	N_BRASSERIE	i
Ákra Almyroú	1	N_KUNGFU	u
Ákra Ochtoniá	1	N_CHACHACHA	a
Ákra Trypití	1	N_BRIE	i
Aksaray	1	N_GAY	i
Ales	1	N_PARFAIT	e
Alès	1	N_PARFAIT	e
Alykí	1	N_BRIE	i
Amlamé	1	N_ROSÉ	e
Anjō	1	N_ESQUIMAU	o
Annecy	2	N_SPOTIFY	i
Antipaxoí	1	N_COWBOY	i
Antsirabé	1	N_ROSÉ	e
Apolakkiá	1	N_CHACHACHA	a
Arboyé	1	N_BÉBÉ	e
Arklow	1	N_SHOW	u
Arkoí	1	N_COWBOY	i
Arras	1	N_NOUGAT	a
Aserrío de Gariché	1	N_ROSÉ	e
Asfendioú	1	N_KUNGFU	u
Atakpamé	1	N_ROSÉ	e
Atsikí	1	N_BRASSERIE	i
Attikí	1	N_BRASSERIE	i
Aunee	1	N_JOCKEY	i
avenue	1	N_FONDUE	y
Bafatá	1	N_CHACHACHA	a
Bákó	1	N_ESQUIMAU	o
Baltoji Vokė	1	N_ROSÉ	e
Bandiiradley	1	N_JOCKEY	i
Ban Houayxay	1	N_GAY	i
Baní	1	N_BRASSERIE	i
Barcarozsnyó	1	N_ESQUIMAU	o
Barrie	1	N_BRASSERIE	i
Barrow	1	N_SHOW	u
Basse-Normandie	1	N_BRASSERIE	i
bavarois	1	N_NOUGAT	a
Beauharnois	1	N_NOUGAT	a
Beaupré	1	N_ROSÉ	e
Becej	1	N_BEIGNET	i
Bečej	1	N_BEIGNET	i
Beckley	1	N_JOCKEY	i
beignet	1	N_BEIGNET	e
Bembèrèkè	1	N_BÉBÉ	e
Benešov nad Ploučnicí	1	N_BRASSERIE	i
Benoy	1	N_COWBOY	i
Bénoy	1	N_COWBOY	i
Berbá	1	N_CHACHACHA	a
Béré	1	N_BÉBÉ	e
Berezó	1	N_ESQUIMAU	o
Berkeley	1	N_JOCKEY	i
Berkshire Hathaway	1	N_GAY	i
Best Buy	1	N_COWBOY	i
Beyoncé	1	N_ROSÉ	e
Bilgoraj	1	N_VERSAILLES	i
Bisset	1	N_BEIGNET	e
Bissorã	1	N_CHACHACHA	a
Bjerringbro	1	N_KUNGFU	u
Blatná	1	N_CHACHACHA	a
Blois	1	N_NOUGAT	a
Bobigny	2	N_SPOTIFY	i
Bodo	1	N_MALMÖ	ö
Bodø	1	N_MALMÖ	ö
Bogotá	1	N_CHACHACHA	a
Bohušovice nad Ohří	1	N_BRASSERIE	i
Boké	1	N_ROSÉ	e
Bombay	1	N_GAY	i
bordeaux	1	N_BORDEAUX	o
Bordeaux	1	N_BORDEAUX	o
Borosjenő	1	N_MALMÖ	ö
Bossembélé	1	N_ROSÉ	e
Bouaflé	1	N_ROSÉ	e
Bouaké	1	N_ROSÉ	e
Bougé	1	N_ROSÉ	e
Boukoumbé	1	N_ROSÉ	e
bouquet	1	N_PARFAIT	e
Boussé	1	N_ROSÉ	e
Bowie	1	N_BRASSERIE	i
Brandýs nad Orlicí	1	N_BRASSERIE	i
Brassó	1	N_ESQUIMAU	o
Březová	1	N_CHACHACHA	a
Břidličná	1	N_CHACHACHA	a
Brightlingsea	1	N_JOCKEY	i
Britney	1	N_JOCKEY	i
Broken Arrow	1	N_SHOW	u
Budyně nad Ohří	1	N_BRASSERIE	i
buffet	1	N_PARFAIT	e
Bulkeley	1	N_JOCKEY	i
Bunkyō	1	N_ESQUIMAU	o
Bureau International Permanent de la Paix	1	N_PARFAIT	e
Burley	1	N_JOCKEY	i
Burnie	1	N_BRASSERIE	i
Busko-Zdrój	1	N_BEIGNET	i
Busko-Zdroj	1	N_VERSAILLES	i
Buziásfürdő	1	N_MALMÖ	ö
Bystré	1	N_BÉBÉ	e
Cadaley	1	N_JOCKEY	i
Camaguey	1	N_JOCKEY	i
Camagüey	1	N_JOCKEY	i
Cambay	1	N_GAY	i
Cape Girardeau	1	N_ESQUIMAU	o
Capetí	1	N_BRASSERIE	i
Cap-Santé	1	N_ROSÉ	e
Carey	1	N_JOCKEY	i
Carlow	1	N_SHOW	u
Catió	1	N_ESQUIMAU	o
Cativá	1	N_CHACHACHA	a
Cergy	2	N_SPOTIFY	i
Certify	1	N_SPOTIFY	i
Česká Třebová	1	N_CHACHACHA	a
Chalkidikí	1	N_BRASSERIE	i
Chambery	2	N_SPOTIFY	i
Chambéry	2	N_SPOTIFY	i
Chamilí	1	N_BRASSERIE	i
Chaniá	1	N_CHACHACHA	a
Charavgí	1	N_BRASSERIE	i
Charlotte Amalie	1	N_BRASSERIE	i
Charopó	1	N_ESQUIMAU	o
Chateauguay	1	N_BÉBÉ	e
Châteauguay	1	N_BÉBÉ	e
Chateauroux	2	N_SHOW	u
Châteauroux	2	N_SHOW	u
Chateau-Thierry	2	N_SPOTIFY	i
Château-Thierry	2	N_SPOTIFY	i
Chelsea	1	N_JOCKEY	i
Chigoré	1	N_ROSÉ	e
Chiryū	1	N_KUNGFU	u
Chitré	1	N_BÉBÉ	e
Chlomó	1	N_ESQUIMAU	o
Choisy-le-Roi	1	N_CHACHACHA	a
Choristí	1	N_BRASSERIE	i
Chrysí	1	N_BRIE	i
Chrysó	1	N_ESQUIMAU	o
Chūō	1	N_ESQUIMAU	o
Chuy	1	N_COWBOY	i
CIBE Participação	1	N_KUNGFU	u
Cluny	2	N_SPOTIFY	i
Concepcion del Uruguay	1	N_GAY	i
Concepción del Uruguay	1	N_GAY	i
Cool Blue	1	N_KUNGFU	u
Cotuí	1	N_BRASSERIE	i
Courtenay	1	N_GAY	i
Cové	1	N_ROSÉ	e
Covilhã	1	N_CHACHACHA	a
Cruz Bay	1	N_BEIGNET	i
Cuiabá	1	N_CHACHACHA	a
