lemma	homonym	sem
$	SYM	currency
$A	NOUN	currency
$NZ	NOUN	currency
£	SYM	currency
£C	NOUN	currency
¥	SYM	currency
₤	SYM	currency
€	SYM	currency
a	NOUN	time
aA	NOUN	measure
AA	NOUN	org
Aada	PROPN	female
Aadolf	PROPN	male
Aake	PROPN	male
Aamu	PROPN	female
Aamulehti	PROPN	media
Aamuposti	PROPN	media
Aapeli	PROPN	male
Aapo	PROPN	male
Aappo	PROPN	male
Aaretti	PROPN	male
Aarne	PROPN	male
Aarni	PROPN	male
Aarno	PROPN	male
Aaro	PROPN	male
Aaron	PROPN	male
Aarre	PROPN	male
Aarto	PROPN	male
Aatami	PROPN	male
Aati	PROPN	male
Aatos	PROPN	male
Aatto	PROPN	male
Aatu	PROPN	male
Aava	PROPN	female
ab	NOUN	org
Abdel	PROPN	male
Abdul	PROPN	male
Abdullah	PROPN	male
Abel	PROPN	male
abhaasi	NOUN	language
Abiel	PROPN	male
abp	NOUN	org
aBq	NOUN	measure
Abraham	PROPN	male
a°C	NOUN	measure
aC	NOUN	measure
acd	NOUN	measure
ad	NOUN	title
a.D.	NOUN	time
Ada	PROPN	female
Adam	PROPN	male
adangme	NOUN	language
Adele	PROPN	female
Adéle	PROPN	female
Adolf	PROPN	male
ADP	NOUN	currency
Adrian	PROPN	male
ADT	NOUN	org
adyge	NOUN	language
AED	NOUN	currency
aF	NOUN	measure
Af	NOUN	currency
AFA	NOUN	currency
afar	NOUN	language
Afganistan	PROPN	country
afganistanilainen	NOUN	inhabitant
afganistanilainen	ADJ	country
AFN	NOUN	currency
afrihili	NOUN	language
afrikaans	NOUN	language
ag	NOUN	measure|org
Agata	PROPN	female
Agda	PROPN	female
aghem	NOUN	language
Agnes	PROPN	female
Agneta	PROPN	female
agrol.	NOUN	title
agrologi	NOUN	title
agron.	NOUN	title
agronomi	NOUN	title
aH	NOUN	measure
Ah	NOUN	measure
ahlaislainen	NOUN	inhabitant
ahlaislainen	ADJ	country
Ahti	PROPN	male
Ahto	PROPN	male
Ahvo	PROPN	male
aHz	NOUN	measure
Aida	PROPN	female
Aija	PROPN	female
Aila	PROPN	female
Aili	PROPN	female
Ailiina	PROPN	female
aimara	NOUN	language
Aimo	PROPN	male
Aina	PROPN	female
Ainamo	PROPN	female
Aini	PROPN	female
Ainikki	PROPN	female
Aino	PROPN	female
Aino-Linnea	PROPN	female
Aino-Maria	PROPN	female
ainu	NOUN	language
Aira	PROPN	female
Airi	PROPN	female
aitolahtelainen	NOUN	inhabitant
aitolahtelainen	ADJ	country
aJ	NOUN	measure
aK	NOUN	measure
akaalainen	NOUN	inhabitant
akaalainen	ADJ	country
akan	NOUN	language
akat	NOUN	measure
Aki	PROPN	male
akkadi	NOUN	language
Akseli	PROPN	male
Aku	PROPN	male
Akusti	PROPN	male
alahärmäläinen	NOUN	inhabitant
alahärmäläinen	ADJ	country
Alan	PROPN	male
alankomaalainen	NOUN	inhabitant
alankomaalainen	ADJ	country
Alankomaat	PROPN	country
Alankomaiden Antillit	PROPN	country
Alarik	PROPN	male
alasaksa	NOUN	language
Alasatakunta	PROPN	media
alasorbi	NOUN	language
alastarolainen	NOUN	inhabitant
alastarolainen	ADJ	country
alatorniolainen	NOUN	inhabitant
alatorniolainen	ADJ	country
alaveteliläinen	NOUN	inhabitant
alaveteliläinen	ADJ	country
alavieskalainen	NOUN	inhabitant
alavieskalainen	ADJ	country
alavutelainen	NOUN	inhabitant
alavutelainen	ADJ	country
albania	NOUN	language
Albania	PROPN	country
albanialainen	NOUN	inhabitant
albanialainen	ADJ	country
Albert	PROPN	male
Albertina	PROPN	female
Alberto	PROPN	male
Albin	PROPN	male
Ale	PROPN	male
Alec	PROPN	male
Aleksander	PROPN	male
Aleksandra	PROPN	female
Aleksanteri	PROPN	male
Aleksi	PROPN	male
Aleksiina	PROPN	female
Aleksis	PROPN	male
Aleksius	PROPN	male
aleutti	NOUN	language
Alex	PROPN	male
Alexander	PROPN	male
Alexandra	PROPN	female
Alexis	PROPN	male
Aleyna	PROPN	female
Alf	PROPN	male
Alfa	PROPN	female
Alfhild	PROPN	female
Alfons	PROPN	male
Alfred	PROPN	male
Algeria	PROPN	country
algerialainen	NOUN	inhabitant
algerialainen	ADJ	country
algonkikieli	NOUN	language
Algot	PROPN	male
Ali	PROPN	male
Alice	PROPN	female
Alicia	PROPN	female
Aliina	PROPN	female
Aliisa	PROPN	female
alik.	NOUN	title
alikersantti	NOUN	title
alil.	NOUN	title
aliluutnantti	NOUN	title
Alina	PROPN	female
Alisa	PROPN	female
aliupseeri	NOUN	title
ALK	NOUN	currency
ALL	NOUN	currency
Allan	PROPN	male
Alli	PROPN	female
alm	NOUN	measure
Alma	PROPN	female
Alpi	PROPN	male
Alpo	PROPN	male
altai	NOUN	language
Altti	PROPN	male
aluepäällikkö	NOUN	title
Alva	PROPN	female
Alvar	PROPN	male
Alveri	PROPN	male
Alvi	PROPN	male
Alvin	PROPN	male
Alvina	PROPN	female
alx	NOUN	measure
a.m.	NOUN	time
am	NOUN	measure
Amalia	PROPN	female
Amanda	PROPN	female
AMD	PROPN	org
Amelia	PROPN	female
Amelie	PROPN	female
Amerikan Samoa	PROPN	country
amerikanenglanti	NOUN	language
amerikanespanja	NOUN	language
amerikansamoalainen	NOUN	inhabitant
amerikansamoalainen	ADJ	country
amerikkalainen	NOUN	inhabitant
amerikkalainen	ADJ	country
amhara	NOUN	language
Amilda	PROPN	female
amir.	NOUN	title
Amira	PROPN	female
amiraali	NOUN	title
amk	NOUN	org
amol	NOUN	measure
Amy	PROPN	female
aN	NOUN	measure
Anastasia	PROPN	female
Anatolius	PROPN	male
Anders	PROPN	male
Andorra	PROPN	country
andorralainen	NOUN	inhabitant
andorralainen	ADJ	country
André	PROPN	male
Andrea	PROPN	female
Andreas	PROPN	male
Andreevits	PROPN	male
Andrew	PROPN	male
Anelma	PROPN	female
Anette	PROPN	female
ANG	NOUN	currency
Angel	PROPN	female
Angela	PROPN	female
Angelika	PROPN	female
Angelina	PROPN	female
Angelino	PROPN	male
angelniemeläinen	NOUN	inhabitant
angelniemeläinen	ADJ	country
angika	NOUN	language
Angola	PROPN	country
angolalainen	NOUN	inhabitant
angolalainen	ADJ	country
Anguilla	PROPN	country
anguillalainen	NOUN	inhabitant
anguillalainen	ADJ	country
Anissa	PROPN	female
Anita	PROPN	female
Anitta	PROPN	female
Anja	PROPN	female
anjalainen	NOUN	inhabitant
anjalainen	ADJ	country
anjalalainen	NOUN	inhabitant
anjalalainen	ADJ	country
Anna	PROPN	female
Anna-Eriikka	PROPN	female
Anna-Kaarina	PROPN	female
Anna-Kaisa	PROPN	female
Anna-Liisa	PROPN	female
Anna-Lotta	PROPN	female
Anna-Mari	PROPN	female
Anna-Maria	PROPN	female
Anna-Reeta	PROPN	female
Anna-Sofia	PROPN	female
Anna-Stiina	PROPN	female
Ann-Christin	PROPN	female
Ann-Christine	PROPN	female
Anne	PROPN	female
Annele	PROPN	female
Anneli	PROPN	female
Anne-Maarit	PROPN	female
Anne-Mari	PROPN	female
Anne-Maria	PROPN	female
Annette	PROPN	female
Anni	PROPN	female
Anni-Ilona	PROPN	female
Anniina	PROPN	female
Annika	PROPN	female
Annikki	PROPN	female
Annilotta	PROPN	female
Annina	PROPN	female
Ann-Maria	PROPN	female
Annu	PROPN	female
Annukka	PROPN	female
Annuriikka	PROPN	female
Ano	PROPN	male
Anri	PROPN	female
Ansa	PROPN	female
Anselmi	PROPN	male
Anssi	PROPN	male
Antarktis	PROPN	country
antarktislainen	NOUN	inhabitant
antarktislainen	ADJ	country
Ante	PROPN	male
Antero	PROPN	male
Anthony	PROPN	male
Antigua	PROPN	country
Antigua ja Barbuda	PROPN	country
antiguabarbudalainen	NOUN	inhabitant
antiguabarbudalainen	ADJ	country
Anton	PROPN	male
Antoni	PROPN	male
Antonia	PROPN	female
Antonio	PROPN	male
Antti	PROPN	male
Antto	PROPN	male
anttolainen	NOUN	inhabitant
anttolainen	ADJ	country
anttolalainen	NOUN	inhabitant
anttolalainen	ADJ	country
Antton	PROPN	male
Anttoni	PROPN	male
Anu	PROPN	female
AOA	NOUN	currency|title
AOK	NOUN	currency
AON	NOUN	currency
AOR	NOUN	currency
ap.	NOUN	time
aPa	NOUN	measure
apassi	NOUN	language
apaššikieli	NOUN	language
April	PROPN	female
apteekkineuvos	NOUN	title
apul.	NOUN	title
apulainen	NOUN	title
apulaisoikeusasiamies	NOUN	title
apulaisprofessori	NOUN	title
apul.prof.	NOUN	title
ARA	PROPN	currency
arabia	NOUN	language
Arabiemiirikunnat	PROPN	country
arabiemiirikuntalainen	NOUN	inhabitant
arabiemiirikuntalainen	ADJ	country
Arabiemiraatit	PROPN	country
arad	NOUN	measure
aragonia	NOUN	language
aramea	NOUN	language
arapaho	NOUN	language
arawak	NOUN	language
Arbetarbladet	PROPN	media
Arg$	NOUN	currency
Argentiina	PROPN	country
argentiinalainen	NOUN	inhabitant
argentiinalainen	ADJ	country
Arhippa	PROPN	male
Arho	PROPN	male
Ari	PROPN	male
Ariela	PROPN	female
Ari-Pekka	PROPN	male
Arja	PROPN	female
ark	NOUN	measure
ark.	NOUN	time
arkkiatri	NOUN	title
arkkit.	NOUN	title
arkkitehti	NOUN	title
ARL	NOUN	currency
Arla	PROPN	female
ARM	PROPN	currency
Armas	PROPN	male
armenia	NOUN	language
Armenia	PROPN	country
armenialainen	NOUN	inhabitant
armenialainen	ADJ	country
Armi	PROPN	female
Arna	PROPN	female
Arne	PROPN	male
Arno	PROPN	male
Arnold	PROPN	male
aromania	NOUN	language
Aron	PROPN	male
ARP	NOUN	currency
ARS	NOUN	currency
Arsi	PROPN	male
Arthur	PROPN	male
artisti	NOUN	title
artjärveläinen	NOUN	inhabitant
artjärveläinen	ADJ	country
artjärvinen	NOUN	inhabitant
artjärvinen	ADJ	country
Arto	PROPN	male
Artti	PROPN	male
Arttu	PROPN	male
Arttu-Elmeri	PROPN	male
Artturi	PROPN	male
Artur	PROPN	male
Aruba	PROPN	country
arubalainen	NOUN	inhabitant
arubalainen	ADJ	country
arv.	NOUN	title
Arvi	PROPN	male
Arvid	PROPN	male
Arvo	PROPN	male
arvoisa	ADJ	title
as	NOUN	measure
aS	NOUN	measure
A/S	NOUN	org
AS	NOUN	org
