lemma	homonym	symbol
<	PUNCT	initial-bracket
>	PUNCT	final-bracket
-	PUNCT	dash
--	PUNCT	dash
,	PUNCT	clause-boundary|comma
;	PUNCT	clause-boundary
:	PUNCT	clause-boundary
!	PUNCT	sentence-boundary
(!)	PUNCT	sentence-boundary
!	PUNCT2	sentence-boundary
?	PUNCT	sentence-boundary
?	PUNCT2	sentence-boundary
(?)	PUNCT	sentence-boundary
.	PUNCT	sentence-boundary
..	PUNCT	sentence-boundary
...	PUNCT	sentence-boundary
....	PUNCT	sentence-boundary
'	PUNCT	final-quote
'	PUNCT2	initial-quote
’	PUNCT	final-quote
’	PUNCT2	initial-quote
\"	PUNCT	final-quote
\"	PUNCT2	initial-quote
”	PUNCT	final-quote
”	PUNCT2	initial-quote
«	PUNCT	final-quote
«	PUNCT2	initial-quote
»	PUNCT	final-quote
»	PUNCT2	initial-quote
(	PUNCT	initial-bracket
)	PUNCT	final-bracket
[	PUNCT	initial-bracket
]	PUNCT	final-bracket
{	PUNCT	initial-bracket
}	PUNCT	final-bracket
–	PUNCT	dash
—	PUNCT	dash
˗	PUNCT	dash
→	SYM	arrow
›	PUNCT	final-bracket
‹	PUNCT	initial-bracket
‥	PUNCT	sentence-boundary
…	PUNCT	sentence-boundary
