lemma	homonym	argument
aakkostaa	1	intransitive
aallota	1	intransitive
aallottaa	1	intransitive
aaltoilla	1	intransitive
aamiaistaa	1	intransitive
aatella	1	intransitive
aateloida	1	intransitive
aavikoitua	1	intransitive
aavistaa	1	intransitive
aavistella	1	intransitive
abortoida	1	intransitive
abortoitua	1	intransitive
absorboida	1	intransitive
absorboitua	1	intransitive
abstrahoida	1	intransitive
abstrahoitua	1	intransitive
abstraktistaa	1	intransitive
abstraktistua	1	intransitive
adaptoida	1	intransitive
adaptoitua	1	intransitive
addiktoida	1	intransitive
adoptoida	1	intransitive
adsorboida	1	intransitive
adsorboitua	1	intransitive
advektoida	1	intransitive
aerobikata	1	intransitive
affiksoida	1	intransitive
affiksoitua	1	intransitive
affisioida	1	intransitive
aforisoida	1	intransitive
agenisoida	1	intransitive
agglutinoida	1	intransitive
agglutinoitua	1	intransitive
aggregoida	1	intransitive
agitoida	1	intransitive
ahavoida	1	intransitive
ahavoittaa	1	intransitive
ahavoitua	1	intransitive
ahdata	1	intransitive
ahdistaa	1	intransitive
ahdistella	1	intransitive
ahdistua	1	intransitive
ahertaa	1	intransitive
ahkeroida	1	intransitive
ahmaista	1	intransitive
ahmia	1	intransitive
ahnehtia	1	intransitive
ahtaa	1	intransitive
ahtauttaa	1	intransitive
ahtautua	1	intransitive
ahtoutua	1	intransitive
aidata	1	intransitive
aidoittaa	1	intransitive
aientaa	1	intransitive
aiheellistaa	1	intransitive
aiheellistua	1	intransitive
aiheuttaa	1	intransitive
aiheutua	1	intransitive
aikaansaada	1	intransitive
aikailla	1	intransitive
aikaistaa	1	intransitive
aikaistua	1	intransitive
aikapainoittaa	1	intransitive
aikatauluttaa	1	intransitive
aikauttaa	1	intransitive
aikoa	1	ainf
aikuistua	1	intransitive
ailahdella	1	intransitive
ailahtaa	1	intransitive
aineellistaa	1	intransitive
aineellistua	1	intransitive
aineistaa	1	intransitive
aineistua	1	intransitive
aisata	1	intransitive
aistia	1	intransitive
aitoa	1	intransitive
aivastaa	1	intransitive
aivastella	1	intransitive
