continuation	stuffs	stempart	continuations... # <- HEADERS
ADJ_AAKKOSELLINEN	Cpos		ADJ_COMPOUND_S
ADJ_AAKKOSELLINEN	Cpos	nen	ADJ_BACK_NOMINATIVE
ADJ_AAKKOSELLINEN	Cpos	s	ADJ_BACK_PLURALS|ADJ_BACK_PARTITIVE_TA|ADJ_BACK_ESSIVE_NA_ARCHAIC|ADJ_BACK_PARTITIVE_IA|ADJ_BACK_GENITIVE_IEN|ADJ_BACK_GENITIVE_TEN|ADJ_BACK_ILLATIVE_IIN
ADJ_AAKKOSELLINEN	Cpos	se	ADJ_BACK_SINGULARS|ADJ_BACK_ILLATIVE_EN
ADJ_AAKKOSELLINEN		s	ADJ_BACK_SUPERLATIVE
ADJ_AAKKOSELLINEN		se	ADJ_BACK_COMPARATIVE|ADJ_BACK_DERIV_STI|ADJ_BACK_DERIV_HKO
ADJ_AALTOILEVA		a	ADJ_BACK_COMPARATIVE|ADJ_BACK_DERIV_STI|ADJ_BACK_DERIV_HKO
ADJ_AALTOILEVA			ADJ_BACK_SUPERLATIVE
ADJ_AALTOILEVA	Cpos	a	ADJ_BACK_NOMINATIVE|ADJ_BACK_SINGULARS|ADJ_BACK_PARTITIVE_A|ADJ_BACK_ILLATIVE_AN|ADJ_BACK_GENITIVE_IN|ADJ_COMPOUND_0
ADJ_AALTOILEVA	Cpos		ADJ_BACK_PLURALS|ADJ_BACK_PARTITIVE_IA|ADJ_BACK_GENITIVE_IEN|ADJ_BACK_ILLATIVE_IIN
ADJ_AAVA			ADJ_BACK_SUPERLATIVE
ADJ_AAVA	Cpos	a	ADJ_BACK_NOMINATIVE|ADJ_BACK_SINGULARS|ADJ_BACK_PARTITIVE_A|ADJ_BACK_ILLATIVE_AN|ADJ_BACK_GENITIVE_IN|ADJ_COMPOUND_0
ADJ_AAVA	Cpos	o	ADJ_BACK_PLURALS|ADJ_BACK_PARTITIVE_JA|ADJ_BACK_GENITIVE_JEN|ADJ_BACK_ILLATIVE_IHIN
ADJ_AAVA		e	ADJ_BACK_COMPARATIVE
ADJ_AAVA		o	ADJ_BACK_SUPERLATIVE
ADJ_ABNORMAALI	Cpos		ADJ_BACK_GENITIVE_IEN
ADJ_ABNORMAALI	Cpos	e	ADJ_BACK_PLURALS|ADJ_BACK_PARTITIVE_JA|ADJ_BACK_PARTITIVE_ITA|ADJ_BACK_GENITIVE_IDEN|ADJ_BACK_GENITIVE_ITTEN|ADJ_BACK_ILLATIVE_IHIN
ADJ_ABNORMAALI	Cpos	i	ADJ_BACK_NOMINATIVE|ADJ_BACK_SINGULARS|ADJ_BACK_PARTITIVE_A_AN|ADJ_BACK_ILLATIVE_IN|ADJ_COMPOUND_0
ADJ_ABNORMAALI		e	ADJ_BACK_SUPERLATIVE
ADJ_ABNORMAALI		i	ADJ_BACK_COMPARATIVE
ADJ_ABNORMI	Cpos		ADJ_BACK_GENITIVE_IEN
ADJ_ABNORMI	Cpos	e	ADJ_BACK_PLURALS|ADJ_BACK_PARTITIVE_JA|ADJ_BACK_ILLATIVE_IHIN
