Incoming morph	analyses	stem part	continuations...	#<- HEADERS
DIGITS_BACK_CLIT_OPT			#	DIGITS_BACK_CLIT
DIGITS_BACK_CLIT	Qhan	{MB}han	#
DIGITS_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
DIGITS_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
DIGITS_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
DIGITS_BACK_CLIT	Qkaan	{MB}kaan	#
DIGITS_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
DIGITS_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
DIGITS_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
DIGITS_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
DIGITS_BACK_CLIT	Qkin	{MB}kin	#
DIGITS_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
DIGITS_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
DIGITS_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
DIGITS_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
DIGITS_BACK_CLIT	Qko	{MB}ko	#
DIGITS_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
DIGITS_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
DIGITS_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
DIGITS_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
DIGITS_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
DIGITS_BACK_CLIT	Qpa	{MB}pa	#
DIGITS_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
DIGITS_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
DIGITS_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
DIGITS_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
DIGITS_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
DIGITS_BACK_POSS_AN	O3	{MB}an	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS_AN_OBL			DIGITS_BACK_POSS	DIGITS_BACK_POSS_AN
DIGITS_BACK_POSS_AN_OPT			DIGITS_BACK_POSS	DIGITS_BACK_POSS_AN	DIGITS_BACK_CLIT	#
DIGITS_BACK_POSS_EN	O3	{MB}en	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS_EN_OBL			DIGITS_BACK_POSS	DIGITS_BACK_POSS_EN
DIGITS_BACK_POSS_EN_OPT			DIGITS_BACK_POSS	DIGITS_BACK_POSS_EN	DIGITS_BACK_CLIT	#
DIGITS_BACK_POSS	O3	{MB}nsa	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS	Opl1	{MB}mme	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS	Opl2	{MB}nne	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS_OPT			DIGITS_BACK_POSS	DIGITS_BACK_CLIT	#
DIGITS_BACK_POSS	Osg1	{MB}ni	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS	Osg2	{MB}si	DIGITS_BACK_CLIT_OPT
DIGITS_COMPOUND	B←	-	#
DIGITS_COMPOUND	Bc	-	NOUN	ADJECTIVE	SUFFIX
DIGITS_FRONT_CLIT_OPT			#	DIGITS_FRONT_CLIT
DIGITS_FRONT_CLIT	Qhan	{MB}hän	#
DIGITS_FRONT_CLIT	Qhan|Qkaan	{MB}hän{MB}kään	#
DIGITS_FRONT_CLIT	Qhan|Qko	{MB}hän{MB}kö	#
DIGITS_FRONT_CLIT	Qhan|Qpa	{MB}hän{MB}pä	#
DIGITS_FRONT_CLIT	Qkaan	{MB}kään	#
DIGITS_FRONT_CLIT	Qkaan|Qhan	{MB}kään{MB}hän	#
DIGITS_FRONT_CLIT	Qkaan|Qkin	{MB}kään{MB}kin	#
DIGITS_FRONT_CLIT	Qkaan|Qko	{MB}kään{MB}kö	#
DIGITS_FRONT_CLIT	Qkaan|Qpa	{MB}kään{MB}pä	#
DIGITS_FRONT_CLIT	Qkin	{MB}kin	#
DIGITS_FRONT_CLIT	Qkin|Qhan	{MB}kin{MB}hän	#
DIGITS_FRONT_CLIT	Qkin|Qkaan	{MB}kin{MB}kään	#
DIGITS_FRONT_CLIT	Qkin|Qko	{MB}kin{MB}kö	#
DIGITS_FRONT_CLIT	Qkin|Qpa	{MB}kin{MB}pä	#
DIGITS_FRONT_CLIT	Qko	{MB}kö	#
DIGITS_FRONT_CLIT	Qko|Qhan	{MB}kö{MB}hän	#
DIGITS_FRONT_CLIT	Qko|Qkaan	{MB}kö{MB}kään	#
DIGITS_FRONT_CLIT	Qko|Qkin	{MB}kö{MB}kin	#
DIGITS_FRONT_CLIT	Qko|Qpa	{MB}kö{MB}pä	#
DIGITS_FRONT_CLIT	Qko|Qs	{MB}kö{MB}s	#
DIGITS_FRONT_CLIT	Qpa	{MB}pä	#
DIGITS_FRONT_CLIT	Qpa|Qhan	{MB}pä{MB}hän	#
DIGITS_FRONT_CLIT	Qpa|Qkaan	{MB}pä{MB}kään	#
DIGITS_FRONT_CLIT	Qpa|Qkin	{MB}pä{MB}kin	#
DIGITS_FRONT_CLIT	Qpa|Qko	{MB}pä{MB}kö	#
DIGITS_FRONT_CLIT	Qpa|Qs	{MB}pä{MB}s	#
DIGITS_FRONT_POSS_EN	O3	{MB}en	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS_EN_OBL			DIGITS_FRONT_POSS	DIGITS_FRONT_POSS_EN
DIGITS_FRONT_POSS_EN_OPT			DIGITS_FRONT_POSS	DIGITS_FRONT_POSS_EN	DIGITS_FRONT_CLIT	#
DIGITS_FRONT_POSS	O3	{MB}nsä	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS	Opl1	{MB}mme	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS	Opl2	{MB}nne	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS_OPT			DIGITS_FRONT_POSS	DIGITS_FRONT_CLIT	#
DIGITS_FRONT_POSS	Osg1	{MB}ni	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS	Osg2	{MB}si	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS_ÄN	O3	{MB}än	DIGITS_FRONT_CLIT_OPT
DIGITS_FRONT_POSS_ÄN_OBL			DIGITS_FRONT_POSS	DIGITS_FRONT_POSS_ÄN
DIGITS_FRONT_POSS_ÄN_OPT			DIGITS_FRONT_POSS	DIGITS_FRONT_POSS_ÄN	DIGITS_FRONT_CLIT	#
