Incoming morph	analyses	stem part	continuations...	#<- HEADERS
DIGITS_ENSIMMÄINEN	.	.	#
DIGITS_ENSIMMÄINEN	Npl|Xabe	:s{MB}i{MB}ttä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xabl	:s{MB}i{MB}ltä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xade	:s{MB}i{MB}llä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xall	:s{MB}i{MB}lle	DIGITS_FRONT_POSS_EN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xela	:s{MB}i{MB}stä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xess	:s{MB}i{MB}nä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xgen	:s{MB}i{MB}en	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xill	:s{MB}i{MB}i	DIGITS_FRONT_POSS
DIGITS_ENSIMMÄINEN	Npl|Xill	:s{MB}i{MB}in	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xine	:s{MB}i{MB}ssä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xins	:s{MB}i{MB}n	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xnom	:se{MB}t	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xpar	:s{MB}i{MB}ä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xtra	:s{MB}i{MB}kse	DIGITS_FRONT_POSS_ÄN_OBL
DIGITS_ENSIMMÄINEN	Npl|Xtra	:s{MB}i{MB}ksi	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xabe	:se{MB}ttä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xabl	:se{MB}ltä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xade	:se{MB}llä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xall	:se{MB}lle	DIGITS_FRONT_POSS_EN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xela	:se{MB}stä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xess	:se{MB}nä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xgen	:se{MB}n	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xill	:se{MB}e	DIGITS_FRONT_POSS
DIGITS_ENSIMMÄINEN	Nsg|Xill	:se{MB}en	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xine	:se{MB}ssä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xnom	:nen	DIGITS_FRONT_POSS_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xpar	:s{MB}tä	DIGITS_FRONT_POSS_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xtra	:se{MB}kse	DIGITS_FRONT_POSS_EN_OBL
DIGITS_ENSIMMÄINEN	Nsg|Xtra	:se{MB}ksi	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Xcom	:{MB}sine	DIGITS_FRONT_POSS_EN_OPT
DIGITS_KAHDEKSAN			DIGITS_COMPOUND
DIGITS_KAHDEKSAN	Npl|Xabe	:{MB}i{MB}tta	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xabl	:{MB}i{MB}lta	DIGITS_BACK_POSS_AN_OPT
