Incoming morph	analyses	stem part	continuations...	#<- HEADERS
ADJ_BACK_CLIT	Qhan	{MB}han	#
ADJ_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
ADJ_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
ADJ_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
ADJ_BACK_CLIT	Qkaan	{MB}kaan	#
ADJ_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
ADJ_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
ADJ_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
ADJ_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
ADJ_BACK_CLIT	Qkin	{MB}kin	#
ADJ_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
ADJ_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
ADJ_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
ADJ_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
ADJ_BACK_CLIT	Qko	ko	#
ADJ_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
ADJ_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
ADJ_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
ADJ_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
ADJ_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
ADJ_BACK_CLIT	Qpa	{MB}pa	#
ADJ_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
ADJ_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
ADJ_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
ADJ_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
ADJ_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
ADJ_BACK_CLIT_OPT			#	ADJ_BACK_CLIT
ADJ_BACK_COMPARATIVE	Dmpi|Ccmp	{DB}m	ADJ_BACK_COMPARATIVE_STEMS
ADJ_BACK_COMPARATIVE_ARCHAIC	Dmpi|Ccmp|Uarch	{DB}m	ADJ_BACK_COMPARATIVE_STEMS
ADJ_BACK_COMPARATIVE_STEMS		{STUB}ma	ADJ_BACK_WEAK_SINGULARS
ADJ_BACK_COMPARATIVE_STEMS		{STUB}m	ADJ_BACK_WEAK_PLURALS
ADJ_BACK_COMPARATIVE_STEMS		{STUB}pa	ADJ_BACK_STRONG_SINGULARS	ADJ_BACK_PARTITIVE_A	ADJ_BACK_GENITIVE_IN	ADJ_BACK_ILLATIVE_AN
ADJ_BACK_COMPARATIVE_STEMS		{STUB}p	ADJ_BACK_STRONG_PLURALS	ADJ_BACK_PARTITIVE_IA	ADJ_BACK_GENITIVE_IEN	ADJ_BACK_ILLATIVE_IIN
ADJ_BACK_COMPARATIVE_STEMS		{STUB}pi	ADJ_BACK_NOMINATIVE	ADJ_BACK_ILLATIVE_IN
ADJ_BACK_DERIV_HKO	Cpos|Dhko	{MB}hko	ADJ_TUMMAHKO
ADJ_BACK_DERIV_STI	Cpos|Dsti	{MB}sti	ADV_NOPEASTI
ADJ_BACK_ESSIVE_NA_ARCHAIC	Nsg|Xess|Uarch	{MB}na	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_ESSIVE_RA_ARCHAIC	Nsg|Xess|Uarch	{MB}ra	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}de	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}den	ADJ_BACK_CLIT_OPT
ADJ_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}e	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}en	ADJ_BACK_CLIT_OPT
ADJ_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i{MB}n	ADJ_BACK_CLIT_OPT
ADJ_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tte	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tten	ADJ_BACK_CLIT_OPT
ADJ_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}e	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}en	ADJ_BACK_CLIT_OPT
ADJ_BACK_GENITIVE_TEN	Npl|Xgen	{MB}te	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_TEN	Npl|Xgen	{MB}ten	ADJ_BACK_CLIT_OPT
ADJ_BACK_GENITIVE_TEN_ARCHAIC	Npl|Xgen|Uarch	{MB}te	ADJ_BACK_POSS
ADJ_BACK_GENITIVE_TEN_ARCHAIC	Npl|Xgen|Uarch	{MB}ten	ADJ_BACK_CLIT_OPT	ADJ_COMPOUND
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xgen|Uarch	h{MB}i{MB}e	ADJ_BACK_POSS
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xgen|Uarch	h{MB}i{MB}en	ADJ_BACK_CLIT_OPT
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xgen|Uarch	h{MB}i{MB}tte	ADJ_BACK_POSS
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xgen|Uarch	h{MB}i{MB}tten	ADJ_BACK_CLIT_OPT
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xill|Uarch	h{MB}i{MB}si	ADJ_BACK_POSS
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xill|Uarch	h{MB}i{MB}sin	ADJ_BACK_CLIT_OPT
ADJ_BACK_H_PLURALS_ARCHAIC	Npl|Xpar|Uarch	h{MB}i{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_H_PLURALS_ARCHAIC	Uarch	h	ADJ_BACK_PLURALS
ADJ_BACK_ILLATIVE_AN	Nsg|Xill	{MB}a	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_AN	Nsg|Xill	{MB}an	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_AN	Nsg|Xill|Uarch	{MB}ha	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_AN	Nsg|Xill|Uarch	{MB}han	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_EN	Nsg|Xill	{MB}e	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_EN	Nsg|Xill	{MB}en	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_EN	Nsg|Xill|Uarch	{MB}he	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_EN	Nsg|Xill|Uarch	{MB}hen	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}ha	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}han	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hu	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hun	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hi	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hin	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}i	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}in	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_IIN	Npl|Xill|Uarch	{MB}i{MB}hi	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_IIN	Npl|Xill|Uarch	{MB}i{MB}hin	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_IN	Nsg|Xill	{MB}i	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_IN	Nsg|Xill	{MB}in	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_IN	Nsg|Xill|Uarch	{MB}hi	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_IN	Nsg|Xill|Uarch	{MB}hin	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_ISIIN			ADJ_BACK_H_PLURALS_ARCHAIC
ADJ_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}sii	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}siin	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_ON	Nsg|Xill	{MB}o	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill	{MB}on	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_ON	Nsg|Xill|Uarch	{MB}ho	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill|Uarch	{MB}hon	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}see	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}seen	ADJ_BACK_CLIT_OPT
