lemma	homonym	doc
Aaka	PROPN	without gradation
Aaka	PROPN2	with gradation
Aallokko	PROPN	overlaps more common noun *aallokko* (waves)
Aallonharja	PROPN	overlaps more common noun *aallonharja* (wavetip)
Aalto	PROPN	overlaps more common noun *aalto* (wave)
Aaltonen	PROPN	overlaps more common adjective *aaltonen* (wavy)
Aamu	PROPN	overlaps more common *aamu* (morning)
Aamunkoitto	PROPN	overlaps more common *aamunkoitto* (dawn)
Aamutähti	PROPN	overlaps more common *aamutähti* (morning star)
Aapa	PROPN	overlaps more common *aapa* (swamp)
Aaria	PROPN	overlaps more common *aaria* (aria)
Aarni	PROPN	overlaps more common *aarni* (treasure, loot)
Aarnio	PROPN	overlaps more common *aarnio* (thicket)
Aarre	PROPN	overlaps more common *aarre* (treasure)
Aarre	PROPN2	without gradation (partial overlaps with *aarre*)
Aarrehauta	PROPN	overlaps more common *aarrehauta* (tomb)
Aarto	PROPN	with gradation
Aarto	PROPN2	without gradation
Aate	PROPN	overlaps more common *aate* (idea)
Aatos	PROPN	overlaps more common *aatos* (thought)
Aatto	PROPN	overlaps more common *aatto* (eve)
Aava	PROPN	overlaps more common *aava* (open)
Aave	PROPN	overlaps more common *aave* (ghost)
Aavikko	PROPN	overlaps more common *aavikko* (desert)
Abbas	PROPN	without stem alternation
Abbas	PROPN2	with stem alternation
Acheloos	PROPN	without stem alternation
Acheloos	PROPN2	with stem alternation
Achelóos	PROPN	without stem alternation
Achelóos	PROPN2	with stem alternation
Achilleio	PROPN	partitive variants etc.
Achilleio	PROPN2	partitive variants etc.
Achilles	PROPN	old stem alternation
Achilles	PROPN2	new stem alternation
Achílleio	PROPN	partitive variants etc.
Achílleio	PROPN2	partitive variants etc.
Aer Lingus	PROPN	without stem alternation
Aer Lingus	PROPN2	with stem alternation
Afortus	PROPN	without stem alternation
Afortus	PROPN2	with stem alternation
Agios Efstratios	PROPN	without stem alternation
Agios Efstratios	PROPN2	with stem alternation
Agios Kirykos	PROPN	without stem alternation
Agios Kirykos	PROPN2	with stem alternation
Agios Nikolaos	PROPN	without stem alternation
Agios Nikolaos	PROPN2	with stem alternation
Agnes	PROPN	without stem alternation
Agnes	PROPN2	with stem alternation
Ahava	PROPN	overlaps more common *ahava* (FIXME)
Ahdinko	PROPN	overlaps more common *ahdinko* (trouble)
Ahjo	PROPN	overlaps more common *ahjo* (FIXME)
Ahkera	PROPN	overlaps more common *ahkera* (FIXME)
Ahma	PROPN	overlaps more common *ahma* (fox)
Ahonen-Myka	PROPN	alternate
Ahonen-Myka	PROPN2	alternate
Ahoniitty	PROPN	overlaps more common *ahoniitty* (green)
Ahti	PROPN	without gradation
Ahti	PROPN2	with gradation
Ahto	PROPN	without gradation
Ahto	PROPN2	with gradation
Ahven	PROPN	overlaps more common *ahven* (pike)
Ahvenlampi	PROPN	without gradation
Ahvenlampi	PROPN2	with gradation
Ahvenojanrimpi	PROPN	without gradation
Ahvenojanrimpi	PROPN2	with gradation
Aianteio	PROPN	partitive variants etc.
Aianteio	PROPN2	partitive variants etc.
Aigeiros	PROPN	old stem alternation
Aigeiros	PROPN2	new stem alternation
Aigio	PROPN	partitive variants etc.
Aigio	PROPN2	partitive variants etc.
Ainos	PROPN	old stem alternation
Ainos	PROPN2	new stem alternation
Aimo	PROPN	overlaps more common *aimo* (grand)
Aina	PROPN	overlaps more common *aina* (forever)
Aino	PROPN	overlaps forms of very common *ainoa* “only“.
Aino	PROPN	overlaps forms of very common *ainoa* “only”.
Ainoa	PROPN	overlaps very common *ainoa* “only“.
Ainoa	PROPN	overlaps very common *ainoa* “only”.
Ainokainen	PROPN	overlaps more common *ainokainen* (singleton)
Airo	PROPN	overlaps more common *airo* (FIXME)
Airut	PROPN	overlaps more common *airut* (FIXME)
Aisti	PROPN	overlaps more common *aisti* (sense)
Aistimus	PROPN	overlaps more common *aistimus* (sensation)
Aitarimpi	PROPN	without gradation
Aitarimpi	PROPN2	with gradation
Aitio	PROPN	overlaps more common *aitio* (box)
Aito	PROPN	overlaps more common *Aito* (real)
Aitta	PROPN	overlaps more common *Aitta* (barn)
Aittalamminrimpi	PROPN	without gradation
Aittalamminrimpi	PROPN2	with gradation
Aivolanpuhti	PROPN	without gradation
Aivolanpuhti	PROPN2	with gradation
Aiánteio	PROPN	partitive variants etc.
Aiánteio	PROPN2	partitive variants etc.
Ajankulu	PROPN	overlaps more common *Ajankulu* (passing of time)
Ajo	PROPN	overlaps more common *Ajo* (driving)
Akanrimpi	PROPN	without gradation
Akanrimpi	PROPN2	with gradation
Akilles	PROPN	old stem alternation
Akilles	PROPN2	new stem alternation
Akkarimpi	PROPN	without gradation
Akkarimpi	PROPN2	with gradation
Akko	PROPN	without gradation
Akko	PROPN2	with gradation
Akka	PROPN	overlaps more common *Akka* (old lady)
Akku	PROPN	overlaps more common *Akku* (accumulator)
Akra Araxos	PROPN	old stem alternation
Akra Araxos	PROPN2	new stem alternation
Akra Archangelos	PROPN	old stem alternation
Akra Archangelos	PROPN2	new stem alternation
Akseli	PROPN	overlaps more common *Akseli* (axis)
Ala	PROPN	overlaps more common *Ala* (field)
Ala-Asmunti	PROPN	without gradation
Ala-Asmunti	PROPN2	with gradation
Ala-Savi	PROPN	alternations
Ala-Savi	PROPN2	alternations 
Alainen	PROPN	overlaps more common *Alainen* (underling)
Alajakso	PROPN	overlaps more common *Alajakso* (subsequence)
Alamaa	PROPN	overlaps more common *Alamaa* (lowlands)
Alamainen	PROPN	overlaps more common *Alamainen* (underling)
Alamäki	PROPN	overlaps more common *Alamäki* (downhill)
Alapää	PROPN	overlaps more common *Alapää* (genitalia)
Alas	PROPN	overlaps more common *Alas* (down)
