new_para	lemma	stuff	gloss
51	aavameri	aavameri|NOUN|Nsg|Xnom	wide open ocean 
51	aavanmeren	aavameri|NOUN|Nsg|Xgen	
51	aavoissamerissä	aavameri|NOUN|Npl|Xine	
51	Iso-Britannia	Iso-Britannia|NOUN|PROPER|Nsg|Xnom	Great Britain 
51	Ison-Britannian	Iso-Britannia|NOUN|PROPER|Nsg|Xgen	
51	Isoissa-Britannioissa	Iso-Britannia|NOUN|PROPER|Npl|Xine	
ABBR	eaa.	eaa.|N	
ABBR	esim.	esim.|N	
ABBR	esim	esim|N	
ACRO	OY:hyn	OY|NOUN|Nsg|Xill	
A	aakkostettu	aakkostettu|ADJECTIVE|Nsg|Xnom	
A	aakkostettuja	aakkostettu|ADJECTIVE|Npl|Xpar	
A	aakkostetut	aakkostettu|ADJECTIVE|Npl|Xnom	
A	aakkostetumpi	aakkostettu|ADJECTIVE|Ccmp|Nsg|Xnom	
A	aakkostetumpina	aakkostettu|ADJECTIVE|Ccmp|Npl|Xess	
A	aakkostetuin	aakkostettu|ADJECTIVE|Csup|Nsg|Xnom	
A	aakkostetuimmat	aakkostettu|ADJECTIVE|Csup|Npl|Xnom	
A_TUMMAHKO	tummahko	tummahko|ADJECTIVE|Nsg|Xnom	darkish 
A_TUMMAHKO	tummahkona	tummahko|ADJECTIVE|Nsg|Xess	
A_TUMMAHKO	tummahkossa	tummahko|ADJECTIVE|Nsg|Xine	
A_TUMMAHKO	tummahkoina	tummahko|ADJECTIVE|Npl|Xess	
A_TUMMAHKO	tummahkoissa	tummahko|ADJECTIVE|Npl|Xine	
A_TUMMAHKO	tummahkoa	tummahko|ADJECTIVE|Nsg|Xpar	
A_TUMMAHKO	tummahkota	tummahko|ADJECTIVE|Nsg|Xpar	
A_TUMMAHKO	tummahkoon	tummahko|ADJECTIVE|Nsg|Xill	
A_TUMMAHKO	tummahkohon	tummahko|ADJECTIVE|Nsg|Xill	
A_TUMMAHKO	tummahkoseen	tummahko|ADJECTIVE|Nsg|Xill	
A_TUMMAHKO	tummahkoja	tummahko|ADJECTIVE|Npl|Xpar	
A_TUMMAHKO	tummahkoita	tummahko|ADJECTIVE|Npl|Xpar	
A_TUMMAHKO	tummahkojen	tummahko|ADJECTIVE|Npl|Xgen	
A_TUMMAHKO	tummahkoiden	tummahko|ADJECTIVE|Npl|Xgen	
A_TUMMAHKO	tummahkoitten	tummahko|ADJECTIVE|Npl|Xgen	
A_TUMMAHKO	tummahkoihin	tummahko|ADJECTIVE|Npl|Xill	
A_TUMMAHKO	tummahkoisiin	tummahko|ADJECTIVE|Npl|Xill	
A_TUMMAHKO	tummahkompi	tummahko|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TUMMAHKO	tummahkoin	tummahko|ADJECTIVE|Csup|Nsg|Xnom	
A_VALKAISTU	valkaistu	valkaistu|ADJECTIVE|Nsg|Xnom	bleached 
A_VALKAISTU	valkaistua	valkaistu|ADJECTIVE|Nsg|Xpar	
A_VALKAISTU	valkaistuun	valkaistu|ADJECTIVE|Nsg|Xill	
A_VALKAISTU	valkaistuna	valkaistu|ADJECTIVE|Nsg|Xess	
A_VALKAISTU	valkaistussa	valkaistu|ADJECTIVE|Nsg|Xine	
A_VALKAISTU	valkaistuja	valkaistu|ADJECTIVE|Npl|Xpar	
A_VALKAISTU	valkaistujen	valkaistu|ADJECTIVE|Npl|Xgen	
A_VALKAISTU	valkaistuihin	valkaistu|ADJECTIVE|Npl|Xill	
A_VALKAISTU	valkaistuina	valkaistu|ADJECTIVE|Npl|Xess	
A_VALKAISTU	valkaistuissa	valkaistu|ADJECTIVE|Npl|Xine	
A_VALKAISTU	valkaistumpi	valkaistu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VALKAISTU	valkaistuin	valkaistu|ADJECTIVE|Csup|Nsg|Xnom	
A_HÄPÄISTY	häpäisty	häpäisty|ADJECTIVE|Nsg|Xnom	defiled 
A_HÄPÄISTY	häpäistyä	häpäisty|ADJECTIVE|Nsg|Xpar	
A_HÄPÄISTY	häpäistyyn	häpäisty|ADJECTIVE|Nsg|Xill	
A_HÄPÄISTY	häpäistynä	häpäisty|ADJECTIVE|Nsg|Xess	
A_HÄPÄISTY	häpäistyssä	häpäisty|ADJECTIVE|Nsg|Xine	
A_HÄPÄISTY	häpäistyjä	häpäisty|ADJECTIVE|Npl|Xpar	
A_HÄPÄISTY	häpäistyjen	häpäisty|ADJECTIVE|Npl|Xgen	
A_HÄPÄISTY	häpäistyihin	häpäisty|ADJECTIVE|Npl|Xill	
A_HÄPÄISTY	häpäistyinä	häpäisty|ADJECTIVE|Npl|Xess	
A_HÄPÄISTY	häpäistyissä	häpäisty|ADJECTIVE|Npl|Xine	
A_HÄPÄISTY	häpäistympi	häpäisty|ADJECTIVE|Ccmp|Nsg|Xnom	
A_HÄPÄISTY	häpäistyin	häpäisty|ADJECTIVE|Csup|Nsg|Xnom	
A_HÖLÖ	hölö	hölö|ADJECTIVE|Nsg|Xnom	blabbermouth 
A_HÖLÖ	hölöä	hölö|ADJECTIVE|Nsg|Xpar	
A_HÖLÖ	hölöön	hölö|ADJECTIVE|Nsg|Xill	
A_HÖLÖ	hölönä	hölö|ADJECTIVE|Nsg|Xess	
A_HÖLÖ	hölössä	hölö|ADJECTIVE|Nsg|Xine	
A_HÖLÖ	hölöjä	hölö|ADJECTIVE|Npl|Xpar	
A_HÖLÖ	hölöjen	hölö|ADJECTIVE|Npl|Xgen	
A_HÖLÖ	hölöihin	hölö|ADJECTIVE|Npl|Xill	
A_HÖLÖ	hölöinä	hölö|ADJECTIVE|Npl|Xess	
A_HÖLÖ	hölöissä	hölö|ADJECTIVE|Npl|Xine	
A_HÖLÖ	hölömpi	hölö|ADJECTIVE|Ccmp|Nsg|Xnom	
A_HÖLÖ	hölöin	hölö|ADJECTIVE|Csup|Nsg|Xnom	
A_TOOPE	toope	toope|ADJECTIVE|Nsg|Xnom	doofus 
A_TOOPE	toopea	toope|ADJECTIVE|Nsg|Xpar	
A_TOOPE	toopeen	toope|ADJECTIVE|Nsg|Xill	
A_TOOPE	toopeja	toope|ADJECTIVE|Npl|Xpar	
A_TOOPE	toopejen	toope|ADJECTIVE|Npl|Xgen	
A_TOOPE	toopeihin	toope|ADJECTIVE|Npl|Xill	
A_TOOPE	toopempi	toope|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TOOPE	toopein	toope|ADJECTIVE|Csup|Nsg|Xnom	
A_TOOPE	toopein	toope|ADJECTIVE|Npl|Xgen|Urare	
A_BEIGE	beige	beige|ADJECTIVE|Nsg|Xnom	beige 
A_BEIGE	beigeä	beige|ADJECTIVE|Nsg|Xpar	
A_BEIGE	beigeen	beige|ADJECTIVE|Nsg|Xill	
A_BEIGE	beigejä	beige|ADJECTIVE|Npl|Xpar	
A_BEIGE	beigejen	beige|ADJECTIVE|Npl|Xgen	
A_BEIGE	beigeihin	beige|ADJECTIVE|Npl|Xill	
A_BEIGE	beigempi	beige|ADJECTIVE|Ccmp|Nsg|Xnom	
A_BEIGE	beigein	beige|ADJECTIVE|Csup|Nsg|Xnom	
A_KOHELO	tohelo	tohelo|ADJECTIVE|Nsg|Xnom	clumsy 
A_KOHELO	toheloita	tohelo|ADJECTIVE|Npl|Xpar	
