lemma	homonym	new_para	boundaries
4H-kerho	1	N_TALO	4H-kerho
4H-kerholainen	1	N_AAKKOSTAMINEN	4H-kerholainen
4H-neuvoja	1	N_VOIMA	4H-neuvoja
4H-toiminta	1	N_KUTSUNTA	4H-toiminta
a priori	1	PCLE_VAAN	a priori
à la	1	PCLE_VAAN	à la
à la carte	1	N_NALLE	à la carte
à la carte -annos	1	N_VAKUUTUS	à la carte -annos
aakkosjärjestys	1	N_RÄJÄYTYS	aakkos{WB}järjestys
aakkoskeitto	1	N_HIRTTO	aakkos{WB}keitto
aakkoskirjain	1	N_PUHELIN	aakkos{WB}kirjain
aakkoslaji	1	N_RUUVI	aakkos{WB}laji
aakkosnumeerinen	1	A_AAKKOSELLINEN	aakkos{WB}numeerinen
aakkosruno	1	N_TALO	aakkos{WB}runo
Aalintie	1	N_TIE	Aalin{WB}tie
aallonharja	1	N_KIRJA	aallon{WB}harja
aallonmurtaja	1	N_VOIMA	aallon{WB}murtaja
aallonpituus	1	N_AAKKOSELLISUUS	aallon{WB}pituus
aallonpohja	1	N_VOIMA	aallon{WB}pohja
Aallontie	1	N_TIE	Aallon{WB}tie
aaloeheimo	1	N_TALO	aaloe{WB}heimo
aaltoallas	1	N_ALLAS	aalto{WB}allas
aaltoalue	1	N_ASTE	aalto{WB}alue
aaltoenergia	1	N_MAKKARA	aalto{WB}energia
aaltohiukkasdualismi	1	N_RUUVI	aaltohiukkas{WB}dualismi
aaltokulma	1	N_VOIMA	aalto{WB}kulma
aaltolevy	1	N_KÄRRY	aalto{WB}levy
aaltoliike	1	N_LÄÄKE	aalto{WB}liike
aaltoluku	1	N_LUKU	aalto{WB}luku
aaltomekaniikka	1	N_POLITIIKKA	aalto{WB}mekaniikka
aaltomuoto	1	N_VETO	aalto{WB}muoto
aaltopahvi	1	N_RUUVI	aalto{WB}pahvi
aaltopelti	1	N_PELTI	aalto{WB}pelti
aaltopeltivaja	1	N_KIRJA	aaltopelti{WB}vaja
aaltopituus	1	N_AAKKOSELLISUUS	aalto{WB}pituus
aaltoputki	1	N_ONNI	aalto{WB}putki
aaltoreunainen	1	A_AAKKOSELLINEN	aalto{WB}reunainen
aaltorintama	1	N_VOIMA	aalto{WB}rintama
aaltosarja	1	N_KIRJA	aalto{WB}sarja
aaltosulje	1	N_POHJE	aalto{WB}sulje
aaltosulku	1	N_ALKU	aalto{WB}sulku
aaltosulkumerkki	1	N_HÄKKI	aalto{WB}sulku{WB}merkki
aaltoteoria	1	N_MAKKARA	aalto{WB}teoria
aaltoviiva	1	N_KIRJA	aalto{WB}viiva
aaltovoimala	1	N_MAKKARA	aalto{WB}voimala
aaltoyhtälö	1	N_JÄÄTELÖ	aalto{WB}yhtälö
aamiaisaika	1	N_AIKA	aamiais{WB}aika
aamiaismajoitus	1	N_VAKUUTUS	aamiais{WB}majoitus
aamiaisnurkka	1	N_LUOKKA	aamiais{WB}nurkka
aamiaispaikka	1	N_POLITIIKKA	aamiais{WB}paikka
aamiaispöytä	1	N_PÖYTÄ	aamiais{WB}pöytä
aamiaisruoka	1	N_RUOKA	aamiais{WB}ruoka
aamiaistapaaminen	1	N_AAKKOSTAMINEN	aamiais{WB}tapaaminen
aamiaistunti	1	N_SOINTI	aamiais{WB}tunti
aamuaskare	1	N_ASTE	aamu{WB}askare
aamuasu	1	N_ASU	aamu{WB}asu
aamuateria	1	N_MAKKARA	aamu{WB}ateria
aamuhartaus	1	N_AAKKOSELLISUUS	aamu{WB}hartaus
aamuhämärä	1	N_HÖPÖTTÄJÄ	aamu{WB}hämärä
aamujumalanpalvelus	1	N_VAKUUTUS	aamu{WB}jumalan{WB}palvelus
aamujuna	1	N_VOIMA	aamu{WB}juna
aamukahvi	1	N_RUUVI	aamu{WB}kahvi
aamukampa	1	N_RAMPA	aamu{WB}kampa
aamukaste	1	N_ASTE	aamu{WB}kaste
aamukylmä	1	A_TYHMÄ	aamu{WB}kylmä
aamulehti	1	N_LEHTI	aamu{WB}lehti
aamulenkki	1	N_HÄKKI	aamu{WB}lenkki
aamulypsy	1	N_KÄRRY	aamu{WB}lypsy
aamulähetys	1	N_RÄJÄYTYS	aamu{WB}lähetys
aamulämpö	1	N_LÄMPÖ	aamu{WB}lämpö
aamunavaus	1	N_VAKUUTUS	aamun{WB}avaus
aamunkoite	1	N_OSOITE	aamun{WB}koite
aamunkoitto	1	N_HIRTTO	aamun{WB}koitto
aamunraikas	1	A_VOIMAKAS	aamun{WB}raikas
aamunsarastus	1	N_VAKUUTUS	aamun{WB}sarastus
aamuntorkku	1	N_TIKKU	aamun{WB}torkku
aamunvirkku	1	N_TIKKU	aamun{WB}virkku
aamupahoinvointi	1	N_SOINTI	aamu{WB}pahoin{WB}vointi
aamupala	1	N_KIRJA	aamu{WB}pala
aamupalvelus	1	N_VAKUUTUS	aamu{WB}palvelus
aamupesu	1	N_ASU	aamu{WB}pesu
aamupuku	1	N_LUKU	aamu{WB}puku
aamupuoli	1	N_RUUHI	aamu{WB}puoli
aamupäivä	1	N_HÖPÖTTÄJÄ	aamu{WB}päivä
aamurusko	1	N_TALO	aamu{WB}rusko
aamuruuhka	1	N_VOIMA	aamu{WB}ruuhka
aamuryyppy	1	N_RYYPPY	aamu{WB}ryyppy
aamusoitto	1	N_HIRTTO	aamu{WB}soitto
aamutakki	1	N_LOKKI	aamu{WB}takki
aamutohveli	1	N_KANAALI	aamu{WB}tohveli
aamutorkku	1	N_TIKKU	aamu{WB}torkku
aamutossu	1	N_ASU	aamu{WB}tossu
aamutuimaan	1	PCLE_NOPEASTI	aamu{WB}tuimaan
aamutähti	1	N_LEHTI	aamu{WB}tähti
aamu-uninen	1	A_AAKKOSELLINEN	aamu-uninen
aamu-unisuus	1	N_AAKKOSELLISUUS	aamu-unisuus
aamu-uutiset	1	N_RAPPUSET	aamu-uutiset
aamuvarhainen	1	N_AAKKOSTAMINEN	aamu{WB}varhainen
aamuvartio	1	N_TUOMIO	aamu{WB}vartio
aamuvirkku	1	N_TIKKU	aamu{WB}virkku
aamuvoimistelu	1	N_SEIKKAILU	aamu{WB}voimistelu
aamuvuoro	1	N_TALO	aamu{WB}vuoro
aamuyö	1	N_TYÖ	aamu{WB}yö
aapasuo	1	N_VUO	aapa{WB}suo
aapiskirja	1	N_KIRJA	aapis{WB}kirja
aapiskukko	1	N_UKKO	aapis{WB}kukko
aaprottimaruna	1	N_PROBLEEMA	aaprotti{WB}maruna
aarnialue	1	N_ASTE	aarni{WB}alue
aarnihauta	1	N_PATA	aarni{WB}hauta
aarnihonka	1	N_HONKA	aarni{WB}honka
aarnikotka	1	N_VOIMA	aarni{WB}kotka
aarniohauta	1	N_PATA	aarnio{WB}hauta
aarniometsä	1	N_HÖPÖTTÄJÄ	aarnio{WB}metsä
aarnipuu	1	N_PUU	aarni{WB}puu
aarnituli	1	N_TULI	aarni{WB}tuli
aarnivalkea	1	N_SOKEA	aarni{WB}valkea
aarreaitta	1	N_MITTA	aarre{WB}aitta
aarrearkku	1	N_TIKKU	aarre{WB}arkku
aarrehauta	1	N_PATA	aarre{WB}hauta
aarrekammio	1	N_TUOMIO	aarre{WB}kammio
aarrekätkö	1	N_MÖMMÖ	aarre{WB}kätkö
aarrelaiva	1	N_KIRJA	aarre{WB}laiva
aarrelöytö	1	N_HÄÄTÖ	aarre{WB}löytö
aarretuli	1	N_TULI	aarre{WB}tuli
aarrevalkea	1	N_SOKEA	aarre{WB}valkea
aarteenetsijä	1	N_HÄKKYRÄ	aarteen{WB}etsijä
aarteenetsintä	1	N_KYSYNTÄ	aarteen{WB}etsintä
aasialaisamerikkalainen	1	N_AAKKOSTAMINEN	aasialais{WB}amerikkalainen
aasinpotku	1	N_ASU	aasin{WB}potku
aasinsilta	1	N_VALTA	aasin{WB}silta
aasitamma	1	N_KIRJA	aasi{WB}tamma
aataminaikainen	1	A_AAKKOSELLINEN	aatamin{WB}aikainen
aataminomena	1	N_PROBLEEMA	aatamin{WB}omena
aataminpuku	1	N_LUKU	aatamin{WB}puku
aatehistoria	1	N_MAKKARA	aate{WB}historia
aatekilpailu	1	N_SEIKKAILU	aate{WB}kilpailu
aatelisarvo	1	N_TALO	aatelis{WB}arvo
aatelisherra	1	N_KIRJA	aatelis{WB}herra
