lemma	new_para	original-ktn
aavameri	N_MERI	51
ahkeraliisa	N_KIRJA	50
ahtaus	N_AAKKOSELLISUUS	40
ahtaus	N_VAKUUTUS	40
aika	PCLE_VAAN	9
aika	N_AIKA	9
aitoamaryllis	N_RÄJÄYTYS	50
aito	A_MIETO	99
aitosuomalainen	N_AAKKOSTAMINEN	50
aitosuomalaisuus	N_AAKKOSELLISUUS	50
aitosyöpä	N_LEIPÄ	50
aitotumallinen	A_AAKKOSELLINEN	50
aitotumallinen	A_AAKKOSELLINEN	50
aitotumallinen	N_AAKKOSTAMINEN	50
aitotumallinen	N_AAKKOSTAMINEN	50
aneurysma	N_KIRJA	10
bed and breakfast	N_PUNK	99
bileet	N_RÄMEET	20
eukkonen	N_AAKKOSTAMINEN	99
forte	PCLE_VAAN	8
fortissimo	PCLE_VAAN	2
hapanimelä	A_TYHMÄ	50
hapanimeläkastike	N_KASTIKE	50
hapanjuuri	N_RUUHI	50
hapankaali	N_RUUVI	50
hapankerma	N_KIRJA	50
hapankorppu	N_LIPPU	50
hapanleipä	N_LEIPÄ	50
hapannaama	N_KIRJA	50
hapantaikina	N_KITARA	50
happy hour	N_PUNK	99
harmaa-asteikko	N_LEPAKKO	50
harmaahaikara	N_KITARA	50
harmaahapsi	N_LAPSI	50
harmaahapsi	N_LAPSI	50
harmaahapsi	N_ONNI	50
harmaahapsi	N_ONNI	50
harmaahome	N_ASTE	50
harmaahylje	N_HYLJE	50
harmaakaihi	N_ONNI	50
harmaakaihi	N_RUUVI	50
harmaakarhu	N_ASU	50
harmaakiilto	N_KIELTO	50
harmaakivi	N_KIVI	50
harmaaleppä	N_SEPPÄ	50
harmaalokki	N_LOKKI	50
harmaanieriä	N_HÄKKYRÄ	50
harmaaparta	N_KERTA	50
harmaapää	N_PÄÄ	50
harmaasieppo	N_HAPPO	50
harmaatuonti	N_SOINTI	50
harmaavarpunen	N_AAKKOSTAMINEN	50
helppoheikki	N_LOKKI	50
herkkäilmeinen	A_KYLMÄJÄRKINEN	18
hidaskatu	N_KUITU	50
hienohelma	N_KIRJA	50
hienomekaanikko	N_LEPAKKO	50
hienomekaniikka	N_POLITIIKKA	50
hienomotoriikka	N_POLITIIKKA	50
hienopaperi	N_KANAALI	50
hienopesu	N_ASU	50
hienorakenne	N_RAKENNE	50
hienosahaus	N_VAKUUTUS	50
hienosaippua	N_MAKKARA	50
hienosokeri	N_KANAALI	51
hienosäädin	N_SÄÄDIN	50
hienosäätö	N_HÄÄTÖ	50
hohtojalokivi	N_ONNI	50
hoosianna	PCLE_VAAN	9
hoosianna	N_KIRJA	9
huimapää	N_PÄÄ	50
