lemma	new_para	clitics
aakkosellisesti	PCLE_NOPEASTI	opt
aakkosittain	PCLE_NOPEASTI	opt
aalloittain	PCLE_NOPEASTI	opt
aasimaisesti	PCLE_NOPEASTI	opt
aatteellisesti	PCLE_NOPEASTI	opt
aavemaisesti	PCLE_NOPEASTI	opt
absoluuttisesti	PCLE_NOPEASTI	opt
abstraktisesti	PCLE_NOPEASTI	opt
abstraktisti	PCLE_NOPEASTI	opt
absurdisti	PCLE_NOPEASTI	opt
adekvaatisti	PCLE_NOPEASTI	opt
adjektiivisesti	PCLE_NOPEASTI	opt
adverbiaalisesti	PCLE_NOPEASTI	opt
adverbisesti	PCLE_NOPEASTI	opt
adversatiivisesti	PCLE_NOPEASTI	opt
aerodynaamisesti	PCLE_NOPEASTI	opt
affektiivisesti	PCLE_NOPEASTI	opt
affektisesti	PCLE_NOPEASTI	opt
aggressiivisesti	PCLE_NOPEASTI	opt
agnostisesti	PCLE_NOPEASTI	opt
ahdashenkisesti	PCLE_TYHMÄSTI	opt
ahdasmielisesti	PCLE_TYHMÄSTI	opt
ahdasnäköisesti	PCLE_TYHMÄSTI	opt
ahdasrajaisesti	PCLE_NOPEASTI	opt
ahdistuneesti	PCLE_NOPEASTI	opt
ahkerasti	PCLE_NOPEASTI	opt
ahnaasti	PCLE_NOPEASTI	opt
ahneesti	PCLE_NOPEASTI	opt
ahtaasti	PCLE_NOPEASTI	opt
aidosti	PCLE_NOPEASTI	opt
aiheellisesti	PCLE_NOPEASTI	opt
aiheettomasti	PCLE_NOPEASTI	opt
aikaan	PCLE_VALTAAN	opt
aina	PCLE_KOTONA	opt
aistikkaasti	PCLE_NOPEASTI	opt
aistillisesti	PCLE_NOPEASTI	opt
ajallisesti	PCLE_NOPEASTI	opt
ajanmukaisesti	PCLE_NOPEASTI	opt
ajattelemattomasti	PCLE_NOPEASTI	opt
ajattomasti	PCLE_NOPEASTI	opt
ajatuksellisesti	PCLE_NOPEASTI	opt
ajatuksettomasti	PCLE_NOPEASTI	opt
ajoittain	PCLE_NOPEASTI	opt
akateemisesti	PCLE_NOPEASTI	opt
akkamaisesti	PCLE_NOPEASTI	opt
aksiaalisesti	PCLE_NOPEASTI	opt
aksiomaattisesti	PCLE_NOPEASTI	opt
aktiivisesti	PCLE_NOPEASTI	opt
aktuaalisesti	PCLE_NOPEASTI	opt
akustisesti	PCLE_NOPEASTI	opt
akuutisti	PCLE_NOPEASTI	opt
ala-arvoisesti	PCLE_NOPEASTI	opt
alakanttiin	PCLE_VALTAAN	opt
alakuloisesti	PCLE_NOPEASTI	opt
alamaisesti	PCLE_NOPEASTI	opt
alasti	PCLE_NOPEASTI	opt
alentavasti	PCLE_NOPEASTI	opt
alentuvaisesti	PCLE_NOPEASTI	opt
