lemma	new_paras	homonym
/	['PCLE_VAAN']	1
/	['SYMBOL_PISTE']	2
’	['SYMBOL_PISTE']	1
’	['SYMBOL_PISTE']	2
#	['ACRO_SENTTI']	1
#	['SYMBOL_PISTE']	2
Aaka	['N_KIRJA']	1
Aaka	['N_VIKA']	2
AAL	['ACRO_ÄKS']	1
AAL	['N_PUNK']	2
aamen	['N_JOUTSEN']	1
aamen	['PCLE_VAAN']	2
Aarre	['N_AARRE']	1
Aarre	['N_NALLE']	2
Aarto	['N_SIIRTO']	1
Aarto	['N_TALO']	2
aavameri	['N_51aavameri']	1
aavameri	['N_MERI']	2
ab	['ACRO_EE',	1
ab	['PCLE_VAAN']	2
Abbas	['N_PUNK']	1
Abbas	['N_VAKUUTUS']	2
Abony	['N_KÄRRY']	1
Abony	['N_ZEN']	2
Acheloos	['N_PUNK']	1
Acheloos	['N_VAKUUTUS']	2
Achelóos	['N_PUNK']	1
Achelóos	['N_VAKUUTUS']	2
Achilleio	['N_TALO']	1
Achilleio	['N_TUOMIO']	2
Achílleio	['N_TALO']	1
Achílleio	['N_TUOMIO']	2
Achilles	['N_ARISTOTELES']	1
Achilles	['N_VAKUUTUS']	2
ADAC	['ACRO_EE']	1
ADAC	['N_PUNK']	2
adyge	['N_NALLE']	1
adyge	['N_NISSE']	2
AEGEE	['ACRO_EE']	1
AEGEE	['N_ROSÉ']	2
afar	['N_PUNK']	1
afar	['N_STADION']	2
afferentti	['A_HURTTI']	1
afferentti	['N_KORTTI']	2
afganistanilainen	['A_AAKKOSELLINEN']	1
afganistanilainen	['N_AAKKOSTAMINEN']	2
Afortus	['N_PUNK']	1
Afortus	['N_VAKUUTUS']	2
afroaasialainen	['A_AAKKOSELLINEN']	1
afroaasialainen	['N_AAKKOSTAMINEN']	2
afroamerikkalainen	['A_AAKKOSELLINEN']	1
afroamerikkalainen	['N_AAKKOSTAMINEN']	2
AFTA	['ACRO_AA']	1
AFTA	['N_FIFA']	2
aghem	['N_PUNK']	1
aghem	['N_STADION']	2
Agnes	['N_PUNK']	1
Agnes	['N_VAKUUTUS']	2
Agrippa	['N_KIRJA']	1
Agrippa	['N_TIPPA']	2
AHKA	['ACRO_AA']	1
AHKA	['N_FIFA']	2
ahlaislainen	['A_AAKKOSELLINEN']	1
ahlaislainen	['N_AAKKOSTAMINEN']	2
ahmatti	['A_HURTTI']	1
ahmatti	['N_KORTTI']	2
Ahonen-Myka	['N_KIRJA']	1
Ahonen-Myka	['N_VOIMA']	2
ahtaus	['N_AAKKOSELLISUUS']	1
ahtaus	['N_VAKUUTUS']	2
Ahti	['N_RUUVI']	1
Ahti	['N_TAUTI']	2
Ahto	['N_TALO']	1
Ahto	['N_VETO']	2
Ahvenlampi	['N_LAMMI']	1
Ahvenlampi	['N_SAMPI']	2
Ahvenojanrimpi	['N_LAMMI']	1
Ahvenojanrimpi	['N_SAMPI']	2
Aianteio	['N_TALO']	1
Aianteio	['N_TUOMIO']	2
Aiánteio	['N_TALO']	1
Aiánteio	['N_TUOMIO']	2
aids	['ACRO_ÄKS']	1
aids	['N_PUNK']	2
AIECE	['ACRO_EE']	1
AIECE	['N_NALLE']	2
AIESEC	['ACRO_EE']	1
AIESEC	['N_PUNK']	2
AIG	['ACRO_EE']	1
AIG	['N_PUNK']	2
Aigeiros	['N_PUNK']	1
Aigeiros	['N_VAKUUTUS']	2
Aígeiros	['N_PUNK']	1
Aígeiros	['N_VAKUUTUS']	2
Aigio	['N_TALO']	1
Aigio	['N_TUOMIO']	2
Aígio	['N_TALO']	1
Aígio	['N_TUOMIO']	2
aika	['N_AIKA']	1
aika	['PCLE_VAAN']	2
aikaan	['PCLE_NOPEASTI']	1
aikaan	['PCLE_VALTAAN']	2
aikanaan	['PCLE_ILKOSILLAAN']	1
aikanaan	['PCLE_NOPEASTI']	2
aikoihin	['PCLE_NOPEASTI']	1
aikoihin	['PCLE_VAAN']	2
aikuinen	['A_AAKKOSELLINEN']	1
aikuinen	['N_AAKKOSTAMINEN']	2
ailahteleva	['A_RUMA']	1
ailahteleva	['N_VOIMA']	2
ainokainen	['A_AAKKOSELLINEN']	1
ainokainen	['N_AAKKOSTAMINEN']	2
Ainos	['N_PUNK']	1
Ainos	['N_VAKUUTUS']	2
Aínos	['N_PUNK']	1
Aínos	['N_VAKUUTUS']	2
ainut	['A_AINUT']	1
ainut	['PCLE_VAAN']	2
Airdrie	['N_BRASSERIE']	1
Airdrie	['N_ZOMBIE']	2
Airpro	['N_ESQUIMAU']	1
Airpro	['N_TALO']	2
aistivammainen	['A_AAKKOSELLINEN']	1
aistivammainen	['N_AAKKOSTAMINEN']	2
Aitarimpi	['N_LAMMI']	1
Aitarimpi	['N_SAMPI']	2
aitolahtelainen	['A_AAKKOSELLINEN']	1
aitolahtelainen	['N_AAKKOSTAMINEN']	2
aitotumallinen	['A_AAKKOSELLINEN']	1
aitotumallinen	['N_AAKKOSTAMINEN']	2
Aittalamminrimpi	['N_LAMMI']	1
Aittalamminrimpi	['N_SAMPI']	2
aivokuollut	['A_KULUNUT']	1
aivokuollut	['N_AIVOKUOLLUT']	2
Aivolanpuhti	['N_RUUVI']	1
Aivolanpuhti	['N_TAUTI']	2
aivoton	['A_VIATON']	1
aivoton	['N_OSATON']	2
aivovammainen	['A_AAKKOSELLINEN']	1
aivovammainen	['N_AAKKOSTAMINEN']	2
akaalainen	['A_AAKKOSELLINEN']	1
akaalainen	['N_AAKKOSTAMINEN']	2
Akanrimpi	['N_LAMMI']	1
Akanrimpi	['N_SAMPI']	2
AKE	['ACRO_EE']	1
AKE	['N_NALLE']	2
akhaialainen	['A_AAKKOSELLINEN']	1
akhaialainen	['N_AAKKOSTAMINEN']	2
Akilles	['N_ARISTOTELES']	1
Akilles	['N_VAKUUTUS']	2
Akkarimpi	['N_LAMMI']	1
Akkarimpi	['N_SAMPI']	2
Akko	['N_TALO']	1
Akko	['N_UKKO']	2
aktiivi	['A_ABNORMI']	1
aktiivi	['N_RUUVI']	2
Aku	['N_ASU']	1
Aku	['N_MAKU']	2
akuutti	['A_HURTTI']	1
akuutti	['N_KORTTI']	2
AL	['ACRO_ÄKS',	1
AL	['ACRO_ÄKS',	2
AL	['ACRO_ÄKS',	3
Ala-Asmunti	['N_RUUVI']	1
Ala-Asmunti	['N_SOINTI']	2
alahärmäläinen	['A_KYLMÄJÄRKINEN']	1
alahärmäläinen	['N_KYLKIÄINEN']	2
alaikäinen	['A_KYLMÄJÄRKINEN']	1
alaikäinen	['N_KYLKIÄINEN']	2
alainen	['A_AAKKOSELLINEN']	1
alainen	['N_AAKKOSTAMINEN']	2
alajärveläinen	['A_KYLMÄJÄRKINEN']	1
alajärveläinen	['N_KYLKIÄINEN']	2
alakuloinen	['A_AAKKOSELLINEN']	1
alakuloinen	['N_AAKKOSTAMINEN']	2
alaluokkalainen	['A_AAKKOSELLINEN']	1
alaluokkalainen	['N_AAKKOSTAMINEN']	2
alankomaalainen	['A_AAKKOSELLINEN']	1
