lemma	homonym	new_para	noun_class
dnro	1	N_RUIPELO	abbreviation
Hki	1	N_TYYLI	abbreviation
hlö	1	N_JÄÄTELÖ	abbreviation
hra	1	N_KIRJA	abbreviation
hsto	1	N_TALO	abbreviation
khra	1	N_KIRJA	abbreviation
klo	1	N_TALO	abbreviation
kni	1	N_TYYLI	abbreviation
krnro	1	N_RUIPELO	abbreviation
n:o	1	N_RUIPELO	abbreviation
nro	1	N_RUIPELO	abbreviation
nro	1	PCLE_VAAN	abbreviation
pjsto	1	N_TALO	abbreviation
psto	1	N_TALO	abbreviation
ptri	1	N_KEHVELI	abbreviation
RN:o	1	N_RUIPELO	abbreviation
rva	1	N_VOIMA	abbreviation
snro	1	N_RUIPELO	abbreviation
srnro	1	N_RUIPELO	abbreviation
Tku	1	N_ASU	abbreviation
Tre	1	N_PISTE	abbreviation
tri	1	N_TYYLI	abbreviation
tsto	1	N_TALO	abbreviation
yrnro	1	N_RUIPELO	abbreviation
