lemma	new_para	numeral_class
biljardi	NUM_MILJARDI	cardinal
biljoona	NUM_MILJOONA	cardinal
biljoonasosa	NUM_KOLMASOSA	cardinal
kahdeksankymmentä	NUM_KYMMENTÄ	cardinal
kahdeksan	NUM_KAHDEKSAN	cardinal
kahdeksansataa	NUM_KYMMENTÄ	cardinal
kahdeksantoista	NUM_KYMMENTÄ	cardinal
kahdeksantoistasataa	NUM_KYMMENTÄ	cardinal
kahdeksantuhatta	NUM_KYMMENTÄ	cardinal
kahdeksasosa	NUM_KOLMASOSA	cardinal
kahdeksisenkymmentä	NUM_KYMMENTÄ	cardinal
kahdeksisen	NUM_KUUTISEN	cardinal
kahdeksisensataa	NUM_KYMMENTÄ	cardinal
kahdeksisentoista	NUM_KYMMENTÄ	cardinal
kahdeksisentuhatta	NUM_KYMMENTÄ	cardinal
kahdesosa	NUM_KOLMASOSA	cardinal
kahta	NUM_KYMMENTÄ	cardinal
kahtisentoista	NUM_KYMMENTÄ	cardinal
kaksikymmentä	NUM_KYMMENTÄ	cardinal
kaksikymmentäyksi	NUM_YKSI	cardinal
kaksi	NUM_KAKSI	cardinal
kaksisataa	NUM_KYMMENTÄ	cardinal
kaksisentoista	NUM_KYMMENTÄ	cardinal
kaksitoista	NUM_KYMMENTÄ	cardinal
kaksituhatta	NUM_KYMMENTÄ	cardinal
kaks	NUM_KYMMENTÄ	cardinal
kiljoona	NUM_MILJOONA	cardinal
kolmasosa	NUM_KOLMASOSA	cardinal
kolmekymmentä	NUM_KYMMENTÄ	cardinal
kolme	NUM_KOLME	cardinal
kolmesataa	NUM_KYMMENTÄ	cardinal
kolmetoista	NUM_KYMMENTÄ	cardinal
kolmetuhatta	NUM_KYMMENTÄ	cardinal
kolmisenkymmentä	NUM_KYMMENTÄ	cardinal
kolmisen	NUM_KUUTISEN	cardinal
kolmisensataa	NUM_KYMMENTÄ	cardinal
kolmisentoista	NUM_KYMMENTÄ	cardinal
kolmisentuhatta	NUM_KYMMENTÄ	cardinal
kuudesosa	NUM_KOLMASOSA	cardinal
kuusikymmentä	NUM_KYMMENTÄ	cardinal
kuusi	NUM_KUUSI	cardinal
kuusisataa	NUM_KYMMENTÄ	cardinal
kuusitoista	NUM_KYMMENTÄ	cardinal
kuutisenkymmentä	NUM_KYMMENTÄ	cardinal
kuutisen	NUM_KUUTISEN	cardinal
kuutisensataa	NUM_KYMMENTÄ	cardinal
kuutisentoista	NUM_KYMMENTÄ	cardinal
kuutisentuhatta	NUM_KYMMENTÄ	cardinal
kvadriljoona	NUM_MILJOONA	cardinal
kvintiljoona	NUM_MILJOONA	cardinal
kymmenen	NUM_KYMMENEN	cardinal
kymmenentuhatta	NUM_KYMMENTÄ	cardinal
kymmenesosa	NUM_KOLMASOSA	cardinal
kymmenestuhannesosa	NUM_KOLMASOSA	cardinal
kymmenisen	NUM_VIITISEN	cardinal
kymmenisentuhatta	NUM_KYMMENTÄ	cardinal
kymmenkunta	NUM_KYMMENKUNTA	cardinal
kymmen	NUM_KYMMEN	cardinal
miljardi	NUM_MILJARDI	cardinal
miljardisosa	NUM_KOLMASOSA	cardinal
miljoona	NUM_MILJOONA	cardinal
miljoonasosa	NUM_KOLMASOSA	cardinal
nelisenkymmentä	NUM_KYMMENTÄ	cardinal
nelisen	NUM_VIITISEN	cardinal
nelisensataa	NUM_KYMMENTÄ	cardinal
nelisentoista	NUM_KYMMENTÄ	cardinal
nelisentuhatta	NUM_KYMMENTÄ	cardinal
neljäkymmentä	NUM_KYMMENTÄ	cardinal
neljä	NUM_NELJÄ	cardinal
neljäsataa	NUM_KYMMENTÄ	cardinal
neljäsosa	NUM_KOLMASOSA	cardinal
neljätoista	NUM_KYMMENTÄ	cardinal
neljätuhatta	NUM_KYMMENTÄ	cardinal
nolla	NUM_MILJOONA	cardinal
parikymmentä	NUM_KYMMENTÄ	cardinal
pari	NUM_PARI	cardinal
parisataa	NUM_KYMMENTÄ	cardinal
parisenkymmentä	NUM_KYMMENTÄ	cardinal
parisen	NUM_KUUTISEN	cardinal
parisensataa	NUM_KYMMENTÄ	cardinal
parituhatta	NUM_KYMMENTÄ	cardinal
puolenkymmentä	NUM_KYMMENTÄ	cardinal
puolensataa	NUM_KYMMENTÄ	cardinal
puolentuhatta	NUM_KYMMENTÄ	cardinal
puolikymmentä	NUM_KYMMENTÄ	cardinal
puoli	NUM_PUOLI	cardinal
puolisataa	NUM_KYMMENTÄ	cardinal
puolisenkymmentä	NUM_KYMMENTÄ	cardinal
puolisen	NUM_KUUTISEN	cardinal
puolisensataa	NUM_KYMMENTÄ	cardinal
puolisentoista	NUM_KYMMENTÄ	cardinal
puolisentoistasataa	NUM_KYMMENTÄ	cardinal
puolitoistakymmentä	NUM_KYMMENTÄ	cardinal
puolitoista	NUM_KYMMENTÄ	cardinal
puolitoistasataa	NUM_KYMMENTÄ	cardinal
puolituhatta	NUM_KYMMENTÄ	cardinal
sadasosa	NUM_KOLMASOSA	cardinal
sadastuhannesosa	NUM_KOLMASOSA	cardinal
satakunta	NUM_KYMMENKUNTA	cardinal
sata	NUM_SATA	cardinal
satatuhatta	NUM_KYMMENTÄ	cardinal
seitsemisenkymmentä	NUM_KYMMENTÄ	cardinal
seitsemisen	NUM_VIITISEN	cardinal
seitsemisensataa	NUM_KYMMENTÄ	cardinal
seitsemisentoista	NUM_KYMMENTÄ	cardinal
seitsemisentuhatta	NUM_KYMMENTÄ	cardinal
seitsemänkymmentä	NUM_KYMMENTÄ	cardinal
seitsemän	NUM_YHDEKSÄN	cardinal
seitsemänsataa	NUM_KYMMENTÄ	cardinal
seitsemäntoista	NUM_KYMMENTÄ	cardinal
seitsemäntuhatta	NUM_KYMMENTÄ	cardinal
seitsemäsosa	NUM_KOLMASOSA	cardinal
toistakymmentä	NUM_KYMMENTÄ	cardinal
toistakymmentätuhatta	NUM_KYMMENTÄ	cardinal
toistasataa	NUM_KYMMENTÄ	cardinal
toistatuhatta	NUM_KYMMENTÄ	cardinal
triljoona	NUM_MILJOONA	cardinal
triljoonasosa	NUM_KOLMASOSA	cardinal
tuhannesosa	NUM_KOLMASOSA	cardinal
tuhantisen	NUM_KUUTISEN	cardinal
tuhatkunta	NUM_KYMMENKUNTA	cardinal
tuhat	NUM_TUHAT	cardinal
viidesosa	NUM_KOLMASOSA	cardinal
viisikymmentä	NUM_KYMMENTÄ	cardinal
viisi	NUM_VIISI	cardinal
viisisataa	NUM_KYMMENTÄ	cardinal
viisitoista	NUM_KYMMENTÄ	cardinal
viisituhatta	NUM_KYMMENTÄ	cardinal
viitisenkymmentä	NUM_KYMMENTÄ	cardinal
viitisen	NUM_VIITISEN	cardinal
viitisensataa	NUM_KYMMENTÄ	cardinal
viitisentoista	NUM_KYMMENTÄ	cardinal
viitisentuhatta	NUM_KYMMENTÄ	cardinal
yhdeksisenkymmentä	NUM_KYMMENTÄ	cardinal
yhdeksisen	NUM_VIITISEN	cardinal
yhdeksisensataa	NUM_KYMMENTÄ	cardinal
yhdeksisentoista	NUM_KYMMENTÄ	cardinal
yhdeksisentuhatta	NUM_KYMMENTÄ	cardinal
yhdeksänkymmentä	NUM_KYMMENTÄ	cardinal
yhdeksän	NUM_YHDEKSÄN	cardinal
yhdeksänsataa	NUM_KYMMENTÄ	cardinal
yhdeksäntoista	NUM_KYMMENTÄ	cardinal
yhdeksäntoistasataa	NUM_KYMMENTÄ	cardinal
yhdeksäntuhatta	NUM_KYMMENTÄ	cardinal
yhdeksäsosa	NUM_KOLMASOSA	cardinal
yhtisentoista	NUM_KYMMENTÄ	cardinal
yhtä	NUM_KYMMENTÄ	cardinal
yksi	NUM_YKSI	cardinal
yksisentoista	NUM_KYMMENTÄ	cardinal
yksitoista	NUM_KYMMENTÄ	cardinal
yks	NUM_KYMMENTÄ	cardinal
ensimmäinen	NUM_ENSIMMÄINEN	ordinal
kahdeksaskymmenes	NUM_NELJÄS	ordinal
kahdeksas	NUM_KOLMAS	ordinal
kahdeksassadas	NUM_KOLMAS	ordinal
kahdeksastoista	NUM_KYMMENTÄ	ordinal
kahdeskymmenesensimmäinen	NUM_ENSIMMÄINEN	ordinal
kahdeskymmeneskahdes	NUM_KOLMAS	ordinal
kahdeskymmenes	NUM_NELJÄS	ordinal
kahdeskymmenestoinen	NUM_TOINEN	ordinal
kahdeskymmenesyhdes	NUM_NELJÄS	ordinal
kahdes	NUM_KOLMAS	ordinal
kahdessadas	NUM_KOLMAS	ordinal
kahdestoista	NUM_KYMMENTÄ	ordinal
kolmaskymmenes	NUM_NELJÄS	ordinal
kolmas	NUM_KOLMAS	ordinal
kolmassadas	NUM_KOLMAS	ordinal
kolmastoista	NUM_KYMMENTÄ	ordinal
kuudeskymmenes	NUM_NELJÄS	ordinal
kuudes	NUM_KOLMAS	ordinal
kuudessadas	NUM_KOLMAS	ordinal
kuudestoista	NUM_KYMMENTÄ	ordinal
kymmenes	NUM_NELJÄS	ordinal
neljäskymmenes	NUM_NELJÄS	ordinal
neljäs	NUM_NELJÄS	ordinal
neljässadas	NUM_KOLMAS	ordinal
neljästoista	NUM_KYMMENTÄ	ordinal
nollas	NUM_KOLMAS	ordinal
sadas	NUM_KOLMAS	ordinal
seitsemäskymmenes	NUM_NELJÄS	ordinal
seitsemäs	NUM_NELJÄS	ordinal
seitsemässadas	NUM_KOLMAS	ordinal
seitsemästoista	NUM_KYMMENTÄ	ordinal
toinen	NUM_TOINEN	ordinal
tuhannes	NUM_KOLMAS	ordinal
viideskymmenes	NUM_NELJÄS	ordinal
viides	NUM_NELJÄS	ordinal
viidessadas	NUM_KOLMAS	ordinal
viidestoista	NUM_KYMMENTÄ	ordinal
yhdeksäskymmenes	NUM_NELJÄS	ordinal
yhdeksäs	NUM_NELJÄS	ordinal
yhdeksässadas	NUM_KOLMAS	ordinal
yhdeksästoista	NUM_KYMMENTÄ	ordinal
yhdes	NUM_NELJÄS	ordinal
yhdestoista	NUM_KYMMENTÄ	ordinal
