lemma	homonym	new_para	particle
/	1	PCLE_VAAN	abbreviation
&	1	PCLE_VAAN	abbreviation
+	1	PCLE_VAAN	abbreviation
a priori	1	PCLE_VAAN	unspecified
à la	1	PCLE_VAAN	unspecified
aa	1	PCLE_HAH	interjection
aah	1	PCLE_HAH	interjection
aakkosellisesti	1	PCLE_NOPEASTI	adverb
aakkosittain	1	PCLE_NOPEASTI	adverb
aalloittain	1	PCLE_NOPEASTI	adverb
aamen	2	PCLE_VAAN	unspecified
aamuisin	1	PCLE_NOPEASTI	adverb
aamupäivisin	1	PCLE_TYHMÄSTI	adverb
aamusella	1	PCLE_NOPEASTI	adverb
aamutuimaan	1	PCLE_NOPEASTI	adverb
aamuvarhain	1	PCLE_NOPEASTI	adverb
aasimaisesti	1	PCLE_NOPEASTI	adverb
aatteellisesti	1	PCLE_NOPEASTI	adverb
aavemaisesti	1	PCLE_NOPEASTI	adverb
ab	2	PCLE_VAAN	abbreviation
Ab	1	PCLE_VAAN	abbreviation
absoluuttisesti	1	PCLE_NOPEASTI	adverb
abstraktisesti	1	PCLE_NOPEASTI	adverb
abstraktisti	1	PCLE_NOPEASTI	adverb
absurdisti	1	PCLE_NOPEASTI	adverb
a.D.	1	PCLE_VAAN	unspecified
adekvaatisti	1	PCLE_NOPEASTI	adverb
adjektiivisesti	1	PCLE_NOPEASTI	adverb
adverbiaalisesti	1	PCLE_NOPEASTI	adverb
adverbisesti	1	PCLE_NOPEASTI	adverb
adversatiivisesti	1	PCLE_NOPEASTI	adverb
aerodynaamisesti	1	PCLE_NOPEASTI	adverb
affektiivisesti	1	PCLE_NOPEASTI	adverb
affektisesti	1	PCLE_NOPEASTI	adverb
aggressiivisesti	1	PCLE_NOPEASTI	adverb
agnostisesti	1	PCLE_NOPEASTI	adverb
agrol.	1	PCLE_VAAN	abbreviation
agron.	1	PCLE_VAAN	abbreviation
ah	1	PCLE_HAH	interjection
aha	1	PCLE_HAH	interjection
ahaa	1	PCLE_HAH	interjection
ahah	1	PCLE_HAH	interjection
ahdashenkisesti	1	PCLE_TYHMÄSTI	adverb
ahdasmielisesti	1	PCLE_TYHMÄSTI	adverb
ahdasnäköisesti	1	PCLE_TYHMÄSTI	adverb
ahdasrajaisesti	1	PCLE_NOPEASTI	adverb
ahdistuneesti	1	PCLE_NOPEASTI	adverb
ahkeraan	1	PCLE_NOPEASTI	adverb
ahkerammin	1	PCLE_NOPEASTI	adverb|Comp
ahkerasti	1	PCLE_NOPEASTI	adverb
ahnaasti	1	PCLE_NOPEASTI	adverb
ahneesti	1	PCLE_NOPEASTI	adverb
ahtaalla	1	PCLE_NOPEASTI	adverb
ahtaalle	1	PCLE_NOPEASTI	adverb
ahtaasti	1	PCLE_NOPEASTI	adverb
ai	1	PCLE_HAH	interjection
aidosti	1	PCLE_NOPEASTI	adverb
aiemmin	1	PCLE_NOPEASTI	adverb|Comp
aih	1	PCLE_HAH	interjection
aiheellisesti	1	PCLE_NOPEASTI	adverb
aiheettomasti	1	PCLE_NOPEASTI	adverb
aijaa	1	PCLE_HAH	interjection
aijai	1	PCLE_HAH	interjection
aijaij	1	PCLE_HAH	interjection
aik.	1	PCLE_VAAN	abbreviation
aika	2	PCLE_VAAN	unspecified
aikaa	1	PCLE_NOPEASTI	adposition
aikaan	1	PCLE_NOPEASTI	adverb
aikaan	2	PCLE_VALTAAN	adposition
aikaiseksi	1	PCLE_NOPEASTI	adverb
aikaisemmin	1	PCLE_NOPEASTI	adverb|Comp
aikaisin	1	PCLE_NOPEASTI	adverb
aikaisintaan	1	PCLE_VAAN	unspecified
aikana	1	PCLE_KOTONA	adposition
aikanaan	1	PCLE_ILKOSILLAAN	adverb
aikanaan	2	PCLE_NOPEASTI	adverb
aikansa	1	PCLE_AIKANSA	adverb
aikoihin	1	PCLE_NOPEASTI	adposition
aikoihin	2	PCLE_VAAN	adverb
aikoinaan	1	PCLE_NOPEASTI	adverb
aikojaan	1	PCLE_NOPEASTI	adverb
aimo	1	PCLE_VAAN	unspecified
aina	1	PCLE_KOTONA	adverb
ainaiseksi	1	PCLE_NOPEASTI	adverb
ainakaan	1	PCLE_VAAN	unspecified
ainakin	1	PCLE_VAAN	unspecified
ainiaaksi	1	PCLE_NOPEASTI	adverb
ainiaan	1	PCLE_NOPEASTI	adverb
ainiaksi	1	PCLE_NOPEASTI	adverb
ainian	1	PCLE_NOPEASTI	adverb
ainiin	1	PCLE_HAH	interjection
ainoastaan	1	PCLE_NOPEASTI	unspecified
ainut	2	PCLE_VAAN	qualifier
aistikkaasti	1	PCLE_NOPEASTI	adverb
aistillisesti	1	PCLE_NOPEASTI	adverb
aivan	1	PCLE_NOPEASTI	unspecified
aivankuin	1	PCLE_VAAN	adverb
ajaksi	1	PCLE_NOPEASTI	adposition
ajallaan	1	PCLE_ILKOSILLAAN	adverb
ajallisesti	1	PCLE_NOPEASTI	adverb
ajalta	1	PCLE_KOTONA	adposition
ajan mittaan	1	PCLE_NOPEASTI	adverb
ajan	1	PCLE_NOPEASTI	adposition
ajanmukaisesti	1	PCLE_NOPEASTI	adverb
ajassa	1	PCLE_NOPEASTI	adverb
ajassaan	1	PCLE_ILKOSILLAAN	adverb
ajattelemattomasti	1	PCLE_NOPEASTI	adverb
ajattomasti	1	PCLE_NOPEASTI	adverb
ajatuksellisesti	1	PCLE_NOPEASTI	adverb
ajatuksettomasti	1	PCLE_NOPEASTI	adverb
ajatuksissaan	1	PCLE_ILKOSILLAAN	adverb
ajetuksissa	1	PCLE_NOPEASTI	adverb
ajoilta	1	PCLE_KOTONA	adposition
ajoissa	1	PCLE_NOPEASTI	adverb
ajoittain	1	PCLE_NOPEASTI	adverb
akat.	1	PCLE_VAAN	abbreviation
akateemisesti	1	PCLE_NOPEASTI	adverb
akkamaisesti	1	PCLE_NOPEASTI	adverb
aksiaalisesti	1	PCLE_NOPEASTI	adverb
aksiomaattisesti	1	PCLE_NOPEASTI	adverb
aktiivisemmin	1	PCLE_NOPEASTI	adverb|Comp
aktiivisesti	1	PCLE_NOPEASTI	adverb
aktuaalisesti	1	PCLE_NOPEASTI	adverb
akustisesti	1	PCLE_NOPEASTI	adverb
akuutisti	1	PCLE_NOPEASTI	adverb
al.	1	PCLE_VAAN	abbreviation
ala-arvoisesti	1	PCLE_NOPEASTI	adverb
alakantissa	1	PCLE_NOPEASTI	adverb
alakanttiin	1	PCLE_VALTAAN	adverb
alakautta	1	PCLE_NOPEASTI	adverb
alakkain	1	PCLE_NOPEASTI	adverb
alakuloisesti	1	PCLE_NOPEASTI	adverb
alakynnessä	1	PCLE_TYHMÄSTI	adverb
alakynteen	1	PCLE_TYHMÄSTI	adverb
alallaan	1	PCLE_ILKOSILLAAN	adverb
alalleen	1	PCLE_ISTUALLEEN	adverb
alamaihin	1	PCLE_NOPEASTI	adverb
alamaisesti	1	PCLE_NOPEASTI	adverb
alamaissa	1	PCLE_NOPEASTI	adverb
alapuolella	1	PCLE_KOTONA	adposition
alapuolella	2	PCLE_KOTONA	adverb
alapuolelle	1	PCLE_ALLE	adposition
alapuolelle	2	PCLE_ALLE	adverb
alapäässä	1	PCLE_TYHMÄSTI	adposition
alas	1	PCLE_NOPEASTI	adverb
