lemma	new_para	plurale_tantum
Aakarit	N_LASIT	obligatory
aakkonen	N_AAKKOSTAMINEN	common
Aalinkalliot	N_RAUNIOT	obligatory
Aalmanninarot	N_AIVOT	obligatory
Aalto-yliopistokiinteistöt	N_YHTIÖT	obligatory
aamu-uutiset	N_RAPPUSET	obligatory
Aapalamminkummut	N_KUMMUT	obligatory
Aapalammit	N_LAMMIT	obligatory
Aapasarat	N_PAIKAT	obligatory
Aapinlammit	N_LAMMIT	obligatory
Aapraminapajat	N_JUHLAT	obligatory
Aarreluodot	N_PIDOT	obligatory
Aarresaaret	N_SAARET	obligatory
Aarresärkät	N_SÄRKÄT	obligatory
Aartokummut	N_KUMMUT	obligatory
Aartosaaret	N_SAARET	obligatory
Aatamin ja Eevan kivet	N_RIPSET	obligatory
Aataminkalliot	N_RAUNIOT	obligatory
Aataminsaaret	N_SAARET	obligatory
Aatsinginjärvet	N_RIPSET	obligatory
Aattokalliot	N_RAUNIOT	obligatory
Aavasaksan Urheilijat	N_MARKKINAT	obligatory
ABC-asemat	N_JUHLAT	obligatory
Adoptioperheet	N_HIUTALEET	obligatory
Agronomivirkamiehet ja toimihenkilöt	N_JÄRJESTÖT	obligatory
ahdassuusammakko	N_LEPAKKO	common
ahdinmalluainen	N_AAKKOSTAMINEN	common
ahdin	N_VAADIN	common
Ahkiosaaret	N_SAARET	obligatory
Ahmajärvet	N_RIPSET	obligatory
Ahmakalliot	N_RAUNIOT	obligatory
Ahmakivet	N_SAKSET	obligatory
Ahmalammit	N_LAMMIT	obligatory
Ahmaluodot	N_PIDOT	obligatory
Ahmatievat	N_VARAT	obligatory
Ahmatunturinmuristat	N_VARAT	obligatory
Ahmatunturinpalot	N_AIVOT	obligatory
Ahoinvuoret	N_SAARET	obligatory
Ahokoskentievat	N_VARAT	obligatory
Aholammit	N_LAMMIT	obligatory
Aholankalliot	N_RAUNIOT	obligatory
Ahonalaset	N_RAPPUSET	obligatory
Ahoniitunkalliot	N_RAUNIOT	obligatory
Ahoniitut	N_NIITUT	obligatory
Ahonkalliot	N_RAUNIOT	obligatory
Ahon Matin saaret	N_SAARET	obligatory
Ahonpellot	N_AALLOT	obligatory
Ahonpäänkalliot	N_RAUNIOT	obligatory
Ahonpäänlammit	N_LAMMIT	obligatory
Ahonvuoret	N_SAARET	obligatory
Ahopäännokat	N_SUKAT	obligatory
Ahopäät	N_HÄÄT	obligatory
Ahosaaret	N_SAARET	obligatory
Ahoset	N_RAPPUSET	obligatory
Ahot	N_AIVOT	obligatory
Ahtastenkankaat	N_RENKAAT	obligatory
Ahtaus- ja Huolinta-alan Tekniset	N_VIHKIÄISET	obligatory
Ahterinkalliot	N_RAUNIOT	obligatory
Ahtimäet	N_MÄET	obligatory
