lemma	new_para	possessive
alitse	PCLE_ALLE	opt
alla	PCLE_KOTONA	opt
alle	PCLE_ALLE	opt
alta	PCLE_KOTONA	opt
ammolla	PCLE_KOTONA	opt
ammolle	PCLE_ALLE	opt
edelle	PCLE_YLLE	opt
edellä	PCLE_IKINÄ	opt
edeltä	PCLE_IKINÄ	opt
edessä	PCLE_IKINÄ	opt
edestä	PCLE_IKINÄ	opt
editse	PCLE_YLLE	opt
eksyksiin	PCLE_NÄKYVIIN	opt
eteen	PCLE_NÄKYVIIN	opt
hajalla	PCLE_KOTONA	opt
hajalle	PCLE_ALLE	opt
hallussa	PCLE_KOTONA	opt
hallusta	PCLE_KOTONA	opt
haltuun	PCLE_VALTAAN	opt
hampaissa	PCLE_KOTONA	opt
hampaista	PCLE_KOTONA	opt
haralla	PCLE_KOTONA	opt
haralle	PCLE_ALLE	opt
harilla	PCLE_KOTONA	opt
harille	PCLE_ALLE	opt
henkitoreihin	PCLE_VALTAAN	opt
hereille	PCLE_YLLE	opt
hereillä	PCLE_IKINÄ	opt
huomassa	PCLE_KOTONA	opt
huostassa	PCLE_KOTONA	opt
häkellyksiin	PCLE_NÄKYVIIN	opt
häkellyksissä	PCLE_IKINÄ	opt
hämmennyksiin	PCLE_NÄKYVIIN	opt
hämmennyksissä	PCLE_IKINÄ	opt
hämäännyksiin	PCLE_NÄKYVIIN	opt
hämäännyksissä	PCLE_IKINÄ	opt
hätäännyksissä	PCLE_IKINÄ	obl
hörölle	PCLE_YLLE	opt
höröllä	PCLE_IKINÄ	opt
ikinä	PCLE_IKINÄ	opt
ikänä	PCLE_IKINÄ	opt
istualla	PCLE_KOTONA	opt
istualle	PCLE_ALLE	opt
istualta	PCLE_KOTONA	opt
jalkeilla	PCLE_KOTONA	opt
jalkeille	PCLE_ALLE	opt
jaloissa	PCLE_KOTONA	opt
jaloista	PCLE_KOTONA	opt
joutessa	PCLE_KOTONA	obl
jäljessä	PCLE_IKINÄ	opt
jäljestä	PCLE_IKINÄ	opt
kannalla	PCLE_KOTONA	opt
kannalle	PCLE_ALLE	opt
kannoilla	PCLE_KOTONA	opt
kannoille	PCLE_ALLE	opt
kannoilta	PCLE_KOTONA	opt
kanssa	PCLE_KOTONA	opt
kateissa	PCLE_KOTONA	obl
katsomatta	PCLE_KOTONA	opt
kautta	PCLE_KOTONA	opt
keralla	PCLE_KOTONA	opt
keralle	PCLE_ALLE	opt
keskeen	PCLE_NÄKYVIIN	opt
keskelle	PCLE_YLLE	opt
keskellä	PCLE_IKINÄ	opt
keskeltä	PCLE_IKINÄ	opt
kesken	PCLE_TYHMÄSTI	opt
keskessä	PCLE_IKINÄ	opt
keskestä	PCLE_IKINÄ	opt
keskuudessa	PCLE_KOTONA	opt
keskuudesta	PCLE_KOTONA	opt
keskuuteen	PCLE_VALTAAN	opt
kiihdyksiin	PCLE_NÄKYVIIN	opt
kiihdyksissä	PCLE_IKINÄ	opt
kimppuun	PCLE_VALTAAN	opt
kintereille	PCLE_YLLE	opt
kintereillä	PCLE_IKINÄ	opt
kintereiltä	PCLE_IKINÄ	opt
koholla	PCLE_KOTONA	opt
koholle	PCLE_ALLE	opt
kohtaan	PCLE_VALTAAN	opt
kotia	PCLE_KOTONA	opt
kotoa	PCLE_KOTONA	opt
kotona	PCLE_KOTONA	opt
kourissa	PCLE_KOTONA	opt
kourista	PCLE_KOTONA	opt
kuivilla	PCLE_KOTONA	opt
kuiville	PCLE_ALLE	opt
kuohuksiin	PCLE_VALTAAN	opt
kuohuksissa	PCLE_KOTONA	opt
kupeella	PCLE_KOTONA	opt
kupeelle	PCLE_ALLE	opt
kupeelta	PCLE_KOTONA	opt
kustannuksella	PCLE_KOTONA	opt
kuti	PCLE_VUOKSI	obl
kylliksi	PCLE_LISÄKSI	opt
kynsissä	PCLE_IKINÄ	opt
kynsistä	PCLE_IKINÄ	opt
käymäseltä	PCLE_IKINÄ	opt
köniin	PCLE_NÄKYVIIN	opt
laidalla	PCLE_KOTONA	opt
laidalle	PCLE_ALLE	opt
laidalta	PCLE_KOTONA	opt
laidassa	PCLE_KOTONA	opt
laidasta	PCLE_KOTONA	opt
lailla	PCLE_KOTONA	opt
laskematta	PCLE_KOTONA	opt
lerpalla	PCLE_KOTONA	opt
lerpalle	PCLE_ALLE	opt
likelle	PCLE_YLLE	opt
likellä	PCLE_IKINÄ	opt
likeltä	PCLE_IKINÄ	opt
lomitse	PCLE_ALLE	opt
lopulla	PCLE_KOTONA	opt
luokse	PCLE_ALLE	opt
luona	PCLE_KOTONA	opt
luota	PCLE_KOTONA	opt
lurpalla	PCLE_KOTONA	opt
lurpalle	PCLE_ALLE	opt
luvalla	PCLE_KOTONA	opt
lähelle	PCLE_YLLE	opt
lähellä	PCLE_IKINÄ	opt
läheltä	PCLE_IKINÄ	opt
lähettyville	PCLE_YLLE	opt
lähettyvillä	PCLE_IKINÄ	obl
lähettyviltä	PCLE_IKINÄ	opt
läkähdyksiin	PCLE_NÄKYVIIN	opt
läkähdyksissä	PCLE_IKINÄ	opt
lävitse	PCLE_YLLE	opt
makuulla	PCLE_KOTONA	opt
makuulle	PCLE_ALLE	opt
makuulta	PCLE_KOTONA	opt
menehdyksiin	PCLE_NÄKYVIIN	opt
menehdyksissä	PCLE_IKINÄ	opt
meneillä	PCLE_IKINÄ	opt
mielestä	PCLE_IKINÄ	opt
mieliksi	PCLE_LISÄKSI	opt
muassa	PCLE_KOTONA	opt
mukaan	PCLE_VALTAAN	opt
mukana	PCLE_KOTONA	opt
mutrulla	PCLE_KOTONA	opt
mutrulle	PCLE_ALLE	opt
myötä	PCLE_IKINÄ	opt
nimissä	PCLE_IKINÄ	opt
nirpalla	PCLE_KOTONA	opt
niskalla	PCLE_KOTONA	opt
niskalle	PCLE_ALLE	opt
niskalta	PCLE_KOTONA	opt
nojalla	PCLE_KOTONA	opt
nukuksiin	PCLE_VALTAAN	opt
nukuksissa	PCLE_KOTONA	opt
näkyviin	PCLE_NÄKYVIIN	opt
näkyville	PCLE_YLLE	opt
näkyvillä	PCLE_IKINÄ	opt
näkyviltä	PCLE_IKINÄ	opt
näkyvissä	PCLE_IKINÄ	opt
näkyvistä	PCLE_IKINÄ	opt
näkökulmasta	PCLE_KOTONA	opt
ohella	PCLE_KOTONA	opt
ohitse	PCLE_ALLE	opt
ojolla	PCLE_KOTONA	opt
ojolle	PCLE_ALLE	opt
osalta	PCLE_KOTONA	opt
pahimmoiksi	PCLE_VUOKSI	opt
paikalla	PCLE_KOTONA	opt
paikalle	PCLE_ALLE	obl
paikalta	PCLE_KOTONA	opt
pakahduksiin	PCLE_VALTAAN	opt
pakahduksissa	PCLE_KOTONA	opt
palelluksissa	PCLE_KOTONA	opt
pariin	PCLE_VALTAAN	opt
parissa	PCLE_KOTONA	opt
parista	PCLE_KOTONA	opt
perimmältä	PCLE_IKINÄ	opt
perältä	PCLE_IKINÄ	obl
perässä	PCLE_IKINÄ	opt
perästä	PCLE_IKINÄ	opt
perään	PCLE_NÄKYVIIN	opt
pikaistuksissa	PCLE_KOTONA	opt
pikimmältä	PCLE_IKINÄ	opt
piloilla	PCLE_KOTONA	obl
pinnalla	PCLE_KOTONA	opt
pinnalle	PCLE_ALLE	opt
pinnalta	PCLE_KOTONA	opt
pinnassa	PCLE_KOTONA	opt
pinnasta	PCLE_KOTONA	opt
pitkälle	PCLE_YLLE	opt
pitkällä	PCLE_IKINÄ	obl
pohjalla	PCLE_KOTONA	opt
pohjalle	PCLE_ALLE	opt
pohjalta	PCLE_KOTONA	opt
pohjassa	PCLE_KOTONA	opt
pohjasta	PCLE_KOTONA	opt
pohjimmalta	PCLE_KOTONA	opt
puoleen	PCLE_VALTAAN	opt
puolessa	PCLE_KOTONA	opt
puolesta	PCLE_KOTONA	opt
päälle	PCLE_YLLE	opt
päällitse	PCLE_YLLE	opt
päällä	PCLE_IKINÄ	opt
päältä	PCLE_IKINÄ	opt
pökerryksiin	PCLE_NÄKYVIIN	opt
pökerryksissä	PCLE_IKINÄ	opt
pökerryksistä	PCLE_IKINÄ	opt
pörhölle	PCLE_YLLE	opt
pörhöllä	PCLE_IKINÄ	opt
pörrölle	PCLE_YLLE	opt
pörröllä	PCLE_IKINÄ	opt
pöyhölle	PCLE_YLLE	opt
pöyhöllä	PCLE_IKINÄ	opt
reunalla	PCLE_KOTONA	opt
reunalle	PCLE_ALLE	opt
reunalta	PCLE_KOTONA	opt
reunassa	PCLE_KOTONA	opt
reunasta	PCLE_KOTONA	opt
riipalla	PCLE_KOTONA	opt
riipalle	PCLE_ALLE	opt
rinnalla	PCLE_KOTONA	opt
rinnalle	PCLE_ALLE	opt
rinnalta	PCLE_KOTONA	opt
ryypyksiin	PCLE_NÄKYVIIN	opt
ryypyksissä	PCLE_IKINÄ	opt
rökkiin	PCLE_NÄKYVIIN	opt
seisaalla	PCLE_KOTONA	opt
seisaalle	PCLE_ALLE	opt
seisaalta	PCLE_KOTONA	opt
seisoalla	PCLE_KOTONA	opt
seisoalle	PCLE_ALLE	opt
seisoalta	PCLE_KOTONA	opt
seisovilla	PCLE_KOTONA	opt
seisoville	PCLE_ALLE	opt
seisovilta	PCLE_KOTONA	obl
sikkaralla	PCLE_KOTONA	opt
sikkaralle	PCLE_ALLE	opt
silmässä	PCLE_IKINÄ	opt
silmästä	PCLE_IKINÄ	opt
sirrille	PCLE_YLLE	obl
sirrillä	PCLE_IKINÄ	obl
sisimmältä	PCLE_IKINÄ	obl
sisälle	PCLE_YLLE	opt
sisällä	PCLE_IKINÄ	opt
sisältä	PCLE_IKINÄ	opt
sisässä	PCLE_IKINÄ	opt
sisästä	PCLE_IKINÄ	opt
sisään	PCLE_NÄKYVIIN	opt
sivuitse	PCLE_ALLE	opt
supulla	PCLE_KOTONA	opt
supulle	PCLE_ALLE	opt
suussa	PCLE_KOTONA	opt
suusta	PCLE_KOTONA	opt
suutuksiin	PCLE_VALTAAN	opt
suutuksissa	PCLE_KOTONA	opt
taa	PCLE_KOTONA	opt
taakse	PCLE_ALLE	opt
tainnoksiin	PCLE_VALTAAN	opt
tainnoksissa	PCLE_KOTONA	opt
tainnoksista	PCLE_KOTONA	opt
tainnuksiin	PCLE_VALTAAN	opt
tainnuksissa	PCLE_KOTONA	opt
tainnuksista	PCLE_KOTONA	opt
taitse	PCLE_ALLE	opt
takaa	PCLE_KOTONA	opt
takana	PCLE_KOTONA	opt
takia	PCLE_KOTONA	opt
tarpeeksi	PCLE_VUOKSI	opt
tasalla	PCLE_KOTONA	opt
tasalle	PCLE_ALLE	opt
tasalta	PCLE_KOTONA	opt
tautta	PCLE_KOTONA	opt
teloilla	PCLE_KOTONA	opt
teloille	PCLE_ALLE	opt
teloilta	PCLE_KOTONA	opt
torkuksissa	PCLE_KOTONA	opt
tuella	PCLE_KOTONA	opt
tuohduksiin	PCLE_VALTAAN	opt
tuohduksissa	PCLE_KOTONA	opt
tykö	PCLE_TYKÖ	opt
tykönä	PCLE_IKINÄ	opt
tyköä	PCLE_IKINÄ	opt
typerryksiin	PCLE_NÄKYVIIN	opt
typerryksissä	PCLE_IKINÄ	opt
typerryksistä	PCLE_IKINÄ	opt
täynnä	PCLE_IKINÄ	opt
ulottuviin	PCLE_VALTAAN	opt
ulottuvilla	PCLE_KOTONA	opt
ulottuville	PCLE_ALLE	opt
ulottuvilta	PCLE_KOTONA	opt
ulottuvissa	PCLE_KOTONA	opt
ulottuvista	PCLE_KOTONA	opt
uuvuksiin	PCLE_VALTAAN	opt
uuvuksissa	PCLE_KOTONA	opt
vallalla	PCLE_KOTONA	opt
vallalle	PCLE_ALLE	opt
vallassa	PCLE_KOTONA	opt
vallasta	PCLE_KOTONA	opt
valtaan	PCLE_VALTAAN	opt
valveilla	PCLE_KOTONA	opt
valveille	PCLE_ALLE	opt
varaan	PCLE_VALTAAN	opt
varassa	PCLE_KOTONA	opt
varasta	PCLE_KOTONA	opt
varpailla	PCLE_KOTONA	opt
varpaille	PCLE_ALLE	opt
vastaan	PCLE_VALTAAN	opt
vastassa	PCLE_KOTONA	opt
viereen	PCLE_NÄKYVIIN	opt
vierelle	PCLE_YLLE	opt
vierellä	PCLE_IKINÄ	opt
viereltä	PCLE_IKINÄ	opt
vieressä	PCLE_IKINÄ	opt
vierestä	PCLE_IKINÄ	opt
vieritse	PCLE_YLLE	opt
vihoissa	PCLE_KOTONA	opt
vimmastuksissa	PCLE_KOTONA	opt
voivuksiin	PCLE_VALTAAN	opt
voivuksissa	PCLE_KOTONA	opt
välille	PCLE_YLLE	opt
välissä	PCLE_IKINÄ	opt
välistä	PCLE_IKINÄ	opt
välitse	PCLE_YLLE	opt
väsyksiin	PCLE_NÄKYVIIN	opt
väsyksissä	PCLE_IKINÄ	opt
ylettyville	PCLE_YLLE	opt
ylettyvillä	PCLE_IKINÄ	opt
ylettyviltä	PCLE_IKINÄ	opt
ylitse	PCLE_YLLE	opt
ylle	PCLE_YLLE	opt
yllä	PCLE_IKINÄ	opt
yltä	PCLE_IKINÄ	opt
ymmälle	PCLE_YLLE	opt
ymmällä	PCLE_IKINÄ	opt
ympärille	PCLE_YLLE	opt
ympärillä	PCLE_IKINÄ	opt
ympäriltä	PCLE_IKINÄ	opt
