lemma	new_para	stem-vowel
360buy	N_COWBOY	i
Abéché	N_ROSÉ	e
Abomey	N_JOCKEY	i
Āddī Ugrī	N_BRASSERIE	i
Adré	N_ROSÉ	e
Aianí	N_BRASSERIE	i
Ailigandí	N_BRASSERIE	i
Airdrie	N_BRASSERIE	i
Aitolikó	N_ESQUIMAU	o
Akmenė	N_ROSÉ	e
Ákra Agía Aikateriní	N_BRASSERIE	i
Ákra Almyroú	N_KUNGFU	u
Ákra Ochtoniá	N_CHACHACHA	a
Ákra Trypití	N_BRIE	i
Aksaray	N_GAY	i
Ales	N_PARFAIT	e
Alès	N_PARFAIT	e
Alykí	N_BRIE	i
Amlamé	N_ROSÉ	e
Anjō	N_ESQUIMAU	o
Annecy	N_SPOTIFY	i
Antipaxoí	N_COWBOY	i
Antsirabé	N_ROSÉ	e
Apolakkiá	N_CHACHACHA	a
Arboyé	N_BÉBÉ	e
Arklow	N_SHOW	u
Arkoí	N_COWBOY	i
Arras	N_NOUGAT	a
Aserrío de Gariché	N_ROSÉ	e
Asfendioú	N_KUNGFU	u
Atakpamé	N_ROSÉ	e
Atsikí	N_BRASSERIE	i
Attikí	N_BRASSERIE	i
Aunee	N_JOCKEY	i
avenue	N_FONDUE	y
Bafatá	N_CHACHACHA	a
Bákó	N_ESQUIMAU	o
Baltoji Vokė	N_ROSÉ	e
Bandiiradley	N_JOCKEY	i
Ban Houayxay	N_GAY	i
Baní	N_BRASSERIE	i
Barcarozsnyó	N_ESQUIMAU	o
Barrie	N_BRASSERIE	i
Barrow	N_SHOW	u
Basse-Normandie	N_BRASSERIE	i
bavarois	N_NOUGAT	a
Beauharnois	N_NOUGAT	a
Beaupré	N_ROSÉ	e
Becej	N_BEIGNET	i
Bečej	N_BEIGNET	i
Beckley	N_JOCKEY	i
beignet	N_BEIGNET	e
Bembèrèkè	N_BÉBÉ	e
Benešov nad Ploučnicí	N_BRASSERIE	i
Benoy	N_COWBOY	i
Bénoy	N_COWBOY	i
Berbá	N_CHACHACHA	a
Béré	N_BÉBÉ	e
