lemma	homonym	new_para	sem
aA	1	ACRO_AA	measure
AA	1	ACRO_AA	org
Aabraham	1	N_PUNK	male
$A	1	ACRO_AA	currency
a	1	ACRO_AA	time
Aada	1	N_KIRJA	female
Aadolf	1	N_PUNK	male
Aake	1	N_NALLE	male
Aamulehti	1	N_LEHTI	media
Aamu	1	N_ASU	female
Aamuposti	1	N_RUUVI	media
Aapeli	1	N_KANAALI	male
Aapo	1	N_TALO	male
Aappo	1	N_HAPPO	male
Aaretti	1	N_KORTTI	male
Aarne	1	N_NALLE	male
Aarni	1	N_RUUVI	male
Aarno	1	N_TALO	male
Aaron	1	N_STADION	male
Aaro	1	N_TALO	male
Aarre	1	N_AARRE	male
Aarre	1	N_NALLE	male
Aarto	1	N_SIIRTO	male
Aarto	1	N_TALO	male
Aatami	1	N_KANAALI	male
Aati	1	N_RUUVI	male
Aatos	1	N_VAKUUTUS	male
Aatto	1	N_HIRTTO	male
Aatu	1	N_ASU	male
Aava	1	N_KIRJA	female
ab	1	ACRO_EE	org
Abel	1	N_STADION	male
abhaasi	1	N_RUUVI	language
Abiel	1	N_PUNK	male
abp	1	ACRO_EE	org
ab	1	PCLE_VAAN	org
aBq	1	ACRO_UU	measure
Abraham	1	N_PUNK	male
a°C	1	ACRO_EE	measure
aC	1	ACRO_EE	measure
acd	1	ACRO_EE	measure
$	1	ACRO_DOLLARI	currency
€	1	ACRO_EURO	currency
£	1	ACRO_PUNTA	currency
₤	1	ACRO_PUNTA	currency
¥	1	ACRO_SENTTI	currency
ad	1	ACRO_EE	title
Adam	1	N_STADION	male
adangme	1	N_NALLE	language
Ada	1	N_KIRJA	female
Adele	1	N_EUGENE	female
Adéle	1	N_EUGENE	female
Adolf	1	N_PUNK	male
ADP	1	ACRO_EE	currency
a.D.	1	PCLE_VAAN	time
Adrian	1	N_PUNK	male
ADT	1	ACRO_EE	org
adyge	1	N_NISSE	language
AED	1	ACRO_EE	currency
AFA	1	ACRO_AA	currency
aF	1	ACRO_ÄKS	measure
Af	1	ACRO_ÄKS	currency
afar	1	N_PUNK	language
afganistanilainen	1	A_AAKKOSELLINEN	country
afganistanilainen	1	A_AAKKOSELLINEN	inhabitant
afganistanilainen	1	N_AAKKOSTAMINEN	country
afganistanilainen	1	N_AAKKOSTAMINEN	inhabitant
Afganistan	1	N_PUNK	country
AFN	1	ACRO_ÄKS	currency
afrihili	1	N_RUUVI	language
afrikaans	1	N_PUNK	language
ag	1	ACRO_EE	measure
ag	1	ACRO_EE	org
Agata	1	N_KIRJA	female
Agda	1	N_KIRJA	female
aghem	1	N_PUNK	language
Agnes	1	N_PUNK	female
Agnes	1	N_VAKUUTUS	female
Agneta	1	N_KIRJA	female
agrologi	1	N_RUUVI	title
agrol.	1	PCLE_VAAN	title
agronomi	1	N_RUUVI	title
agron.	1	PCLE_VAAN	title
aH	1	ACRO_OO	measure
Ah	1	ACRO_OO	measure
ahlaislainen	1	A_AAKKOSELLINEN	inhabitant
ahlaislainen	1	N_AAKKOSTAMINEN	inhabitant
Ahti	1	N_RUUVI	male
Ahti	1	N_TAUTI	male
Ahto	1	N_TALO	male
Ahto	1	N_VETO	male
Ahvo	1	N_TALO	male
aHz	1	ACRO_ZET	measure
Aija	1	N_KIRJA	female
Aila	1	N_KIRJA	female
Ailiina	1	N_KITARA	female
Aili	1	N_RUUVI	female
aimara	1	N_KITARA	language
Aimo	1	N_TALO	male
Ainamo	1	N_RUIPELO	female
Aina	1	N_KIRJA	female
Ainikki	1	N_LOKKI	female
Aini	1	N_RUUVI	female
Aino-Linnea	1	N_MAKKARA	female
Aino-Maria	1	N_MAKKARA	female
Aino	1	N_TALO	female
ainu	1	N_ASU	language
Aira	1	N_KIRJA	female
Airi	1	N_RUUVI	female
aitolahtelainen	1	A_AAKKOSELLINEN	inhabitant
aitolahtelainen	1	N_AAKKOSTAMINEN	inhabitant
aJ	1	ACRO_II	measure
akaalainen	1	A_AAKKOSELLINEN	inhabitant
akaalainen	1	N_AAKKOSTAMINEN	inhabitant
aK	1	ACRO_OO	measure
akan	1	N_PUNK	language
akat	1	ACRO_EE	measure
Aki	1	N_RUUVI	male
akkadi	1	N_RUUVI	language
Akseli	1	N_KANAALI	male
Aku	1	N_ASU	male
Aku	1	N_MAKU	male
Akusti	1	N_RUUVI	male
alahärmäläinen	1	A_KYLMÄJÄRKINEN	inhabitant
alahärmäläinen	1	N_KYLKIÄINEN	inhabitant
alajärveläinen	1	A_KYLMÄJÄRKINEN	inhabitant
alajärveläinen	1	N_KYLKIÄINEN	inhabitant
alankomaalainen	1	A_AAKKOSELLINEN	country
alankomaalainen	1	A_AAKKOSELLINEN	inhabitant
alankomaalainen	1	N_AAKKOSTAMINEN	country
alankomaalainen	1	N_AAKKOSTAMINEN	inhabitant
Alankomaat	1	N_ITÄMAAT	country
Alankomaiden Antillit	1	N_LASIT	country
Alarik	1	N_PUNK	male
alasaksa	1	N_KIRJA	language
Alasatakunta	1	N_KUNTA	media
alasorbi	1	N_RUUVI	language
alastarolainen	1	A_AAKKOSELLINEN	inhabitant
alastarolainen	1	N_AAKKOSTAMINEN	inhabitant
alatorniolainen	1	A_AAKKOSELLINEN	inhabitant
alatorniolainen	1	N_AAKKOSTAMINEN	inhabitant
alaveteliläinen	1	A_KYLMÄJÄRKINEN	inhabitant
alaveteliläinen	1	N_KYLKIÄINEN	inhabitant
alavieskalainen	1	A_AAKKOSELLINEN	inhabitant
alavieskalainen	1	N_AAKKOSTAMINEN	inhabitant
alavutelainen	1	A_AAKKOSELLINEN	inhabitant
alavutelainen	1	N_AAKKOSTAMINEN	inhabitant
albanialainen	1	A_AAKKOSELLINEN	country
albanialainen	1	A_AAKKOSELLINEN	inhabitant
albanialainen	1	N_AAKKOSTAMINEN	country
albanialainen	1	N_AAKKOSTAMINEN	inhabitant
Albania	1	N_MAKKARA	country
albania	1	N_MAKKARA	language
Albertina	1	N_KIRJA	female
Albert	1	N_PUNK	male
Albin	1	N_STADION	male
Alec	1	N_PUNK	male
Aleksander	1	N_STADION	male
Aleksandra	1	N_KIRJA	female
