lemma	new_para	symbol
´	SYMBOL_PISTE	final-quote
´	SYMBOL_PISTE	initial-quote
`	SYMBOL_PISTE	final-quote
`	SYMBOL_PISTE	initial-quote
<	SYMBOL_PISTE	initial-bracket
>	SYMBOL_PISTE	final-bracket
-	SYMBOL_PISTE	dash
--	SYMBOL_PISTE	dash
,	SYMBOL_PILKKU	clause-boundary
;	SYMBOL_PISTE	clause-boundary
:	SYMBOL_PISTE	clause-boundary
!	SYMBOL_PISTE	','	PUNCT_NONSTD	_EXCL_LOOPsentence-boundary
?	SYMBOL_PISTE	','	PUNCT_NONSTD	_EXCL_LOOPsentence-boundary
.	SYMBOL_PISTE	sentence-boundary
..	SYMBOL_PISTE	sentence-boundary
...	SYMBOL_PISTE	sentence-boundary
....	SYMBOL_PISTE	sentence-boundary
’	SYMBOL_PISTE	final-quote
’	SYMBOL_PISTE	initial-quote
’	SYMBOL_PISTE	final-quote
’	SYMBOL_PISTE	initial-quote
"	SYMBOL_PISTE	final-quote
"	SYMBOL_PISTE	initial-quote
”	SYMBOL_PISTE	final-quote
”	SYMBOL_PISTE	initial-quote
»	SYMBOL_PISTE	final-quote
»	SYMBOL_PISTE	initial-quote
(	SYMBOL_PISTE	initial-bracket
)	SYMBOL_PISTE	final-bracket
[	SYMBOL_PISTE	initial-bracket
]	SYMBOL_PISTE	final-bracket
{	SYMBOL_PISTE	initial-bracket
}	SYMBOL_PISTE	final-bracket
–	SYMBOL_PISTE	dash
—	SYMBOL_PISTE	dash
›	SYMBOL_PISTE	final-bracket
‹	SYMBOL_PISTE	initial-bracket
‥	SYMBOL_PISTE	sentence-boundary
…	SYMBOL_PISTE	sentence-boundary
 	SYMBOL_PISTE	space
 	SYMBOL_PISTE	space
