lemma	homonym	new_para	style
´	1	SYMBOL_PISTE	nonstandard
´	2	SYMBOL_PISTE	nonstandard
`	1	SYMBOL_PISTE	nonstandard
`	2	SYMBOL_PISTE	nonstandard
..	1	SYMBOL_PISTE	nonstandard
....	1	SYMBOL_PISTE	nonstandard
'	1	SYMBOL_PISTE	nonstandard
'	2	SYMBOL_PISTE	nonstandard
«	1	SYMBOL_PISTE	nonstandard
«	2	SYMBOL_PISTE	nonstandard
agregaatti	1	N_KORTTI	nonstandard
agressiivinen	1	A_AAKKOSELLINEN	nonstandard
aivankuin	1	PCLE_VAAN	nonstandard
aluminium	1	N_PUNK	nonstandard
alunperin	1	PCLE_NOPEASTI	nonstandard
Azerbaidzan	1	N_STADION	nonstandard
edelläkuvattu	1	A_VIMMATTU	nonstandard
eksä	1	N_HÖPÖTTÄJÄ	dialectal
ennenkun	1	PCLE_VAAN	nonstandard
ensimäinen	1	NUM_ENSIMMÄINEN	nonstandard
enään	1	PCLE_VAAN	nonstandard
eroittaa	1	V_VIEROITTAA	nonstandard
hajoittaa	1	V_VIEROITTAA	nonstandard
Herzegovina	1	N_KITARA	nonstandard
hox	1	PCLE_HAH	dialectal
häkä	1	N_HÖPÖTTÄJÄ	nonstandard
hää	1	PRON_MÄÄ	dialectal
ikäänkuin	1	PCLE_VAAN	nonstandard
irroittaa	1	V_VIEROITTAA	nonstandard
jaksottainen	1	A_AAKKOSELLINEN	nonstandard
ja/tai	1	PCLE_VAAN	nonstandard
ja/vai	1	PCLE_VAAN	nonstandard
jokseen	1	PCLE_VAAN	nonstandard
jompi	1	PRON_KUMPI	nonstandard
jos/kun	1	PCLE_VAAN	nonstandard
jäde	1	N_NISSE	dialectal
kauvan	1	PCLE_NOPEASTI	nonstandard
kehoittaa	1	V_VIEROITTAA	nonstandard
kentiesi	1	PCLE_VAAN	archaic
keulilla	1	PCLE_NOPEASTI	nonstandard
keulille	1	PCLE_NOPEASTI	nonstandard
keulilta	1	PCLE_NOPEASTI	nonstandard
ko	1	PCLE_VAAN	dialectal
kuhan	1	PCLE_VAAN	dialectal
kuni	1	PCLE_VAAN	nonstandard
levinnäisyys	1	N_KÖYHYYS	nonstandard
likitse	1	PCLE_YLLE	archaic
loppujenlopuksi	1	PCLE_NOPEASTI	nonstandard
melkeen	1	PCLE_TYHMÄSTI	dialectal
melkeistä	1	PCLE_TYHMÄSTI	dialectal
mie	1	PRON_MIE	dialectal
miks	1	PCLE_TYHMÄSTI	dialectal
mitvit	1	PCLE_VAAN	nonstandard
mix	1	PCLE_TYHMÄSTI	nonstandard
moduli	1	N_RUUVI	nonstandard
muudan	1	PRON_MUUAN	archaic
myödä	1	V_SYÖDÄ	dialectal
mä	1	PRON_MÄ	dialectal
mää	1	PRON_MÄÄ	dialectal
niinkuin	1	PCLE_VAAN	nonstandard
niinq	1	PCLE_VAAN	nonstandard
niinqu	1	PCLE_VAAN	nonstandard
noi	1	PRON_NOI	dialectal
noni	1	PCLE_HAH	nonstandard
noniin	1	PCLE_HAH	nonstandard
nonni	1	PCLE_HAH	nonstandard
nyksä	1	N_HÖPÖTTÄJÄ	dialectal
oikee	1	A_OIKEE	dialectal
oikeen	1	PCLE_NOPEASTI	dialectal
oikeesti	1	PCLE_NOPEASTI	dialectal
oottaa	1	V_VIEROITTAA	dialectal
poikitse	1	PCLE_ALLE	archaic
rankaista	1	V_MARISTA	nonstandard
saikku	1	N_TIKKU	dialectal
sellai	1	PCLE_NOPEASTI	dialectal
semma	1	N_KIRJA	dialectal
semmonen	1	A_AAKKOSELLINEN	dialectal
sentrifuugi	1	N_RUUVI	nonstandard
shampanja	1	N_KITARA	nonstandard
shamppanja	1	N_KITARA	nonstandard
sie	1	PRON_MIE	dialectal
sikaari	1	N_KANAALI	archaic
sillai	1	PCLE_NOPEASTI	dialectal
sitte	1	PCLE_TYHMÄSTI	nonstandard
sä	1	PRON_MÄ	dialectal
sää	1	PRON_MÄÄ	dialectal
Tadzikistan	1	N_PUNK	nonstandard
Tanzania	1	N_MAKKARA	nonstandard
tietsikka	1	N_LUSIKKA	dialectal
toi	1	PRON_TOI	dialectal
tommonen	1	A_AAKKOSELLINEN	dialectal
tonne	1	PCLE_NOPEASTI	dialectal
Tsekkoslovakia	1	N_MAKKARA	nonstandard
tunnittainen	1	A_AAKKOSELLINEN	nonstandard
tää	1	PRON_MÄÄ	dialectal
viikottainen	1	A_AAKKOSELLINEN	nonstandard
vuottaa	1	V_VIEROITTAA	dialectal
yhtäsuuri	1	A_SUURI	nonstandard
ympäritse	1	PCLE_YLLE	archaic
äiti	1	N_TYYLI	dialectal
