lemma	new_para	argument
aakkostaa	V_MUTRISTAA	intransitive
aallota	V_AALLOTA	intransitive
aallottaa	V_VIEROITTAA	intransitive
aaltoilla	V_ARVAILLA	intransitive
aamiaistaa	V_MUTRISTAA	intransitive
aatella	V_SULATELLA	intransitive
aateloida	V_KOPIOIDA	intransitive
aavikoitua	V_ROHTUA	intransitive
aavistaa	V_MUTRISTAA	intransitive
aavistella	V_ETUILLA	intransitive
abortoida	V_KOPIOIDA	intransitive
abortoitua	V_ROHTUA	intransitive
absorboida	V_KOPIOIDA	intransitive
absorboitua	V_ROHTUA	intransitive
abstrahoida	V_KOPIOIDA	intransitive
abstrahoitua	V_ROHTUA	intransitive
abstraktistaa	V_MUTRISTAA	intransitive
abstraktistua	V_KAUNISTUA	intransitive
adaptoida	V_KOPIOIDA	intransitive
adaptoitua	V_ROHTUA	intransitive
addiktoida	V_KOPIOIDA	intransitive
adoptoida	V_KOPIOIDA	intransitive
adsorboida	V_KOPIOIDA	intransitive
adsorboitua	V_ROHTUA	intransitive
advektoida	V_KOPIOIDA	intransitive
aerobikata	V_MORKATA	intransitive
affiksoida	V_KOPIOIDA	intransitive
affiksoitua	V_ROHTUA	intransitive
affisioida	V_KOPIOIDA	intransitive
aforisoida	V_KOPIOIDA	intransitive
agenisoida	V_KOPIOIDA	intransitive
agglutinoida	V_KOPIOIDA	intransitive
agglutinoitua	V_ROHTUA	intransitive
aggregoida	V_KOPIOIDA	intransitive
agitoida	V_KOPIOIDA	intransitive
ahavoida	V_KOPIOIDA	intransitive
ahavoittaa	V_VIEROITTAA	intransitive
ahavoitua	V_ROHTUA	intransitive
ahdata	V_JAHDATA	intransitive
ahdistaa	V_MUTRISTAA	intransitive
ahdistella	V_ETUILLA	intransitive
ahdistua	V_KAUNISTUA	intransitive
ahertaa	V_KUHERTAA	intransitive
ahkeroida	V_MELLAKOIDA	intransitive
ahmaista	V_MARISTA	intransitive
ahmia	V_KOSIA	intransitive
ahnehtia	V_AHNEHTIA	intransitive
ahtaa	V_SATAA	intransitive
ahtauttaa	V_VIEROITTAA	intransitive
ahtautua	V_ROHTUA	intransitive
ahtoutua	V_ROHTUA	intransitive
aidata	V_JAHDATA	intransitive
aidoittaa	V_VIEROITTAA	intransitive
aientaa	V_HUONONTAA	intransitive
aiheellistaa	V_MUTRISTAA	intransitive
aiheellistua	V_KAUNISTUA	intransitive
aiheuttaa	V_VIEROITTAA	intransitive
aiheutua	V_ROHTUA	intransitive
aikaansaada	V_SAADA	intransitive
aikailla	V_ARVAILLA	intransitive
aikaistaa	V_MUTRISTAA	intransitive
aikaistua	V_KAUNISTUA	intransitive
aikapainoittaa	V_VIEROITTAA	intransitive
aikatauluttaa	V_VIEROITTAA	intransitive
aikauttaa	V_VIEROITTAA	intransitive
aikoa	V_TAKOA	ainf
aikuistua	V_KAUNISTUA	intransitive
ailahdella	V_TIPAHDELLA	intransitive
ailahtaa	V_MOJAHTAA	intransitive
aineellistaa	V_MUTRISTAA	intransitive
aineellistua	V_KAUNISTUA	intransitive
aineistaa	V_MUTRISTAA	intransitive
aineistua	V_KAUNISTUA	intransitive
aisata	V_ARVATA	intransitive
aistia	V_KOSIA	intransitive
aitoa	V_KIETOA	intransitive
aivastaa	V_MUTRISTAA	intransitive
aivastella	V_ETUILLA	intransitive
aivastuttaa	V_VIEROITTAA	intransitive
aivopestä	V_ÄRISTÄ	intransitive
ajaa	V_KASVAA	intransitive
ajaantua	V_VAKAANTUA	intransitive
ajankohtaistaa	V_MUTRISTAA	intransitive
ajankohtaistua	V_KAUNISTUA	intransitive
ajanmukaistaa	V_MUTRISTAA	intransitive
ajanmukaistua	V_KAUNISTUA	intransitive
ajantasaistaa	V_MUTRISTAA	intransitive
ajastaa	V_MUTRISTAA	intransitive
ajatella	V_SULATELLA	intransitive
ajattaa	V_VIEROITTAA	intransitive
ajatteluttaa	V_VIEROITTAA	intransitive
ajautua	V_ROHTUA	intransitive
ajelehtia	V_AHNEHTIA	intransitive
ajella	V_ETUILLA	intransitive
ajeluttaa	V_VIEROITTAA	intransitive
ajettua	V_HERMOTTUA	intransitive
ajoittaa	V_VIEROITTAA	intransitive
ajoittua	V_HERMOTTUA	intransitive
akkautua	V_ROHTUA	intransitive
akklimatisoida	V_KOPIOIDA	intransitive
akklimatisoitua	V_ROHTUA	intransitive
akklimoitua	V_ROHTUA	intransitive
akkreditoida	V_KOPIOIDA	intransitive
akkulturoitua	V_ROHTUA	intransitive
akkumuloida	V_KOPIOIDA	intransitive
akoittua	V_HERMOTTUA	intransitive
akreditoida	V_KOPIOIDA	intransitive
akromatoida	V_KOPIOIDA	intransitive
akseptata	V_ARVATA	intransitive
akseptoida	V_KOPIOIDA	intransitive
aktiivistaa	V_MUTRISTAA	intransitive
aktiivistua	V_KAUNISTUA	intransitive
aktivoida	V_KOPIOIDA	intransitive
aktivoitua	V_ROHTUA	intransitive
aktuaalistaa	V_MUTRISTAA	intransitive
aktuaalistua	V_KAUNISTUA	intransitive
aktualisoida	V_KOPIOIDA	intransitive
aktualisoitua	V_ROHTUA	intransitive
alentaa	V_HUONONTAA	intransitive
alentua	V_VAKAANTUA	intransitive
aleta	V_KARHETA	intransitive
aliarvioida	V_KOPIOIDA	intransitive
aliarvoida	V_KOPIOIDA	intransitive
aliarvostaa	V_MUTRISTAA	intransitive
aliasoida	V_KOPIOIDA	intransitive
alibuukata	V_MORKATA	intransitive
alideterminoida	V_KOPIOIDA	intransitive
alijäähdyttää	V_RÄPSYTTÄÄ	intransitive
alijäähtyä	V_SILIYTYÄ	intransitive
aliluokitella	V_SULATELLA	intransitive
alimitoittaa	V_VIEROITTAA	intransitive
alipalkata	V_MORKATA	intransitive
alipukeutua	V_ROHTUA	intransitive
aliravita	V_PALKITA	intransitive
alistaa	V_MUTRISTAA	intransitive
alistua	V_KAUNISTUA	intransitive
alisuorittaa	V_VIEROITTAA	intransitive
alisuoriutua	V_ROHTUA	intransitive
alittaa	V_VIEROITTAA	intransitive
