4H-kerholainen	['N_AAKKOSTAMINEN']	boundaries=4H-kerholainen
4H-kerho	['N_TALO']	boundaries=4H-kerho
4H-neuvoja	['N_SOITTAJA']	boundaries=4H-neuvoja
4H-toiminta	['N_KUTSUNTA']	boundaries=4H-toiminta
aakkosjärjestys	['N_RÄJÄYTYS']	boundaries=aakkos|järjestys
aakkoskeitto	['N_HIRTTO']	boundaries=aakkos|keitto
aakkoskirjain	['N_PUHELIN']	boundaries=aakkos|kirjain
aakkoslaji	['N_RUUVI']	boundaries=aakkos|laji
aakkosnumeerinen	['A_AAKKOSELLINEN']	boundaries=aakkos|numeerinen
aakkosruno	['N_TALO']	boundaries=aakkos|runo
Aalintie	['N_TIE']	boundaries=Aalin|tie
aallonharja	['N_KIRJA']	boundaries=aallon|harja
aallonmurtaja	['N_SOITTAJA']	boundaries=aallon|murtaja
aallonpituus	['N_AAKKOSELLISUUS']	boundaries=aallon|pituus
aallonpohja	['N_SOITTAJA']	boundaries=aallon|pohja
Aallontie	['N_TIE']	boundaries=Aallon|tie
aaloeheimo	['N_TALO']	boundaries=aaloe|heimo
aaltoallas	['N_ALLAS']	boundaries=aalto|allas
aaltoalue	['N_ASTE']	boundaries=aalto|alue
aaltoenergia	['N_MAKKARA']	boundaries=aalto|energia
aaltohiukkasdualismi	['N_RUUVI']	boundaries=aaltohiukkas|dualismi
aaltokulma	['N_SOITTAJA']	boundaries=aalto|kulma
aaltolevy	['N_KÄRRY']	boundaries=aalto|levy
aaltoliike	['N_LÄÄKE']	boundaries=aalto|liike
aaltoluku	['N_LUKU']	boundaries=aalto|luku
aaltomekaniikka	['N_POLITIIKKA']	boundaries=aalto|mekaniikka
aaltomuoto	['N_VETO']	boundaries=aalto|muoto
aaltopahvi	['N_RUUVI']	boundaries=aalto|pahvi
aaltopelti	['N_PELTI']	boundaries=aalto|pelti
aaltopeltivaja	['N_KIRJA']	boundaries=aaltopelti|vaja
aaltopituus	['N_AAKKOSELLISUUS']	boundaries=aalto|pituus
aaltoputki	['N_ONNI']	boundaries=aalto|putki
aaltoreunainen	['A_AAKKOSELLINEN']	boundaries=aalto|reunainen
aaltorintama	['N_SOITTAJA']	boundaries=aalto|rintama
aaltosarja	['N_KIRJA']	boundaries=aalto|sarja
aaltosulje	['N_POHJE']	boundaries=aalto|sulje
aaltosulkumerkki	['N_HÄKKI']	boundaries=aalto|sulku|merkki
aaltosulku	['N_MAKU']	boundaries=aalto|sulku
aaltoteoria	['N_MAKKARA']	boundaries=aalto|teoria
aaltoviiva	['N_KIRJA']	boundaries=aalto|viiva
aaltovoimala	['N_MAKKARA']	boundaries=aalto|voimala
aaltoyhtälö	['N_JÄÄTELÖ']	boundaries=aalto|yhtälö
aamiaisaika	['N_AIKA']	boundaries=aamiais|aika
aamiaismajoitus	['N_VAKUUTUS']	boundaries=aamiais|majoitus
aamiaisnurkka	['N_LUOKKA']	boundaries=aamiais|nurkka
aamiaispaikka	['N_POLITIIKKA']	boundaries=aamiais|paikka
aamiaispöytä	['N_PÖYTÄ']	boundaries=aamiais|pöytä
aamiaisruoka	['N_VUOKA']	boundaries=aamiais|ruoka
aamiaistapaaminen	['N_AAKKOSTAMINEN']	boundaries=aamiais|tapaaminen
aamiaistunti	['N_SOINTI']	boundaries=aamiais|tunti
aamuaskare	['N_ASTE']	boundaries=aamu|askare
aamuasu	['N_ASU']	boundaries=aamu|asu
aamuateria	['N_MAKKARA']	boundaries=aamu|ateria
aamuhartaus	['N_AAKKOSELLISUUS']	boundaries=aamu|hartaus
aamuhämärä	['N_HÖPÖTTÄJÄ']	boundaries=aamu|hämärä
aamujumalanpalvelus	['N_VAKUUTUS']	boundaries=aamu|jumalan|palvelus
aamujuna	['N_SOITTAJA']	boundaries=aamu|juna
aamukahvi	['N_RUUVI']	boundaries=aamu|kahvi
aamukampa	['N_RAMPA']	boundaries=aamu|kampa
aamukaste	['N_ASTE']	boundaries=aamu|kaste
aamukylmä	['A_TYHMÄ']	boundaries=aamu|kylmä
aamulehti	['N_LEHTI']	boundaries=aamu|lehti
aamulenkki	['N_HÄKKI']	boundaries=aamu|lenkki
aamulypsy	['N_KÄRRY']	boundaries=aamu|lypsy
aamulähetys	['N_RÄJÄYTYS']	boundaries=aamu|lähetys
aamulämpö	['N_LÄMPÖ']	boundaries=aamu|lämpö
aamunavaus	['N_VAKUUTUS']	boundaries=aamun|avaus
aamunkoite	['N_OSOITE']	boundaries=aamun|koite
aamunkoitto	['N_HIRTTO']	boundaries=aamun|koitto
aamunraikas	['A_VOIMAKAS']	boundaries=aamun|raikas
aamunsarastus	['N_VAKUUTUS']	boundaries=aamun|sarastus
aamuntorkku	['N_TIKKU']	boundaries=aamun|torkku
aamunvirkku	['N_TIKKU']	boundaries=aamun|virkku
aamupahoinvointi	['N_SOINTI']	boundaries=aamu|pahoin|vointi
aamupala	['N_KIRJA']	boundaries=aamu|pala
aamupalvelus	['N_VAKUUTUS']	boundaries=aamu|palvelus
aamupesu	['N_ASU']	boundaries=aamu|pesu
aamupuku	['N_LUKU']	boundaries=aamu|puku
aamupuoli	['N_RUUHI']	boundaries=aamu|puoli
aamupäivä	['N_HÖPÖTTÄJÄ']	boundaries=aamu|päivä
aamurusko	['N_TALO']	boundaries=aamu|rusko
aamuruuhka	['N_SOITTAJA']	boundaries=aamu|ruuhka
aamuryyppy	['N_RYYPPY']	boundaries=aamu|ryyppy
aamusoitto	['N_HIRTTO']	boundaries=aamu|soitto
aamutakki	['N_LOKKI']	boundaries=aamu|takki
aamutohveli	['N_KANAALI']	boundaries=aamu|tohveli
aamutorkku	['N_TIKKU']	boundaries=aamu|torkku
aamutossu	['N_ASU']	boundaries=aamu|tossu
aamutuimaan	['PCLE_LIKI']	boundaries=aamu|tuimaan
aamutähti	['N_LEHTI']	boundaries=aamu|tähti
aamu-uninen	['A_AAKKOSELLINEN']	boundaries=aamu-uninen
aamu-unisuus	['N_AAKKOSELLISUUS']	boundaries=aamu-unisuus
aamu-uutiset	['N_RAPPUSET']	boundaries=aamu-uutiset
aamuvarhainen	['N_AAKKOSTAMINEN']	boundaries=aamu|varhainen
aamuvartio	['N_TUOMIO']	boundaries=aamu|vartio
aamuvirkku	['N_TIKKU']	boundaries=aamu|virkku
aamuvoimistelu	['N_SEIKKAILU']	boundaries=aamu|voimistelu
aamuvuoro	['N_TALO']	boundaries=aamu|vuoro
aamuyö	['N_TYÖ']	boundaries=aamu|yö
aapasuo	['N_VUO']	boundaries=aapa|suo
aapiskirja	['N_KIRJA']	boundaries=aapis|kirja
aapiskukko	['N_UKKO']	boundaries=aapis|kukko
aaprottimaruna	['N_PROBLEEMA']	boundaries=aaprotti|maruna
aarnialue	['N_ASTE']	boundaries=aarni|alue
aarnihauta	['N_PATA']	boundaries=aarni|hauta
aarnihonka	['N_HONKA']	boundaries=aarni|honka
aarnikotka	['N_SOITTAJA']	boundaries=aarni|kotka
aarniohauta	['N_PATA']	boundaries=aarnio|hauta
aarniometsä	['N_HÖPÖTTÄJÄ']	boundaries=aarnio|metsä
aarnipuu	['N_PUU']	boundaries=aarni|puu
aarnituli	['N_TULI']	boundaries=aarni|tuli
