new_paras	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics
['A_AAKKOSELLINEN']	ADJECTIVE	38	None	False	strengthen	back	None	None	False	False
['A_AAVA']	ADJECTIVE	9	None	False	weaken	back	a	None	False	False
['A_ABNORMAALI']	ADJECTIVE	6	None	False	weaken	back	None	None	False	False
['A_ABNORMI']	ADJECTIVE	5	None	False	weaken	back	None	None	False	False
['A_AHNE']	ADJECTIVE	48	None	False	strengthen	back	None	None	False	False
['A_AIEMPI']	ADJECTIVE	16	H	False	weaken	back	None	None	False	False
['A_AINOA']	ADJECTIVE	15	None	False	weaken	back	a	None	False	False
['A_AINUT']	ADJECTIVE	44	None	False	strengthen	back	None	None	False	False
['A_ALASTON']	ADJECTIVE	34	None	False	strengthen	back	None	None	False	False
['A_AUTIO']	ADJECTIVE	3	None	False	weaken	back	None	None	False	False
['A_AUTUAS']	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False
['A_AVOIN']	ADJECTIVE	33	None	False	strengthen	back	None	None	False	False
['A_BEIGE']	ADJECTIVE	8	None	False	weaken	front	None	None	False	False
['ACRO_AA', 'ACRO_DOLLARI']	ACRONYM	6	None	False	weaken	back	None	None	False	False
['ACRO_AA', 'ACRO_GRAMMA']	ACRONYM	9	None	False	weaken	back	None	None	False	False
['ACRO_AA', 'ACRO_KANDELA']	ACRONYM	12	None	False	weaken	back	None	None	False	False
['ACRO_AA']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_AA', 'ACRO_OHMI']	ACRONYM	5	None	False	weaken	back	None	None	False	False
['ACRO_AA', 'ACRO_PUNTA']	ACRONYM	10	None	False	weaken	back	None	None	False	False
['ACRO_AA', 'ACRO_SAIRAALA']	ACRONYM	13	None	False	weaken	back	None	None	False	False
['ACRO_AA', 'ACRO_TALO']	ACRONYM	1	None	False	weaken	back	None	None	False	False
['ACRO_CELSIUS']	ACRONYM	0	None	False	strengthen	back	None	None	False	False
['ACRO_DOLLARI', 'ACRO_DOLLARI']	ACRONYM	6	None	False	weaken	back	None	None	False	False
['ACRO_DOLLARI', 'ACRO_WEBER']	ACRONYM	6	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_CELSIUS']	ACRONYM	39	None	False	strengthen	back	None	None	False	False
['ACRO_EE', 'ACRO_DOLLARI']	ACRONYM	6	None	False	weaken	back	None	None	False	False
['ACRO_EE', 'ACRO_GRAMMA']	ACRONYM	9	None	False	weaken	back	None	None	False	False
['ACRO_EE', 'ACRO_GRAMMA']	ACRONYM	9	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_GRAY']	ACRONYM	3	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_JOULE']	ACRONYM	8	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_JÄRJESTÖ']	ACRONYM	2	None	False	weaken	back	None	None	False	False
['ACRO_EE', 'ACRO_JÄRJESTÖ']	ACRONYM	2	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_KANDELA']	ACRONYM	12	None	False	weaken	back	None	None	False	False
['ACRO_EE', 'ACRO_KANDELA']	ACRONYM	12	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_LUSIKKA']	ACRONYM	14	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_METRI']	ACRONYM	5	None	False	weaken	front	None	None	False	False
['ACRO_EE']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_EE']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_EE', 'ACRO_OHMI']	ACRONYM	5	None	False	weaken	back	None	None	False	False
['ACRO_EE', 'ACRO_OIKEYS']	ACRONYM	40	None	False	strengthen	front	None	None	False	False
['ACRO_EE', 'ACRO_OK']	ACRONYM	18	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_PUNTA']	ACRONYM	10	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_TALO']	ACRONYM	1	None	False	weaken	back	None	None	False	False
['ACRO_EE', 'ACRO_TALO']	ACRONYM	1	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_TUOTE']	ACRONYM	48	None	False	strengthen	front	None	None	False	False
['ACRO_EE', 'ACRO_VUOSI']	ACRONYM	27	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_WEBER']	ACRONYM	6	None	False	weaken	front	None	None	False	False
['ACRO_EE', 'ACRO_YHDISTYS']	ACRONYM	39	None	False	strengthen	front	None	None	False	False
['ACRO_EURO', 'ACRO_TALO']	ACRONYM	1	None	False	weaken	front	None	None	False	False
['ACRO_GRAMMA']	ACRONYM	0	None	False	weaken	back	None	None	False	False
['ACRO_II', 'ACRO_DOLLARI']	ACRONYM	6	None	False	weaken	back	None	None	False	False
['ACRO_II', 'ACRO_GRAY']	ACRONYM	3	None	False	weaken	front	None	None	False	False
['ACRO_II', 'ACRO_JOULE']	ACRONYM	8	None	False	weaken	back	None	None	False	False
['ACRO_II', 'ACRO_JOULE']	ACRONYM	8	None	False	weaken	front	None	None	False	False
['ACRO_II', 'ACRO_JÄRJESTÖ']	ACRONYM	2	None	False	weaken	back	None	None	False	False
['ACRO_II', 'ACRO_KOLMAS']	ACRONYM	45	None	False	strengthen	back	None	None	False	False
['ACRO_II', 'ACRO_METRI']	ACRONYM	5	None	False	weaken	front	None	None	False	False
['ACRO_II', 'ACRO_NELJÄS']	ACRONYM	45	None	False	strengthen	front	None	None	False	False
['ACRO_II']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_II']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_II', 'ACRO_OHMI']	ACRONYM	5	None	False	weaken	back	None	None	False	False
['ACRO_II', 'ACRO_PUNTA']	ACRONYM	10	None	False	weaken	front	None	None	False	False
['ACRO_II', 'ACRO_WEBER']	ACRONYM	6	None	False	weaken	front	None	None	False	False
['ACRO_JOULE']	ACRONYM	0	None	False	weaken	back	None	None	False	False
['ACRO_KAHDEKSAN']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_KAKSI']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_KAKSI']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_KOLME']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_KOLME']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_KUUSI']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_NELJÄ']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_NOLLA']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_NOLLA']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_OHMI', 'ACRO_METRI']	ACRONYM	5	None	False	weaken	front	None	None	False	False
['ACRO_OHMI']	ACRONYM	0	None	False	weaken	back	None	None	False	False
['ACRO_OHMI', 'ACRO_OHMI']	ACRONYM	5	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_CELSIUS']	ACRONYM	39	None	False	strengthen	back	None	None	False	False
['ACRO_OO', 'ACRO_DOLLARI']	ACRONYM	6	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_GRAMMA']	ACRONYM	9	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_GRAMMA']	ACRONYM	9	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_JÄRJESTÖ']	ACRONYM	2	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_LEHTI']	ACRONYM	7	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_LUSIKKA']	ACRONYM	14	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_METRI']	ACRONYM	5	None	False	weaken	front	None	None	False	False
['ACRO_OO']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_OO']	ACRONYM	0	None	False	False	front	None	None	False	False
['ACRO_OO', 'ACRO_OHMI']	ACRONYM	5	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_OIKEUS']	ACRONYM	40	None	False	strengthen	back	None	None	False	False
['ACRO_OO', 'ACRO_OK']	ACRONYM	18	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_OPPILAS']	ACRONYM	41	None	False	strengthen	back	None	None	False	False
['ACRO_OO', 'ACRO_PUNTA']	ACRONYM	10	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_PUNTA']	ACRONYM	10	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_TALO']	ACRONYM	1	None	False	weaken	back	None	None	False	False
['ACRO_OO', 'ACRO_TALO']	ACRONYM	1	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_VUOSI']	ACRONYM	27	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_WEBER']	ACRONYM	6	None	False	weaken	front	None	None	False	False
['ACRO_OO', 'ACRO_YHDISTYS']	ACRONYM	39	None	False	strengthen	front	None	None	False	False
['ACRO_PUNTA', 'ACRO_GRAMMA']	ACRONYM	9	None	False	weaken	front	None	None	False	False
['ACRO_PUNTA']	ACRONYM	10	None	False	weaken	front	None	None	False	False
['ACRO_PUNTA', 'ACRO_PUNTA']	ACRONYM	10	None	False	weaken	front	None	None	False	False
['ACRO_PYKÄLÄ']	ACRONYM	0	None	False	False	back	None	None	False	False
['ACRO_SEITSEMÄN']	ACRONYM	0	None	False	False	back	None	None	False	False
