# Plurale tantums are words which only inflect in plural forms. This
# listing contains two kinds of plural words, those which are necessarily
# in plural forms and singular forms are ungrammatical as free morphs, marked
# by ``plt=obligatory`` and their dictionary form is necessarily the plural
# singular nominative. Then there are words where singular forms are
# exceptionally rare and deemed ungrammatical by some speakers, but can be
# manifested in existing corpora. For these forms the dictionary form is the
# singular nominative as usual, and the extra field is ``plt=common``.
"LEMMA","KOTUS NUMBER","KOTUS GRADATION LETTER","PART-OF-SPEECH","PLURALE TANTUM"#,<-HEADERS
"Aakarit","5","0","Prop","plt=obligatory"
"aakkonen","38","0","N","plt=common"
"Aalinkalliot","3","0","Prop","plt=obligatory"
"Aalmanninarot","1","0","Prop","plt=obligatory"
"aamu-uutiset","38","0","N","plt=obligatory"
"Aapalamminkummut","1","H","Prop","plt=obligatory"
"Aapalammit","5","H","Prop","plt=obligatory"
"Aapasarat","9","D","Prop","plt=obligatory"
"Aapinlammit","5","H","Prop","plt=obligatory"
"Aapraminapajat","10","0","Prop","plt=obligatory"
"Aarreluodot","1","F","Prop","plt=obligatory"
"Aarresaaret","26","0","Prop","plt=obligatory"
"Aarresärkät","10","A","Prop","plt=obligatory"
"Aartokummut","1","H","Prop","plt=obligatory"
"Aartosaaret","26","0","Prop","plt=obligatory"
"Aatamin ja Eevan kivet","7","0","Prop","plt=obligatory"
"Aataminkalliot","3","0","Prop","plt=obligatory"
"Aataminsaaret","24","0","Prop","plt=obligatory"
"Aatsinginjärvet","7","0","Prop","plt=obligatory"
"Aattokalliot","3","0","Prop","plt=obligatory"
"Aavasaksan Urheilijat","12","0","Prop","plt=obligatory"
"ABC-asemat","10","0","Prop","plt=obligatory"
"Adoptioperheet","48","0","Prop","plt=obligatory"
"Agronomivirkamiehet ja toimihenkilöt","2","0","Prop","plt=obligatory"
"ahdassuusammakko","4","A","N","plt=common"
"ahdin","33","F","N","plt=common"
"ahdinmalluainen","38","0","N","plt=common"
"Ahkiosaaret","26","0","Prop","plt=obligatory"
"Ahmajärvet","7","0","Prop","plt=obligatory"
"Ahmakalliot","3","0","Prop","plt=obligatory"
"Ahmakivet","7","0","Prop","plt=obligatory"
"Ahmalammit","5","H","Prop","plt=obligatory"
"Ahmaluodot","1","F","Prop","plt=obligatory"
"Ahmatievat","9","0","Prop","plt=obligatory"
"Ahmatunturinmuristat","9","0","Prop","plt=obligatory"
"Ahmatunturinpalot","1","0","Prop","plt=obligatory"
"Ahoinvuoret","26","0","Prop","plt=obligatory"
"Ahokoskentievat","9","0","Prop","plt=obligatory"
"Aholammit","5","H","Prop","plt=obligatory"
"Aholankalliot","3","0","Prop","plt=obligatory"
"Ahonalaset","38","0","Prop","plt=obligatory"
"Ahoniitunkalliot","3","0","Prop","plt=obligatory"
"Ahoniitut","1","C","Prop","plt=obligatory"
"Ahonkalliot","3","0","Prop","plt=obligatory"
"Ahon Matin saaret","26","0","Prop","plt=obligatory"
"Ahonpellot","1","I","Prop","plt=obligatory"
"Ahonpäänkalliot","3","0","Prop","plt=obligatory"
"Ahonpäänlammit","5","H","Prop","plt=obligatory"
"Ahonvuoret","26","0","Prop","plt=obligatory"
"Ahopäännokat","10","A","Prop","plt=obligatory"
"Ahopäät","18","0","Prop","plt=obligatory"
"Ahosaaret","26","0","Prop","plt=obligatory"
"Ahoset","38","0","Prop","plt=obligatory"
"Ahot","1","0","Prop","plt=obligatory"
"Ahtastenkankaat","41","G","Prop","plt=obligatory"
"Ahtaus- ja Huolinta-alan Tekniset","38","0","Prop","plt=obligatory"
"Ahterinkalliot","3","0","Prop","plt=obligatory"
"Ahtimäet","7","D","Prop","plt=obligatory"
"Ahvenaiset","38","0","Prop","plt=obligatory"
"Ahvenaistensupat","10","B","Prop","plt=obligatory"
"Ahvenharjut","1","0","Prop","plt=obligatory"
"Ahveniset","38","0","Prop","plt=obligatory"
"Ahvenislammet","7","H","Prop","plt=obligatory"
"Ahvenjärvenharjut","1","0","Prop","plt=obligatory"
"Ahvenjärvet","7","0","Prop","plt=obligatory"
"ahvenkala","9","0","N","plt=common"
"Ahvenkankaat","41","G","Prop","plt=obligatory"
"Ahvenkivet","7","0","Prop","plt=obligatory"
"Ahvenlammit","5","H","Prop","plt=obligatory"
"Ahvenlampinkankaat","41","G","Prop","plt=obligatory"
"Ahvenluodot","1","F","Prop","plt=obligatory"
"Ahvenluomanlammit","5","H","Prop","plt=obligatory"
"Ahvenojansaaret","26","0","Prop","plt=obligatory"
"Ahvensaaret","26","0","Prop","plt=obligatory"
"Ahvensaivot","1","0","Prop","plt=obligatory"
"Ahvenseljät","10","L","Prop","plt=obligatory"
"Ahvensuonlammit","5","H","Prop","plt=obligatory"
"Ahvenuskalliot","3","0","Prop","plt=obligatory"
"Ahvenuslammit","5","H","Prop","plt=obligatory"
"Ahvenvaaranlammit","5","H","Prop","plt=obligatory"
"Ahvenvuopajat","10","0","Prop","plt=obligatory"
"Ahveroisenkankaat","41","G","Prop","plt=obligatory"
"ai-ait","18","0","N","plt=obligatory"
"Aidaskynnäät","41","0","Prop","plt=obligatory"
"Aidassaaret","26","0","Prop","plt=obligatory"
"aie","48","D","N","plt=common"
"Aikaharjut","1","0","Prop","plt=obligatory"
"Aikinlamminharjut","1","0","Prop","plt=obligatory"
"Aikionlammit","5","H","Prop","plt=obligatory"
"Aikkipetsinlammit","5","H","Prop","plt=obligatory"
"Aikonkivet","7","0","Prop","plt=obligatory"
"Ailakkalahdenlantot","1","C","Prop","plt=obligatory"
"Aililompolot","2","0","Prop","plt=obligatory"
"Ailisaarennivat","9","0","Prop","plt=obligatory"
"Ailukset","39","0","Prop","plt=obligatory"
"aineopinnot","1","J","N","plt=obligatory"
"Ainiharjut","1","0","Prop","plt=obligatory"
"Ainikkaharjut","1","0","Prop","plt=obligatory"
"Ainolankalliot","3","0","Prop","plt=obligatory"
"Airikenmäet","7","D","Prop","plt=obligatory"
"airokala","9","0","N","plt=common"
"Airosaaret","26","0","Prop","plt=obligatory"
"Airossaaret","26","0","Prop","plt=obligatory"
"Aisalammit","5","H","Prop","plt=obligatory"
"Aisanevankalliot","3","0","Prop","plt=obligatory"
"aita","9","F","N","plt=common"
"Aitajärvet","7","0","Prop","plt=obligatory"
"Aitalammet","7","H","Prop","plt=obligatory"
"Aitalamminsärkät","10","A","Prop","plt=obligatory"
"Aitalammit","5","H","Prop","plt=obligatory"
"Aitamaanlantot","1","C","Prop","plt=obligatory"
"Aitamaantievat","9","0","Prop","plt=obligatory"
"Aitasuonlammit","5","H","Prop","plt=obligatory"
"aitobakteeri","6","0","N","plt=common"
"aitohevosmuurahainen","38","0","N","plt=common"
"aitokana","9","0","N","plt=common"
"aitosammakko","4","A","N","plt=common"
"aitosammal","49","0","N","plt=common"
"aitosieni","26","0","N","plt=common"
"aitosudenkorento","1","J","N","plt=common"
"aitovyötiäinen","38","0","N","plt=common"
"Aitsaaret","26","0","Prop","plt=obligatory"
"Aittakalliot","3","0","Prop","plt=obligatory"
"Aittakankaankalliot","3","0","Prop","plt=obligatory"
"Aittaluodot","1","F","Prop","plt=obligatory"
"Aittanivat","9","0","Prop","plt=obligatory"
"Aittanummenpellot","1","I","Prop","plt=obligatory"
"Aittaojan seljänteet","48","J","Prop","plt=obligatory"
"Aittariutat","9","C","Prop","plt=obligatory"
"Aittasaarekkeet","48","A","Prop","plt=obligatory"
"Aittasaaret","26","0","Prop","plt=obligatory"
"Aittasenkummut","1","H","Prop","plt=obligatory"
"Aittasuonkalliot","3","0","Prop","plt=obligatory"
"Aittatievat","9","0","Prop","plt=obligatory"
"Aittoharjunkankaat","41","G","Prop","plt=obligatory"
"Aittokalliot","3","0","Prop","plt=obligatory"
"Aittokankaat","41","G","Prop","plt=obligatory"
"Aittokarit","5","0","Prop","plt=obligatory"
"Aittokivet","7","0","Prop","plt=obligatory"
"Aittokoskensärkät","10","A","Prop","plt=obligatory"
"Aittolaistenhalmeet","48","0","Prop","plt=obligatory"
"Aittolammit","5","H","Prop","plt=obligatory"
"Aitto-ojanniityt","1","C","Prop","plt=obligatory"
"Aittosaaret","26","0","Prop","plt=obligatory"
"Aittostenmäet","7","D","Prop","plt=obligatory"
"aivina","13","0","N","plt=common"
"aivo","1","0","N","plt=common"
"aivokalvolaskimo","2","0","N","plt=common"
"aivot","1","0","N","plt=obligatory"
"Ajakkalammit","5","H","Prop","plt=obligatory"
"ajannäyttäjäkukka","10","A","N","plt=common"
"ajo","1","0","N","plt=common"
"ajovalot","1","0","N","plt=obligatory"
"Ajuksenkalliot","3","0","Prop","plt=obligatory"
"ajurinrattaat","41","C","N","plt=obligatory"
"Akanahot","1","0","Prop","plt=obligatory"
"Akanarot","1","0","Prop","plt=obligatory"
"Akanhaudat","9","F","Prop","plt=obligatory"
"Akanlammit","5","H","Prop","plt=obligatory"
"Akanpaskanivat","9","0","Prop","plt=obligatory"
"Akansaaret","26","0","Prop","plt=obligatory"
"Akantörmät","10","0","Prop","plt=obligatory"
"Akanviidanniityt","1","C","Prop","plt=obligatory"
"Akava Erityisalat","9","D","Prop","plt=obligatory"
"Akavan Erityisalat","9","D","Prop","plt=obligatory"
"Akavan kirkolliset ammattiliitot","1","C","Prop","plt=obligatory"
"Akharamankummut","1","H","Prop","plt=obligatory"
"Akkalammit","5","H","Prop","plt=obligatory"
"Akkalanluodot","1","F","Prop","plt=obligatory"
"Akkaluodot","1","F","Prop","plt=obligatory"
"Akkanevankalliot","3","0","Prop","plt=obligatory"
"Akkasaaret","26","0","Prop","plt=obligatory"
"akselivallat","9","I","N","plt=obligatory"
"akselivaltio","3","0","N","plt=common"
"Aksijärvet","7","0","Prop","plt=obligatory"
"Aksunharjut","1","0","Prop","plt=obligatory"
"aktiivat","13","0","N","plt=obligatory"
"Aku-Jounin Aitasijajärvet","7","0","Prop","plt=obligatory"
"Ala-Antin kentät","10","C","Prop","plt=obligatory"
"alahengitystiet","19","0","N","plt=obligatory"
"Alaistenniitut","1","C","Prop","plt=obligatory"
"Alajoensärkät","10","A","Prop","plt=obligatory"
"Alajängänpalot","1","0","Prop","plt=obligatory"
"Alajärven Ankkurit","6","0","Prop","plt=obligatory"
"Alajärvenharjut","1","0","Prop","plt=obligatory"
"Alakankaat","41","G","Prop","plt=obligatory"
"Ala-Karpaatit","5","C","Prop","plt=obligatory"
"Ala-Kellolammit","5","H","Prop","plt=obligatory"
"Alakka-ahonkydöt","1","F","Prop","plt=obligatory"
"Alakorvenniityt","1","C","Prop","plt=obligatory"
"Alakoskenluhdat","10","F","Prop","plt=obligatory"
"Alakosket","7","0","Prop","plt=obligatory"
"Alakydöt","1","F","Prop","plt=obligatory"
"Alakärrit","5","K","Prop","plt=obligatory"
"Alalamut","1","0","Prop","plt=obligatory"
"Ala-Leililammit","5","H","Prop","plt=obligatory"
"Ala-Lismanpuljut","1","0","Prop","plt=obligatory"
"Alanevankalliot","3","0","Prop","plt=obligatory"
"Alangonkalliot","3","0","Prop","plt=obligatory"
"Alangonniityt","1","C","Prop","plt=obligatory"
"Alaniitynkalliot","3","0","Prop","plt=obligatory"
"Alaniityt","1","C","Prop","plt=obligatory"
"Alankomaat","18","0","Prop","plt=obligatory"
"Alankomaiden Antillit","5","I","Prop","plt=obligatory"
"Alankoniityt","1","C","Prop","plt=obligatory"
"Alanokat","10","A","Prop","plt=obligatory"
"Alanteenlammit","5","H","Prop","plt=obligatory"
"Alanteensärkät","10","A","Prop","plt=obligatory"
"Alapaikanpellot","1","I","Prop","plt=obligatory"
"Alapalot","1","0","Prop","plt=obligatory"
"Alapellot","1","I","Prop","plt=obligatory"
"Alaperänharjut","1","0","Prop","plt=obligatory"
"Alaperänkankaat","41","G","Prop","plt=obligatory"
"Alapäänniitut","1","C","Prop","plt=obligatory"
"Alapäänsaaret","26","0","Prop","plt=obligatory"
"Alarannansuot","19","0","Prop","plt=obligatory"
"Alasaaret","26","0","Prop","plt=obligatory"
"Alasensärkät","10","A","Prop","plt=obligatory"
"Alasiliänkankaat","41","G","Prop","plt=obligatory"
"Alasimenlamminmäet","7","D","Prop","plt=obligatory"
"Alasjärvenkalliot","3","0","Prop","plt=obligatory"
"Alaskaivetunjärvet","7","0","Prop","plt=obligatory"
"Alaskivenkalliot","3","0","Prop","plt=obligatory"
"Alasniitut","1","C","Prop","plt=obligatory"
"Alassuonsaaret","26","0","Prop","plt=obligatory"
"Alasuonlammit","5","H","Prop","plt=obligatory"
"Alasuonsaarekkeet","48","A","Prop","plt=obligatory"
"Alasuot","19","0","Prop","plt=obligatory"
"Alatalonahot","1","0","Prop","plt=obligatory"
"Alatornion Pirkat","9","A","Prop","plt=obligatory"
"Alavankankaat","41","G","Prop","plt=obligatory"
"Alavuden Peli-Veikot","1","A","Prop","plt=obligatory"
"Alavuden Urheilijat","12","0","Prop","plt=obligatory"
"A-lehdet","7","F","Prop","plt=obligatory"
"Aleksentievat","9","0","Prop","plt=obligatory"
"Aleksinsaaret","24","0","Prop","plt=obligatory"
"alfasäteet","48","F","N","plt=obligatory"
"Alhoinniityt","1","C","Prop","plt=obligatory"
"Alhonpellot","1","I","Prop","plt=obligatory"
"alinen","38","0","N","plt=common"
"Aliojansaaret","26","0","Prop","plt=obligatory"
"alkajaiset","38","0","N","plt=obligatory"
"alkeet","48","L","N","plt=obligatory"
"alkeisopinnot","1","J","N","plt=obligatory"
"alkeistiedot","1","F","N","plt=obligatory"
"alkulehti","7","F","N","plt=common"
"alkulisko","1","0","N","plt=common"
"alkunilviäinen","38","0","N","plt=common"
"alkuopinnot","1","J","N","plt=obligatory"
"alkusanat","9","0","N","plt=obligatory"
"alkuvaikeudet","40","0","N","plt=obligatory"
"Allemakummut","1","H","Prop","plt=obligatory"
"Allemanivat","9","0","Prop","plt=obligatory"
"Allijärvet","7","0","Prop","plt=obligatory"
"Allikonvuoret","26","0","Prop","plt=obligatory"
"Allinluodot","1","F","Prop","plt=obligatory"
"Allunpalot","1","0","Prop","plt=obligatory"
"alppi","5","B","N","plt=common"
"Alttassuonkalliot","3","0","Prop","plt=obligatory"
"Aluksenmaankalliot","3","0","Prop","plt=obligatory"
"alunen","38","0","N","plt=common"
"alushousut","1","0","N","plt=obligatory"
"Aluslammit","5","H","Prop","plt=obligatory"
"Alusnevansaaret","26","0","Prop","plt=obligatory"
"Alusniityt","1","C","Prop","plt=obligatory"
"alvejuurikasvi","5","0","N","plt=common"
"Amerikankalliot","3","0","Prop","plt=obligatory"
"amerikansirohaukat","9","A","N","plt=obligatory"
"ammattiopinnot","1","J","N","plt=obligatory"
"Ammeet","48","0","Prop","plt=obligatory"
"Ammeluodot","1","F","Prop","plt=obligatory"
"Ammurivit","5","0","Prop","plt=obligatory"
"Ampiaiskankaat","41","G","Prop","plt=obligatory"
"Ampiaiskivet","7","0","Prop","plt=obligatory"
"Ampiaisliat","9","D","Prop","plt=obligatory"
"Ampiaissuot","19","0","Prop","plt=obligatory"
"ampiaisyrtti","5","C","N","plt=common"
"Ampupäät","18","0","Prop","plt=obligatory"
"Andamaanit ja Nikobaarit","5","0","Prop","plt=obligatory"
"Anellinkorvat","10","0","Prop","plt=obligatory"
"Angalasjärvet","7","0","Prop","plt=obligatory"
"Angasmuotkanharjut","1","0","Prop","plt=obligatory"
"Angelharjunlammit","5","H","Prop","plt=obligatory"
"Angelharjut","1","0","Prop","plt=obligatory"
"Anionpellot","1","I","Prop","plt=obligatory"
"Ankkuriletot","1","C","Prop","plt=obligatory"
"Anna Greetan järvet","7","0","Prop","plt=obligatory"
"Annankalliot","3","0","Prop","plt=obligatory"
"Annastiinanautiot","3","0","Prop","plt=obligatory"
"Annikinsaaret","24","0","Prop","plt=obligatory"
"Anninniitut","1","C","Prop","plt=obligatory"
"Anonyymit Ylensyöjät","10","0","Prop","plt=obligatory"
"anopikset","39","0","N","plt=obligatory"
"Ansakummut","1","H","Prop","plt=obligatory"
"Ansasaaret","26","0","Prop","plt=obligatory"
"Ansasalmenkankaat","41","G","Prop","plt=obligatory"
"Antaraslammet","7","H","Prop","plt=obligatory"
"Anterustievat","9","0","Prop","plt=obligatory"
"Antikaisahot","1","0","Prop","plt=obligatory"
"antimet","33","J","N","plt=obligatory"
"Antinjängänkummut","1","H","Prop","plt=obligatory"
"Antinjärventievat","9","0","Prop","plt=obligatory"
"Antinkalliot","3","0","Prop","plt=obligatory"
"Antinkarit","5","0","Prop","plt=obligatory"
