Aakarit	['N_LASIT']	plt=obligatory
aakkonen	['N_AAKKOSTAMINEN']	plt=common
Aalinkalliot	['N_RAUNIOT']	plt=obligatory
Aalmanninarot	['N_AIVOT']	plt=obligatory
Aalto-yliopistokiinteistöt	['N_YHTIÖT']	plt=obligatory
aamu-uutiset	['N_RAPPUSET']	plt=obligatory
Aapalamminkummut	['N_KUMMUT']	plt=obligatory
Aapalammit	['N_LAMMIT']	plt=obligatory
Aapasarat	['N_PAIKAT']	plt=obligatory
Aapinlammit	['N_LAMMIT']	plt=obligatory
Aapraminapajat	['N_JUHLAT']	plt=obligatory
Aarreluodot	['N_PIDOT']	plt=obligatory
Aarresaaret	['N_SAARET']	plt=obligatory
Aarresärkät	['N_SÄRKÄT']	plt=obligatory
Aartokummut	['N_KUMMUT']	plt=obligatory
Aartosaaret	['N_SAARET']	plt=obligatory
Aatamin ja Eevan kivet	['N_RIPSET']	plt=obligatory
Aataminkalliot	['N_RAUNIOT']	plt=obligatory
Aataminsaaret	['N_SAARET']	plt=obligatory
Aatsinginjärvet	['N_RIPSET']	plt=obligatory
Aattokalliot	['N_RAUNIOT']	plt=obligatory
Aavasaksan Urheilijat	['N_MARKKINAT']	plt=obligatory
ABC-asemat	['N_JUHLAT']	plt=obligatory
Adoptioperheet	['N_HIUTALEET']	plt=obligatory
Agronomivirkamiehet ja toimihenkilöt	['N_JÄRJESTÖT']	plt=obligatory
ahdassuusammakko	['N_LEPAKKO']	plt=common
ahdinmalluainen	['N_AAKKOSTAMINEN']	plt=common
ahdin	['N_VAADIN']	plt=common
Ahkiosaaret	['N_SAARET']	plt=obligatory
Ahmajärvet	['N_RIPSET']	plt=obligatory
Ahmakalliot	['N_RAUNIOT']	plt=obligatory
Ahmakivet	['N_SAKSET']	plt=obligatory
Ahmalammit	['N_LAMMIT']	plt=obligatory
Ahmaluodot	['N_PIDOT']	plt=obligatory
Ahmatievat	['N_VARAT']	plt=obligatory
Ahmatunturinmuristat	['N_VARAT']	plt=obligatory
Ahmatunturinpalot	['N_AIVOT']	plt=obligatory
Ahoinvuoret	['N_SAARET']	plt=obligatory
Ahokoskentievat	['N_VARAT']	plt=obligatory
Aholammit	['N_LAMMIT']	plt=obligatory
Aholankalliot	['N_RAUNIOT']	plt=obligatory
Ahonalaset	['N_RAPPUSET']	plt=obligatory
Ahoniitunkalliot	['N_RAUNIOT']	plt=obligatory
Ahoniitut	['N_NIITUT']	plt=obligatory
Ahonkalliot	['N_RAUNIOT']	plt=obligatory
Ahon Matin saaret	['N_SAARET']	plt=obligatory
Ahonpellot	['N_AALLOT']	plt=obligatory
Ahonpäänkalliot	['N_RAUNIOT']	plt=obligatory
Ahonpäänlammit	['N_LAMMIT']	plt=obligatory
Ahonvuoret	['N_SAARET']	plt=obligatory
Ahopäännokat	['N_SUKAT']	plt=obligatory
Ahopäät	['N_HÄÄT']	plt=obligatory
Ahosaaret	['N_SAARET']	plt=obligatory
Ahoset	['N_RAPPUSET']	plt=obligatory
Ahot	['N_AIVOT']	plt=obligatory
Ahtastenkankaat	['N_RENKAAT']	plt=obligatory
Ahtaus- ja Huolinta-alan Tekniset	['N_VIHKIÄISET']	plt=obligatory
Ahterinkalliot	['N_RAUNIOT']	plt=obligatory
Ahtimäet	['N_MÄET']	plt=obligatory
Ahvenaiset	['N_RAPPUSET']	plt=obligatory
Ahvenaistensupat	['N_KUOPAT']	plt=obligatory
Ahvenharjut	['N_HOUSUT']	plt=obligatory
Ahveniset	['N_RAPPUSET']	plt=obligatory
Ahvenislammet	['N_LAMMET']	plt=obligatory
Ahvenjärvenharjut	['N_HOUSUT']	plt=obligatory
Ahvenjärvet	['N_RIPSET']	plt=obligatory
ahvenkala	['N_KIRJA']	plt=common
Ahvenkankaat	['N_RENKAAT']	plt=obligatory
Ahvenkivet	['N_SAKSET']	plt=obligatory
Ahvenlammit	['N_LAMMIT']	plt=obligatory
Ahvenlampinkankaat	['N_RENKAAT']	plt=obligatory
Ahvenluodot	['N_PIDOT']	plt=obligatory
Ahvenluomanlammit	['N_LAMMIT']	plt=obligatory
Ahvenojansaaret	['N_SAARET']	plt=obligatory
Ahvensaaret	['N_SAARET']	plt=obligatory
Ahvensaivot	['N_AIVOT']	plt=obligatory
Ahvenseljät	['N_SELJÄT']	plt=obligatory
Ahvensuonlammit	['N_LAMMIT']	plt=obligatory
Ahvenuskalliot	['N_RAUNIOT']	plt=obligatory
Ahvenuslammit	['N_LAMMIT']	plt=obligatory
Ahvenvaaranlammit	['N_LAMMIT']	plt=obligatory
Ahvenvuopajat	['N_JUHLAT']	plt=obligatory
Ahveroisenkankaat	['N_RENKAAT']	plt=obligatory
ai-ait	['N_HAIT']	plt=obligatory
Aidaskynnäät	['N_KYNNÄÄT']	plt=obligatory
Aidassaaret	['N_SAARET']	plt=obligatory
aie	['N_KOE']	plt=common
Aikaharjut	['N_HOUSUT']	plt=obligatory
Aikinlamminharjut	['N_HOUSUT']	plt=obligatory
Aikionlammit	['N_LAMMIT']	plt=obligatory
