360buy	['N_COWBOY']	stem-vowel=i
Abéché	['N_ROSÉ']	stem-vowel=e
Abomey	['N_JOCKEY']	stem-vowel=i
Āddī Ugrī	['N_BRASSERIE']	stem-vowel=i
Adré	['N_ROSÉ']	stem-vowel=e
Aianí	['N_BRASSERIE']	stem-vowel=i
Ailigandí	['N_BRASSERIE']	stem-vowel=i
Airdrie	['N_BRASSERIE']	stem-vowel=i
Aitolikó	['N_ESQUIMAU']	stem-vowel=o
Akmenė	['N_ROSÉ']	stem-vowel=e
Ákra Agía Aikateriní	['N_BRASSERIE']	stem-vowel=i
Ákra Almyroú	['N_KUNGFU']	stem-vowel=u
Ákra Ochtoniá	['N_CHACHACHA']	stem-vowel=a
Ákra Trypití	['N_BRIE']	stem-vowel=i
Aksaray	['N_GAY']	stem-vowel=i
Ales	['N_PARFAIT']	stem-vowel=e
Alès	['N_PARFAIT']	stem-vowel=e
Alykí	['N_BRIE']	stem-vowel=i
Amlamé	['N_ROSÉ']	stem-vowel=e
Anjō	['N_ESQUIMAU']	stem-vowel=o
Annecy	['N_SPOTIFY']	stem-vowel=i
Antipaxoí	['N_COWBOY']	stem-vowel=i
Antsirabé	['N_ROSÉ']	stem-vowel=e
Apolakkiá	['N_CHACHACHA']	stem-vowel=a
Arboyé	['N_BÉBÉ']	stem-vowel=e
Arklow	['N_SHOW']	stem-vowel=u
Arkoí	['N_COWBOY']	stem-vowel=i
Arras	['N_NOUGAT']	stem-vowel=a
Aserrío de Gariché	['N_ROSÉ']	stem-vowel=e
Asfendioú	['N_KUNGFU']	stem-vowel=u
Atakpamé	['N_ROSÉ']	stem-vowel=e
Atsikí	['N_BRASSERIE']	stem-vowel=i
Attikí	['N_BRASSERIE']	stem-vowel=i
Aunee	['N_JOCKEY']	stem-vowel=i
avenue	['N_FONDUE']	stem-vowel=y
Bafatá	['N_CHACHACHA']	stem-vowel=a
Bákó	['N_ESQUIMAU']	stem-vowel=o
Baltoji Vokė	['N_ROSÉ']	stem-vowel=e
Bandiiradley	['N_JOCKEY']	stem-vowel=i
Ban Houayxay	['N_GAY']	stem-vowel=i
Baní	['N_BRASSERIE']	stem-vowel=i
Barcarozsnyó	['N_ESQUIMAU']	stem-vowel=o
Barrie	['N_BRASSERIE']	stem-vowel=i
Barrow	['N_SHOW']	stem-vowel=u
Basse-Normandie	['N_BRASSERIE']	stem-vowel=i
bavarois	['N_NOUGAT']	stem-vowel=a
Beauharnois	['N_NOUGAT']	stem-vowel=a
Beaupré	['N_ROSÉ']	stem-vowel=e
Becej	['N_BEIGNET']	stem-vowel=i
Bečej	['N_BEIGNET']	stem-vowel=i
Beckley	['N_JOCKEY']	stem-vowel=i
beignet	['N_BEIGNET']	stem-vowel=e
Bembèrèkè	['N_BÉBÉ']	stem-vowel=e
Benešov nad Ploučnicí	['N_BRASSERIE']	stem-vowel=i
Benoy	['N_COWBOY']	stem-vowel=i
Bénoy	['N_COWBOY']	stem-vowel=i
Berbá	['N_CHACHACHA']	stem-vowel=a
Béré	['N_BÉBÉ']	stem-vowel=e
Berezó	['N_ESQUIMAU']	stem-vowel=o
Berkeley	['N_JOCKEY']	stem-vowel=i
Berkshire Hathaway	['N_GAY']	stem-vowel=i
Best Buy	['N_COWBOY']	stem-vowel=i
Beyoncé	['N_ROSÉ']	stem-vowel=e
Bilgoraj	['N_VERSAILLES']	stem-vowel=i
Bisset	['N_BEIGNET']	stem-vowel=e
Bissorã	['N_CHACHACHA']	stem-vowel=a
Bjerringbro	['N_KUNGFU']	stem-vowel=u
Blatná	['N_CHACHACHA']	stem-vowel=a
Blois	['N_NOUGAT']	stem-vowel=a
Bobigny	['N_SPOTIFY']	stem-vowel=i
Bodo	['N_MALMÖ']	stem-vowel=ö
Bodø	['N_MALMÖ']	stem-vowel=ö
Bogotá	['N_CHACHACHA']	stem-vowel=a
Bohušovice nad Ohří	['N_BRASSERIE']	stem-vowel=i
Boké	['N_ROSÉ']	stem-vowel=e
Bombay	['N_GAY']	stem-vowel=i
bordeaux	['N_BORDEAUX']	stem-vowel=o
Bordeaux	['N_BORDEAUX']	stem-vowel=o
Borosjenő	['N_MALMÖ']	stem-vowel=ö
Bossembélé	['N_ROSÉ']	stem-vowel=e
Bouaflé	['N_ROSÉ']	stem-vowel=e
Bouaké	['N_ROSÉ']	stem-vowel=e
Bougé	['N_ROSÉ']	stem-vowel=e
Boukoumbé	['N_ROSÉ']	stem-vowel=e
bouquet	['N_PARFAIT']	stem-vowel=e
Boussé	['N_ROSÉ']	stem-vowel=e
Bowie	['N_BRASSERIE']	stem-vowel=i
Brandýs nad Orlicí	['N_BRASSERIE']	stem-vowel=i
Brassó	['N_ESQUIMAU']	stem-vowel=o
Březová	['N_CHACHACHA']	stem-vowel=a
Břidličná	['N_CHACHACHA']	stem-vowel=a
Brightlingsea	['N_JOCKEY']	stem-vowel=i
