agregaatti	['N_KORTTI']	style=nonstandard
agressiivinen	['A_AAKKOSELLINEN']	style=nonstandard
aluminium	['N_PUNK']	style=nonstandard
Azerbaidzan	['N_STADION']	style=nonstandard
edelläkuvattu	['A_VIMMATTU']	style=nonstandard
ennenkun	['#']	style=nonstandard
enään	['#']	style=nonstandard
hajoittaa	['V_VIEROITTAA']	style=nonstandard
Herzegovina	['N_KITARA']	style=nonstandard
ikäänkuin	['#']	style=nonstandard
intra	['N_KIRJA']	style=dialectal
irroittaa	['V_VIEROITTAA']	style=nonstandard
jaksottainen	['A_AAKKOSELLINEN']	style=nonstandard
jompi	['PRON_KUMPI']	style=nonstandard
kuni	['#']	style=nonstandard
levinnäisyys	['N_KÖYHYYS']	style=nonstandard
likitse	['#']	style=archaic
moduli	['N_RUUVI']	style=nonstandard
muutti	['N_KORTTI']	style=dialectal
niinkuin	['#']	style=nonstandard
poikitse	['#']	style=archaic
rankaista	['V_MARISTA']	style=nonstandard
semma	['N_KIRJA']	style=dialectal
sentrifuugi	['N_RUUVI']	style=nonstandard
shampanja	['N_KITARA']	style=nonstandard
shamppanja	['N_KITARA']	style=nonstandard
sikaari	['N_RUUHI']	style=archaic
Tadzikistan	['N_PUNK']	style=nonstandard
Tanzania	['N_MAKKARA']	style=nonstandard
Tsekkoslovakia	['N_MAKKARA']	style=nonstandard
tunnittainen	['A_AAKKOSELLINEN']	style=nonstandard
viikottainen	['A_AAKKOSELLINEN']	style=nonstandard
yhtäsuuri	['A_SUURI']	style=nonstandard
ympäritse	['#']	style=archaic
