Incoming morph	analyses	stem part	continuations...	#<- HEADERS
ACRO_BACK_CASES	Npl|Xabe	>i>tta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Npl|Xabl	>i>lta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Npl|Xade	>i>lla	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Npl|Xall	>i>lle	ACRO_BACK_POSS_EN_OPT
ACRO_BACK_CASES	Npl|Xela	>i>sta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Npl|Xess	>i>na	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Npl|Xill	>i>hin	ACRO_BACK_POSS_CLIT_OPT
ACRO_BACK_CASES	Npl|Xine	>i>ssa	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Npl|Xins	>i>n	ACRO_BACK_CLIT_OPT
ACRO_BACK_CASES	Npl|Xnom	>t	ACRO_BACK_CLIT_OPT
ACRO_BACK_CASES	Npl|Xtra	>i>kse	ACRO_BACK_POSS_EN_OBL
ACRO_BACK_CASES	Npl|Xtra	>i>ksi	ACRO_BACK_CLIT_OPT
ACRO_BACK_CASES	Nsg|Xabe	>tta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xabl	>lta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xade	>lla	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xall	>lle	ACRO_BACK_POSS_EN_OPT
ACRO_BACK_CASES	Nsg|Xela	>sta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xess	>na	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xgen	>n	ACRO_BACK_CLIT_OPT
ACRO_BACK_CASES	Nsg|Xine	>ssa	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xnom	0	#
ACRO_BACK_CASES	Nsg|Xnom	>	ACRO_BACK_POSS	ACRO_BACK_CLIT
ACRO_BACK_CASES	Nsg|Xpar	>ta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_CASES	Nsg|Xtra	>kse	ACRO_BACK_POSS_EN_OBL
ACRO_BACK_CASES	Nsg|Xtra	>ksi	ACRO_BACK_CLIT_OPT
ACRO_BACK_CASES	Xcom	>ine	ACRO_BACK_POSS_EN_OPT
ACRO_BACK_CLIT_OPT	0	0	#	ACRO_BACK_CLIT
ACRO_BACK_CLIT	Qhan	>han	#
ACRO_BACK_CLIT	Qhan|Qkaan	>han>kaan	#
ACRO_BACK_CLIT	Qhan|Qko	>han>ko	#
ACRO_BACK_CLIT	Qhan|Qpa	>han>pa	#
ACRO_BACK_CLIT	Qkaan	>kaan	#
ACRO_BACK_CLIT	Qkaan|Qhan	>kaan>han	#
ACRO_BACK_CLIT	Qkaan|Qkin	>kaan>kin	#
ACRO_BACK_CLIT	Qkaan|Qko	>kaan>ko	#
ACRO_BACK_CLIT	Qkaan|Qpa	>kaan>pa	#
ACRO_BACK_CLIT	Qkin	>kin	#
ACRO_BACK_CLIT	Qkin|Qhan	>kin>han	#
ACRO_BACK_CLIT	Qkin|Qkaan	>kin>kaan	#
ACRO_BACK_CLIT	Qkin|Qko	>kin>ko	#
ACRO_BACK_CLIT	Qkin|Qpa	>kin>pa	#
ACRO_BACK_CLIT	Qko	>ko	#
ACRO_BACK_CLIT	Qko|Qhan	>ko>han	#
ACRO_BACK_CLIT	Qko|Qkaan	>ko>kaan	#
ACRO_BACK_CLIT	Qko|Qkin	>ko>kin	#
ACRO_BACK_CLIT	Qko|Qpa	>ko>pa	#
ACRO_BACK_CLIT	Qko|Qs	>ko>s	#
ACRO_BACK_CLIT	Qpa	>pa	#
ACRO_BACK_CLIT	Qpa|Qhan	>pa>han	#
ACRO_BACK_CLIT	Qpa|Qkaan	>pa>kaan	#
ACRO_BACK_CLIT	Qpa|Qkin	>pa>kin	#
ACRO_BACK_CLIT	Qpa|Qko	>pa>ko	#
ACRO_BACK_CLIT	Qpa|Qs	>pa>s	#
ACRO_BACK_GENITIVE_IDEN	Npl|Xgen	>i>de	ACRO_BACK_POSS
ACRO_BACK_GENITIVE_IDEN	Npl|Xgen	>i>den	ACRO_BACK_CLIT_OPT
ACRO_BACK_GENITIVE_IEN	Npl|Xgen	>i>e	ACRO_BACK_POSS
ACRO_BACK_GENITIVE_IEN	Npl|Xgen	>i>en	ACRO_BACK_CLIT_OPT
ACRO_BACK_GENITIVE_ITTEN	Npl|Xgen	>i>tte	ACRO_BACK_POSS
ACRO_BACK_GENITIVE_ITTEN	Npl|Xgen	>i>tten	ACRO_BACK_CLIT_OPT
ACRO_BACK_GENITIVE_JEN	Npl|Xgen	>j>e	ACRO_BACK_POSS
ACRO_BACK_GENITIVE_JEN	Npl|Xgen	>j>en	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_AN	Nsg|Xill	a>a	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_AN	Nsg|Xill	a>an	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_EN	Nsg|Xill	e>e	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_EN	Nsg|Xill	e>en	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_HAN	Nsg|Xill	>ha	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_HAN	Nsg|Xill	>han	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_HEN	Nsg|Xill	>he	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_HEN	Nsg|Xill	>hen	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_HIN	Nsg|Xill	>hi	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_HIN	Nsg|Xill	>hin	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_HON	Nsg|Xill	>ho	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_HON	Nsg|Xill	>hon	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_HUN	Nsg|Xill	>hu	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_HUN	Nsg|Xill	>hun	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_IIN	Npl|Xill	>i>i	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_IIN	Npl|Xill	>i>in	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_IN	Nsg|Xill	i>i	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_IN	Nsg|Xill	i>in	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_ON	Nsg|Xill	o>o	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_ON	Nsg|Xill	o>on	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_SEEN	Nsg|Xill	>see	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_SEEN	Nsg|Xill	>seen	ACRO_BACK_CLIT_OPT
ACRO_BACK_ILLATIVE_UN	Nsg|Xill	u>u	ACRO_BACK_POSS
ACRO_BACK_ILLATIVE_UN	Nsg|Xill	u>un	ACRO_BACK_CLIT_OPT
ACRO_BACK_PARTITIVE_A	Nsg|Xpar	>a	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_PARTITIVE_IA	Npl|Xpar	>i>a	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_PARTITIVE_ITA	Npl|Xpar	>i>ta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_PARTITIVE_JA	Npl|Xpar	>j>a	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_PARTITIVE_TA	Nsg|Xpar	>ta	ACRO_BACK_POSS_AN_OPT
ACRO_BACK_POSS_AN	O3	>an	ACRO_BACK_CLIT_OPT
