Incoming morph	analyses	stem part	continuations...	#<- HEADERS
ACRO_GRAMMA	Npl|Xabe	%:itta	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Npl|Xade	%:illa	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Npl|Xtra	%:ikse	ACRO_BACK_POSS_EN_OBL
ACRO_GRAMMA	Npl|Xtra	%:iksi	ACRO_BACK_CLIT_OPT
ACRO_GRAMMA	Npl|Xess	%:ina	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xall	%:lle	ACRO_BACK_POSS_EN_OPT
ACRO_GRAMMA	Nsg|Xgen	%:n	ACRO_BACK_CLIT_OPT
ACRO_GRAMMA	0	0	ACRO_COMPOUND
ACRO_GRAMMA	Nsg|Xpar	%:aa	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xess	%:na	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Npl|Xnom	%:t	ACRO_BACK_CLIT_OPT
ACRO_GRAMMA	Npl|Xabl	%:ilta	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Npl|Xins	%:in	ACRO_BACK_CLIT_OPT
ACRO_GRAMMA	Npl|Xpar	%:ja	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Xcom	%:ine	ACRO_BACK_POSS_EN_OPT
ACRO_GRAMMA	Nsg|Xnom	%:	ACRO_BACK_POSS	ACRO_BACK_CLIT
ACRO_GRAMMA	Nsg|Xtra	%:kse	ACRO_BACK_POSS_EN_OBL
ACRO_GRAMMA	Npl|Xill	%:ihin	ACRO_BACK_POSS_CLIT_OPT
ACRO_GRAMMA	Nsg|Xtra	%:ksi	ACRO_BACK_CLIT_OPT
ACRO_GRAMMA	Npl|Xall	%:ille	ACRO_BACK_POSS_EN_OPT
ACRO_GRAMMA	Nsg|Xine	%:ssa	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Npl|Xela	%:ista	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xela	%:sta	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xabe	%:tta	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xnom	0	#
ACRO_GRAMMA	Npl|Xgen	%:jen	ACRO_BACK_POSS_CLIT_OPT
ACRO_GRAMMA	Npl|Xine	%:issa	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xade	%:lla	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xabl	%:lta	ACRO_BACK_POSS_AN_OPT
ACRO_GRAMMA	Nsg|Xill	%:aan	ACRO_BACK_POSS_CLIT_OPT
ACRO_PUNTA	Npl|Xabe	%:itta	ACRO_BACK_POSS_AN_OPT
ACRO_PUNTA	Npl|Xade	%:illa	ACRO_BACK_POSS_AN_OPT
ACRO_PUNTA	Npl|Xtra	%:ikse	ACRO_BACK_POSS_EN_OBL
ACRO_PUNTA	Npl|Xtra	%:iksi	ACRO_BACK_CLIT_OPT
