Incoming morph	analyses	stem part	continuations...	#<- HEADERS
A_BACK_CLIT_OPT			#	A_BACK_CLIT
A_BACK_CLIT	Qhan	{MB}han	#
A_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
A_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
A_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
A_BACK_CLIT	Qkaan	{MB}kaan	#
A_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
A_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
A_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
A_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
A_BACK_CLIT	Qkin	{MB}kin	#
A_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
A_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
A_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
A_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
A_BACK_CLIT	Qko	ko	#
A_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
A_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
A_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
A_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
A_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
A_BACK_CLIT	Qpa	{MB}pa	#
A_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
A_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
A_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
A_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
A_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
A_BACK_COMPARATIVE	Dmpi|Ccmp	{DB}m	A_BACK_COMPARATIVE_STEMS
A_BACK_COMPARATIVE_STEMS		{STUB}ma	A_BACK_WEAK_SINGULARS
A_BACK_COMPARATIVE_STEMS		{STUB}m	A_BACK_WEAK_PLURALS
A_BACK_COMPARATIVE_STEMS		{STUB}pa	A_BACK_STRONG_SINGULARS	A_BACK_PARTITIVE_A	A_BACK_GENITIVE_IN	A_BACK_ILLATIVE_AN
A_BACK_COMPARATIVE_STEMS		{STUB}p	A_BACK_STRONG_PLURALS	A_BACK_PARTITIVE_IA	A_BACK_GENITIVE_IEN	A_BACK_ILLATIVE_IIN
A_BACK_COMPARATIVE_STEMS		{STUB}pi	A_BACK_NOMINATIVE	A_BACK_ILLATIVE_IN
A_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}de	A_BACK_POSS
A_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}den	A_BACK_CLIT_OPT
A_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}e	A_BACK_POSS
A_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}en	A_BACK_CLIT_OPT
A_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i	A_BACK_POSS
A_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i{MB}n	A_BACK_CLIT_OPT
A_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tte	A_BACK_POSS
A_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tten	A_BACK_CLIT_OPT
A_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}e	A_BACK_POSS
A_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}en	A_BACK_CLIT_OPT
A_BACK_GENITIVE_TEN	Npl|Xgen	{MB}te	A_BACK_POSS
A_BACK_GENITIVE_TEN	Npl|Xgen	{MB}ten	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_AN	Nsg|Xill	{MB}a	A_BACK_POSS
A_BACK_ILLATIVE_AN	Nsg|Xill	{MB}an	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_EN	Nsg|Xill	{MB}e	A_BACK_POSS
A_BACK_ILLATIVE_EN	Nsg|Xill	{MB}en	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}ha	A_BACK_POSS
A_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}han	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hu	A_BACK_POSS
A_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hun	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hi	A_BACK_POSS
A_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hin	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}i	A_BACK_POSS
A_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}in	A_BACK_CLIT_OPT
A_BACK_ILLATIVE_IN	Nsg|Xill	{MB}i	A_BACK_POSS
A_BACK_ILLATIVE_IN	Nsg|Xill	{MB}in	A_BACK_CLIT_OPT
