Incoming morph	analyses	stem part	continuations...	#<- HEADERS
DIGITS_BACK_CLIT_OPT	0	0	#	DIGITS_BACK_CLIT
DIGITS_BACK_CLIT	Qhan	>han	#
DIGITS_BACK_CLIT	Qhan|Qkaan	>han>kaan	#
DIGITS_BACK_CLIT	Qhan|Qko	>han>ko	#
DIGITS_BACK_CLIT	Qhan|Qpa	>han>pa	#
DIGITS_BACK_CLIT	Qkaan	>kaan	#
DIGITS_BACK_CLIT	Qkaan|Qhan	>kaan>han	#
DIGITS_BACK_CLIT	Qkaan|Qkin	>kaan>kin	#
DIGITS_BACK_CLIT	Qkaan|Qko	>kaan>ko	#
DIGITS_BACK_CLIT	Qkaan|Qpa	>kaan>pa	#
DIGITS_BACK_CLIT	Qkin	>kin	#
DIGITS_BACK_CLIT	Qkin|Qhan	>kin>han	#
DIGITS_BACK_CLIT	Qkin|Qkaan	>kin>kaan	#
DIGITS_BACK_CLIT	Qkin|Qko	>kin>ko	#
DIGITS_BACK_CLIT	Qkin|Qpa	>kin>pa	#
DIGITS_BACK_CLIT	Qko	>ko	#
DIGITS_BACK_CLIT	Qko|Qhan	>ko>han	#
DIGITS_BACK_CLIT	Qko|Qkaan	>ko>kaan	#
DIGITS_BACK_CLIT	Qko|Qkin	>ko>kin	#
DIGITS_BACK_CLIT	Qko|Qpa	>ko>pa	#
DIGITS_BACK_CLIT	Qko|Qs	>ko>s	#
DIGITS_BACK_CLIT	Qpa	>pa	#
DIGITS_BACK_CLIT	Qpa|Qhan	>pa>han	#
DIGITS_BACK_CLIT	Qpa|Qkaan	>pa>kaan	#
DIGITS_BACK_CLIT	Qpa|Qkin	>pa>kin	#
DIGITS_BACK_CLIT	Qpa|Qko	>pa>ko	#
DIGITS_BACK_CLIT	Qpa|Qs	>pa>s	#
DIGITS_BACK_POSS_AN	O3	>an	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS_AN_OBL	0	0	DIGITS_BACK_POSS	DIGITS_BACK_POSS_AN
DIGITS_BACK_POSS_AN_OPT	0	0	DIGITS_BACK_POSS	DIGITS_BACK_POSS_AN	DIGITS_BACK_CLIT	#
DIGITS_BACK_POSS_EN	O3	>en	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS_EN_OBL	0	0	DIGITS_BACK_POSS	DIGITS_BACK_POSS_EN
DIGITS_BACK_POSS_EN_OPT	0	0	DIGITS_BACK_POSS	DIGITS_BACK_POSS_EN	DIGITS_BACK_CLIT	#
DIGITS_BACK_POSS	O3	>nsa	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS	Opl1	>mme	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS	Opl2	>nne	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS_OPT	0	0	DIGITS_BACK_POSS	DIGITS_BACK_CLIT	#
DIGITS_BACK_POSS	Osg1	>ni	DIGITS_BACK_CLIT_OPT
DIGITS_BACK_POSS	Osg2	>si	DIGITS_BACK_CLIT_OPT
DIGITS_COMPOUND	B←	-	#
DIGITS_COMPOUND	Bc	0-	NOUN	ADJECTIVE	SUFFIX
DIGITS_FRONT_CLIT_OPT	0	0	#	DIGITS_FRONT_CLIT
DIGITS_FRONT_CLIT	Qhan	>hän	#
DIGITS_FRONT_CLIT	Qhan|Qkaan	>hän>kään	#
DIGITS_FRONT_CLIT	Qhan|Qko	>hän>kö	#
DIGITS_FRONT_CLIT	Qhan|Qpa	>hän>pä	#
DIGITS_FRONT_CLIT	Qkaan	>kään	#
DIGITS_FRONT_CLIT	Qkaan|Qhan	>kään>hän	#
DIGITS_FRONT_CLIT	Qkaan|Qkin	>kään>kin	#
DIGITS_FRONT_CLIT	Qkaan|Qko	>kään>kö	#
DIGITS_FRONT_CLIT	Qkaan|Qpa	>kään>pä	#
DIGITS_FRONT_CLIT	Qkin	>kin	#
DIGITS_FRONT_CLIT	Qkin|Qhan	>kin>hän	#
DIGITS_FRONT_CLIT	Qkin|Qkaan	>kin>kään	#
DIGITS_FRONT_CLIT	Qkin|Qko	>kin>kö	#
DIGITS_FRONT_CLIT	Qkin|Qpa	>kin>pä	#
DIGITS_FRONT_CLIT	Qko	>kö	#
DIGITS_FRONT_CLIT	Qko|Qhan	>kö>hän	#
DIGITS_FRONT_CLIT	Qko|Qkaan	>kö>kään	#
DIGITS_FRONT_CLIT	Qko|Qkin	>kö>kin	#
DIGITS_FRONT_CLIT	Qko|Qpa	>kö>pä	#
DIGITS_FRONT_CLIT	Qko|Qs	>kö>s	#
DIGITS_FRONT_CLIT	Qpa	>pä	#
DIGITS_FRONT_CLIT	Qpa|Qhan	>pä>hän	#
DIGITS_FRONT_CLIT	Qpa|Qkaan	>pä>kään	#
DIGITS_FRONT_CLIT	Qpa|Qkin	>pä>kin	#
DIGITS_FRONT_CLIT	Qpa|Qko	>pä>kö	#
DIGITS_FRONT_CLIT	Qpa|Qs	>pä>s	#
DIGITS_FRONT_POSS_EN	O3	>en	DIGITS_FRONT_CLIT_OPT
