Incoming morph	analyses	stem part	continuations...	#<- HEADERS
DIGITS_ENSIMMÄINEN	0	.	#
DIGITS_ENSIMMÄINEN	Npl|Xabe	%:sittä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xabl	%:siltä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xade	%:sillä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xall	%:sille	DIGITS_FRONT_POSS_EN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xela	%:sistä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xess	%:sinä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xgen	%:sien	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xill	%:sii	DIGITS_FRONT_POSS
DIGITS_ENSIMMÄINEN	Npl|Xill	%:siin	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xine	%:sissä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xins	%:sin	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xnom	%:set	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Npl|Xpar	%:siä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Npl|Xtra	%:sikse	DIGITS_FRONT_POSS_ÄN_OBL
DIGITS_ENSIMMÄINEN	Npl|Xtra	%:siksi	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xabe	%:settä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xabl	%:seltä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xade	%:sellä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xall	%:selle	DIGITS_FRONT_POSS_EN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xela	%:sestä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xess	%:senä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xgen	%:sen	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xill	%:see	DIGITS_FRONT_POSS
DIGITS_ENSIMMÄINEN	Nsg|Xill	%:seen	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xine	%:sessä	DIGITS_FRONT_POSS_ÄN_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xnom	%:nen	DIGITS_FRONT_POSS_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xpar	%:stä	DIGITS_FRONT_POSS_OPT
DIGITS_ENSIMMÄINEN	Nsg|Xtra	%:sekse	DIGITS_FRONT_POSS_EN_OBL
DIGITS_ENSIMMÄINEN	Nsg|Xtra	%:seksi	DIGITS_FRONT_CLIT_OPT
DIGITS_ENSIMMÄINEN	Xcom	%:sine	DIGITS_FRONT_POSS_EN_OPT
DIGITS_KAHDEKSAN	0	0	DIGITS_COMPOUND
DIGITS_KAHDEKSAN	Npl|Xabe	%:itta	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xabl	%:ilta	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xade	%:illa	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xall	%:illa	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xela	%:issa	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xess	%:ina	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xgen	%:ien	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Npl|Xill	%:ii	DIGITS_BACK_POSS
DIGITS_KAHDEKSAN	Npl|Xill	%:iin	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Npl|Xine	%:issa	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xins	%:in	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Npl|Xnom	%:t	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Npl|Xpar	%:ia	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Npl|Xtra	%:ikse	DIGITS_BACK_POSS_EN_OBL
DIGITS_KAHDEKSAN	Npl|Xtra	%:iksi	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Nsg|Xabe	%:tta	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Nsg|Xabl	%:lta	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Nsg|Xade	%:lla	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Nsg|Xall	%:lle	DIGITS_BACK_POSS_EN_OPT
DIGITS_KAHDEKSAN	Nsg|Xela	%:sta	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Nsg|Xess	%:na	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Nsg|Xgen	%:n	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Nsg|Xill	%:aa	DIGITS_BACK_POSS
DIGITS_KAHDEKSAN	Nsg|Xill	%:aan	DIGITS_BACK_CLIT_OPT
DIGITS_KAHDEKSAN	Nsg|Xine	%:ssa	DIGITS_BACK_POSS_AN_OPT
DIGITS_KAHDEKSAN	Nsg|Xnom	%:	DIGITS_BACK_POSS	DIGITS_BACK_CLIT
DIGITS_KAHDEKSAN	Nsg|Xpar	%:aa	DIGITS_BACK_POSS_OPT
DIGITS_KAHDEKSAN	Nsg|Xtra	%:kse	DIGITS_BACK_POSS_EN_OBL
