Incoming morph	analyses	stem part	continuations...	#<- HEADERS
N_BACK_CLIT_OPT			#	N_BACK_CLIT
N_BACK_CLIT	Qhan	{MB}han	#
N_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
N_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
N_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
N_BACK_CLIT	Qkaan	{MB}kaan	#
N_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
N_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
N_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
N_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
N_BACK_CLIT	Qkin	{MB}kin	#
N_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
N_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
N_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
N_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
N_BACK_CLIT	Qko	{MB}ko	#
N_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
N_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
N_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
N_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
N_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
N_BACK_CLIT	Qpa	{MB}pa	#
N_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
N_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
N_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
N_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
N_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
N_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}de	N_BACK_POSS
N_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}den	N_BACK_CLIT_OPT
N_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}e	N_BACK_POSS
N_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}en	N_BACK_CLIT_OPT
N_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i	N_BACK_POSS
N_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i{MB}n	N_BACK_CLIT_OPT
N_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tte	N_BACK_POSS
N_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tten	N_BACK_CLIT_OPT
N_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}e	N_BACK_POSS
N_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}en	N_BACK_CLIT_OPT
N_BACK_GENITIVE_TEN	Npl|Xgen	{MB}te	N_BACK_POSS
N_BACK_GENITIVE_TEN	Npl|Xgen	{MB}ten	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_AN	Nsg|Xill	{MB}a	N_BACK_POSS
N_BACK_ILLATIVE_AN	Nsg|Xill	{MB}an	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_EN	Nsg|Xill	{MB}e	N_BACK_POSS
N_BACK_ILLATIVE_EN	Nsg|Xill	{MB}en	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}ha	N_BACK_POSS
N_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}han	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_HEN	Nsg|Xill	{MB}he	N_BACK_POSS
N_BACK_ILLATIVE_HEN	Nsg|Xill	{MB}hen	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_HIN	Nsg|Xill	{MB}hi	N_BACK_POSS
N_BACK_ILLATIVE_HIN	Nsg|Xill	{MB}hin	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_HON	Nsg|Xill	{MB}ho	N_BACK_POSS
N_BACK_ILLATIVE_HON	Nsg|Xill	{MB}hon	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hu	N_BACK_POSS
N_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hun	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hin	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hi	N_BACK_POSS
N_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}in	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}i	N_BACK_POSS
N_BACK_ILLATIVE_IN	Nsg|Xill	{MB}i	N_BACK_POSS
N_BACK_ILLATIVE_IN	Nsg|Xill	{MB}in	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}siin	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}sii	N_BACK_POSS
N_BACK_ILLATIVE_ON	Nsg|Xill	{MB}o	N_BACK_POSS
N_BACK_ILLATIVE_ON	Nsg|Xill	{MB}on	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}see	N_BACK_POSS
N_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}seen	N_BACK_CLIT_OPT
N_BACK_ILLATIVE_UN	Nsg|Xill	{MB}u	N_BACK_POSS
N_BACK_ILLATIVE_UN	Nsg|Xill	{MB}un	N_BACK_CLIT_OPT
N_BACK_NOMINATIVE	Nsg|Xnom		N_BACK_CLIT_OPT
N_BACK_PARTITIVE_A_AN	Nsg|Xpar	{MB}a	N_BACK_POSS_AN_OPT
N_BACK_PARTITIVE_A_NONSTD	Nsg|Xpar|Unonstd	{MB}a	N_BACK_POSS_OPT
N_BACK_PARTITIVE_A	Nsg|Xpar	{MB}a	N_BACK_POSS_OPT
N_BACK_PARTITIVE_IA	Npl|Xpar	{MB}i{MB}a	N_BACK_POSS_AN_OPT
N_BACK_PARTITIVE_ITA	Npl|Xpar	{MB}i{MB}ta	N_BACK_POSS_AN_OPT
N_BACK_PARTITIVE_JA	Npl|Xpar	{MB}j{MB}a	N_BACK_POSS_AN_OPT
N_BACK_PARTITIVE_TA	Nsg|Xpar	{MB}ta	N_BACK_POSS_AN_OPT
N_BACK_PARTITIVE_TA_ARCHAIC	Nsg|Xpar|Uarch	{MB}ta	N_BACK_POSS_AN_OPT
N_BACK_PLNOM_CLIT	Npl|Xnom	{MB}t	N_BACK_CLIT_OPT
N_BACK_PLNOM_POSS	Npl|Xnom		N_BACK_POSS
N_BACK_PLURALS			N_BACK_STRONG_PLURALS	N_BACK_WEAK_PLURALS
N_BACK_POSS_AN	O3	{MB}an	N_BACK_CLIT_OPT
N_BACK_POSS_AN_OPT			N_BACK_POSS	N_BACK_POSS_AN	N_BACK_CLIT	#
N_BACK_POSS_EN	O3	{MB}en	N_BACK_CLIT_OPT
N_BACK_POSS_EN_OBL			N_BACK_POSS	N_BACK_POSS_EN
N_BACK_POSS_EN_OPT			N_BACK_POSS	N_BACK_POSS_EN	N_BACK_CLIT	#
N_BACK_POSS	O3	{MB}nsa	N_BACK_CLIT_OPT
N_BACK_POSS	Opl1	{MB}mme	N_BACK_CLIT_OPT
N_BACK_POSS	Opl2	{MB}nne	N_BACK_CLIT_OPT
N_BACK_POSS_OPT			N_BACK_POSS	N_BACK_CLIT	#
N_BACK_POSS	Osg1	{MB}ni	N_BACK_CLIT_OPT
N_BACK_POSS	Osg2	{MB}si	N_BACK_CLIT_OPT
N_BACK_SINGULARS			N_BACK_STRONG_SINGULARS	N_BACK_WEAK_SINGULARS
N_BACK_STRONG_PLURALS	Npl|Xess	{MB}i{MB}na	N_BACK_POSS_AN_OPT
N_BACK_STRONG_PLURALS	Xcom	{MB}i{MB}ne	N_BACK_POSS_EN_OPT
N_BACK_STRONG_SINGULARS	Npl|Xnom		N_BACK_POSS
N_BACK_STRONG_SINGULARS	Nsg|Xess	{MB}na	N_BACK_POSS_AN_OPT
N_BACK_STRONG_SINGULARS	Nsg|Xgen		N_BACK_POSS
N_BACK_STRONG_SINGULARS	Nsg|Xnom		N_BACK_POSS
N_BACK_WEAK_PLURALS	Npl|Xabe	{MB}i{MB}tta	N_BACK_POSS_AN_OPT
