Incoming morph	analyses	stem part	continuations...	#<- HEADERS
NUM_BACK_CLIT_OPT			#	NUM_BACK_CLIT	NUM_COMPOUND
NUM_BACK_CLIT	Qhan	{MB}han	#
NUM_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
NUM_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
NUM_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
NUM_BACK_CLIT	Qkaan	{MB}kaan	#
NUM_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
NUM_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
NUM_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
NUM_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
NUM_BACK_CLIT	Qkin	{MB}kin	#
NUM_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
NUM_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
NUM_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
NUM_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
NUM_BACK_CLIT	Qko	{MB}ko	#
NUM_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
NUM_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
NUM_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
NUM_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
NUM_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
NUM_BACK_CLIT	Qpa	{MB}pa	#
NUM_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
NUM_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
NUM_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
NUM_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
NUM_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
NUM_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}en	NUM_BACK_CLIT_OPT
NUM_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}e	NUM_BACK_POSS
NUM_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i{MB}n	NUM_BACK_CLIT_OPT
NUM_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i	NUM_BACK_POSS
NUM_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}en	NUM_BACK_CLIT_OPT
NUM_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}e	NUM_BACK_POSS
NUM_BACK_GENITIVE_TEN	Npl|Xgen	{MB}ten	NUM_BACK_CLIT_OPT
NUM_BACK_GENITIVE_TEN	Npl|Xgen	{MB}te	NUM_BACK_POSS
NUM_BACK_ILLATIVE_AN	Nsg|Xill	{MB}an	NUM_BACK_CLIT_OPT
NUM_BACK_ILLATIVE_AN	Nsg|Xill	{MB}a	NUM_BACK_POSS
NUM_BACK_ILLATIVE_EN	Nsg|Xill	{MB}en	NUM_BACK_CLIT_OPT
NUM_BACK_ILLATIVE_EN	Nsg|Xill	{MB}e	NUM_BACK_POSS
NUM_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hin	NUM_BACK_CLIT_OPT
NUM_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hi	NUM_BACK_POSS
NUM_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}in	NUM_BACK_CLIT_OPT
NUM_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}i	NUM_BACK_POSS
NUM_BACK_ILLATIVE_IN	Nsg|Xill	{MB}in	NUM_BACK_CLIT_OPT
NUM_BACK_ILLATIVE_IN	Nsg|Xill	{MB}i	NUM_BACK_POSS
NUM_BACK_NOMINATIVE	Nsg|Xnom		NUM_BACK_CLIT_OPT
NUM_BACK_PARTITIVE_A_AN	Nsg|Xpar	{MB}a	NUM_BACK_POSS_AN_OPT
NUM_BACK_PARTITIVE_A	Nsg|Xpar	{MB}a	NUM_BACK_POSS_OPT
NUM_BACK_PARTITIVE_IA	Npl|Xpar	{MB}i{MB}a	NUM_BACK_POSS_AN_OPT
NUM_BACK_PARTITIVE_JA	Npl|Xpar	{MB}j{MB}a	NUM_BACK_POSS_AN_OPT
NUM_BACK_PARTITIVE_TA	Nsg|Xpar	{MB}ta	NUM_BACK_POSS_AN_OPT
NUM_BACK_PLNOM_CLIT	Npl|Xnom	{MB}t	NUM_BACK_CLIT_OPT
NUM_BACK_PLURALS			NUM_BACK_STRONG_PLURALS	NUM_BACK_WEAK_PLURALS
NUM_BACK_POSS_AN	O3	{MB}an	NUM_BACK_CLIT_OPT
NUM_BACK_POSS_AN_OPT			NUM_BACK_POSS	NUM_BACK_POSS_AN	NUM_BACK_CLIT	NUM_COMPOUND	#
NUM_BACK_POSS_EN	O3	{MB}en	NUM_BACK_CLIT_OPT
NUM_BACK_POSS_EN_OBL			NUM_BACK_POSS	NUM_BACK_POSS_EN
NUM_BACK_POSS_EN_OPT			NUM_BACK_POSS	NUM_BACK_POSS_EN	NUM_BACK_CLIT	NUM_COMPOUND	#
NUM_BACK_POSS	O3	{MB}nsa	NUM_BACK_CLIT_OPT
NUM_BACK_POSS	Opl1	{MB}mme	NUM_BACK_CLIT_OPT
NUM_BACK_POSS	Opl2	{MB}nne	NUM_BACK_CLIT_OPT
NUM_BACK_POSS_OPT			NUM_BACK_POSS	NUM_BACK_CLIT	NUM_COMPOUND	#
NUM_BACK_POSS	Osg1	{MB}ni	NUM_BACK_CLIT_OPT
NUM_BACK_POSS	Osg2	{MB}si	NUM_BACK_CLIT_OPT
NUM_BACK_SINGULARS			NUM_BACK_STRONG_SINGULARS	NUM_BACK_WEAK_SINGULARS
NUM_BACK_STRONG_PLURALS	Npl|Xess	{MB}i{MB}na	NUM_BACK_POSS_AN_OPT
NUM_BACK_STRONG_PLURALS	Xcom	{MB}i{MB}ne	NUM_BACK_POSS_AN_OPT
