Incoming morph	analyses	stem part	continuations...	#<- HEADERS
PCLE_BACK_CLIT_KA	Qka	{MB}ka	#
PCLE_BACK_CLIT_KA_S	Qka	{MB}ka	#
PCLE_BACK_CLIT_KA_S	Qka|Qhan	{MB}ka{MB}han	#
PCLE_BACK_CLIT_KA_S	Qka|Qpa	{MB}kapa	#
PCLE_BACK_CLIT_KA_S	Qka|Qpa|Qhan	{MB}ka{MB}pa{MB}han	#
PCLE_BACK_CLIT_KA_S	Qka|Qpa|Qs	{MB}ka{MB}pa{MB}s	#
PCLE_BACK_CLIT_KA_S	Qka|Qs	{MB}ka{MB}s	#
PCLE_BACK_CLIT_KA_S	Qs	{MB}s	#
PCLE_BACK_CLIT_KO	Qko	{MB}ko	#
PCLE_BACK_CLIT_KO	Qko|Qhan	{MB}ko{MB}han	#
PCLE_BACK_CLIT_KO	Qko|Qs	{MB}ko{MB}s	#
PCLE_BACK_CLIT_OPT			#	PCLE_BACK_CLIT
PCLE_BACK_CLIT	Qhan	{MB}han	#
PCLE_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
PCLE_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
PCLE_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
PCLE_BACK_CLIT	Qkaan	{MB}kaan	#
PCLE_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
PCLE_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
PCLE_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
PCLE_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
PCLE_BACK_CLIT	Qkin	{MB}kin	#
PCLE_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
PCLE_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
PCLE_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
PCLE_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
PCLE_BACK_CLIT	Qko	{MB}ko	#
PCLE_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
PCLE_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
PCLE_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
PCLE_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
PCLE_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
PCLE_BACK_CLIT	Qpa	{MB}pa	#
PCLE_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
PCLE_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
PCLE_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
PCLE_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
PCLE_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
PCLE_BACK_POSS_AN	O3	{MB}an	PCLE_BACK_CLIT_OPT
PCLE_BACK_POSS_AN_OBL			PCLE_BACK_POSS	PCLE_BACK_POSS_AN
PCLE_BACK_POSS_AN_OPT			PCLE_BACK_POSS	PCLE_BACK_POSS_AN	PCLE_BACK_CLIT	#
PCLE_BACK_POSS_EN	O3	{MB}en	PCLE_BACK_CLIT_OPT
PCLE_BACK_POSS_EN_OBL			PCLE_BACK_POSS	PCLE_BACK_POSS_EN
PCLE_BACK_POSS_EN_OPT			PCLE_BACK_POSS	PCLE_BACK_POSS_EN	PCLE_BACK_CLIT	#
#PCLE_BACK_POSS_OPT			PCLE_BACK_POSS	PCLE_BACK_CLIT	#
PCLE_BACK_POSS	O3	{MB}nsa	PCLE_BACK_CLIT_OPT
PCLE_BACK_POSS	Opl1	{MB}mme	PCLE_BACK_CLIT_OPT
PCLE_BACK_POSS	Opl2	{MB}nne	PCLE_BACK_CLIT_OPT
PCLE_BACK_POSS	Osg1	{MB}ni	PCLE_BACK_CLIT_OPT
PCLE_BACK_POSS	Osg2	{MB}si	PCLE_BACK_CLIT_OPT
PCLE_COMPOUND_INTERJ	Bc		INTERJECTION
PCLE_COMPOUND_INTERJ	Bc	-	INTERJECTION
PCLE_FRONT_CLIT_KA_S	Qka	{MB}kä	#
PCLE_FRONT_CLIT_KA_S	Qka|Qhan	{MB}kä{MB}hän	#
PCLE_FRONT_CLIT_KA_S	Qka|Qpa	{MB}kä{MB}pä	#
PCLE_FRONT_CLIT_KA_S	Qka|Qpa|Qhan	{MB}kä{MB}pä{MB}hän	#
PCLE_FRONT_CLIT_KA_S	Qka|Qpa|Qs	{MB}kä{MB}pä{MB}s	#
PCLE_FRONT_CLIT_KA_S	Qka|Qs	{MB}kä{MB}s	#
PCLE_FRONT_CLIT_KA_S	Qs	{MB}s	#
PCLE_FRONT_CLIT_OPT			#	PCLE_FRONT_CLIT
PCLE_FRONT_CLIT	Qhan	{MB}hän	#
PCLE_FRONT_CLIT	Qhan|Qkaan	{MB}hän{MB}kään	#
PCLE_FRONT_CLIT	Qhan|Qko	{MB}hän{MB}kö	#
PCLE_FRONT_CLIT	Qhan|Qpa	{MB}hän{MB}pä	#
PCLE_FRONT_CLIT	Qkaan	{MB}kään	#
PCLE_FRONT_CLIT	Qkaan|Qhan	{MB}kään{MB}hän	#
PCLE_FRONT_CLIT	Qkaan|Qkin	{MB}kään{MB}kin	#
PCLE_FRONT_CLIT	Qkaan|Qko	{MB}kään{MB}kö	#
PCLE_FRONT_CLIT	Qkaan|Qpa	{MB}kään{MB}pä	#
PCLE_FRONT_CLIT	Qkin	{MB}kin	#
PCLE_FRONT_CLIT	Qkin|Qhan	{MB}kin{MB}hän	#
PCLE_FRONT_CLIT	Qkin|Qkaan	{MB}kin{MB}kään	#
PCLE_FRONT_CLIT	Qkin|Qko	{MB}kin{MB}kö	#
PCLE_FRONT_CLIT	Qkin|Qpa	{MB}kin{MB}pä	#
PCLE_FRONT_CLIT	Qko	{MB}kö	#
PCLE_FRONT_CLIT	Qko|Qhan	{MB}kö{MB}hän	#
PCLE_FRONT_CLIT	Qko|Qkaan	{MB}kö{MB}kään	#
PCLE_FRONT_CLIT	Qko|Qkin	{MB}kö{MB}kin	#
PCLE_FRONT_CLIT	Qko|Qpa	{MB}kö{MB}pä	#
PCLE_FRONT_CLIT	Qko|Qs	{MB}kö{MB}s	#
PCLE_FRONT_CLIT	Qpa	{MB}pä	#
PCLE_FRONT_CLIT	Qpa|Qhan	{MB}pä{MB}hän	#
PCLE_FRONT_CLIT	Qpa|Qkaan	{MB}pä{MB}kään	#
PCLE_FRONT_CLIT	Qpa|Qkin	{MB}pä{MB}kin	#
PCLE_FRONT_CLIT	Qpa|Qko	{MB}pä{MB}kö	#
PCLE_FRONT_CLIT	Qpa|Qs	{MB}pä{MB}s	#
PCLE_FRONT_POSS_EN	O3	{MB}en	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS_EN_OBL			PCLE_FRONT_POSS	PCLE_FRONT_POSS_EN
PCLE_FRONT_POSS_EN_OPT			PCLE_FRONT_POSS	PCLE_FRONT_POSS_EN	PCLE_FRONT_CLIT	#
PCLE_FRONT_POSS	O3	{MB}nsä	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS	Opl1	{MB}mme	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS	Opl2	{MB}nne	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS	Osg1	{MB}ni	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS	Osg2	{MB}si	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS_OPT			PCLE_FRONT_POSS	PCLE_FRONT_CLIT	#
PCLE_FRONT_POSS_ÄN	O3	{MB}än	PCLE_FRONT_CLIT_OPT
PCLE_FRONT_POSS_ÄN_OBL			PCLE_FRONT_POSS	PCLE_FRONT_POSS_ÄN
PCLE_FRONT_POSS_ÄN_OPT			PCLE_FRONT_POSS	PCLE_FRONT_POSS_ÄN	PCLE_FRONT_CLIT	#
