Incoming morph	analyses	stem part	continuations...	#<- HEADERS
PRON_BACK_ACCUSATIVE_T	Nsg|Xacc	{MB}t	PRON_BACK_CLIT_OPT
PRON_BACK_CLIT_OPT			#	PRON_BACK_CLIT
PRON_BACK_CLIT_OPT_KA_S			#	PRON_BACK_CLIT	PRON_BACK_CLIT_S	PRON_BACK_CLIT_KA
PRON_BACK_CLIT_OPT_S			#	PRON_BACK_CLIT	PRON_BACK_CLIT_S
PRON_BACK_CLIT	Qhan	{MB}han	#
PRON_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
PRON_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
PRON_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
PRON_BACK_CLIT	Qkaan	{MB}kaan	#
PRON_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
PRON_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
PRON_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
PRON_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
PRON_BACK_CLIT	Qkin	{MB}kin	#
PRON_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
PRON_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
PRON_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
PRON_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
PRON_BACK_CLIT	Qko	{MB}ko	#
PRON_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
PRON_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
PRON_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
PRON_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
PRON_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
PRON_BACK_CLIT	Qpa	{MB}pa	#
PRON_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
PRON_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
PRON_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
PRON_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
PRON_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
PRON_BACK_CLIT_KA	Qka	{MB}ka	#	PRON_BACK_CLIT_S
PRON_BACK_CLIT_S	Qs	{MB}s	#
PRON_BACK_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}den	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_IDEN_OPTPOSS	Npl|Xgen	{MB}i{MB}den	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_IDEN_OPTPOSS	Npl|Xgen	{MB}i{MB}de	PRON_BACK_POSS
PRON_BACK_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_IEN_OPTPOSS	Npl|Xgen	{MB}i{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_IEN_OPTPOSS	Npl|Xgen	{MB}i{MB}e	PRON_BACK_POSS
PRON_BACK_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i{MB}n	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_IN_OPTPOSS	Npl|Xgen|Uarch	{MB}i{MB}n	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_IN_OPTPOSS	Npl|Xgen|Uarch	{MB}i	PRON_BACK_POSS
PRON_BACK_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tten	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_ITTEN_OPTPOSS	Npl|Xgen	{MB}i{MB}tten	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_ITTEN_OPTPOSS	Npl|Xgen	{MB}i{MB}tte	PRON_BACK_POSS
PRON_BACK_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_JEN_OPTPOSS	Npl|Xgen	{MB}j{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_JEN_OPTPOSS	Npl|Xgen	{MB}j{MB}e	PRON_BACK_POSS
PRON_BACK_GENITIVE_N	Nsg|Xgen	{MB}n	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_TEN	Npl|Xgen	{MB}ten	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_TEN_OPTPOSS	Npl|Xgen	{MB}ten	PRON_BACK_CLIT_OPT
PRON_BACK_GENITIVE_TEN_OPTPOSS	Npl|Xgen	{MB}te	PRON_BACK_POSS
PRON_BACK_ILLATIVE_AN	Nsg|Xill	{MB}an	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_AN_OPTPOSS	Nsg|Xill	{MB}an	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_AN_OPTPOSS	Nsg|Xill	{MB}a	PRON_BACK_POSS
PRON_BACK_ILLATIVE_EN	Nsg|Xill	{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_EN_OPTPOSS	Nsg|Xill	{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_EN_OPTPOSS	Nsg|Xill	{MB}e	PRON_BACK_POSS
PRON_BACK_ILLATIVE_HAN	Nsg|Xill	{MB}han	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HAN_OPTPOSS	Nsg|Xill	{MB}han	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HAN_OPTPOSS	Nsg|Xill	{MB}ha	PRON_BACK_POSS
PRON_BACK_ILLATIVE_HEN	Nsg|Xill	{MB}hen	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HEN_OPTPOSS	Nsg|Xill	{MB}hen	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HEN_OPTPOSS	Nsg|Xill	{MB}he	PRON_BACK_POSS
PRON_BACK_ILLATIVE_HIN	Nsg|Xill	{MB}hin	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HIN_OPTPOSS	Nsg|Xill	{MB}hin	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HIN_OPTPOSS	Nsg|Xill	{MB}hi	PRON_BACK_POSS
PRON_BACK_ILLATIVE_HON	Nsg|Xill	{MB}hon	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HON_OPTPOSS	Nsg|Xill	{MB}hon	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HON_OPTPOSS	Nsg|Xill	{MB}ho	PRON_BACK_POSS
PRON_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hun	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HUN_OPTPOSS	Nsg|Xill	{MB}hun	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HUN_OPTPOSS	Nsg|Xill	{MB}hu	PRON_BACK_POSS
PRON_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hin	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IHIN_OPTPOSS	Npl|Xill	{MB}i{MB}hin	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IHIN_OPTPOSS	Npl|Xill	{MB}i{MB}hi	PRON_BACK_POSS
PRON_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IIN_OPTPOSS	Npl|Xill	{MB}i{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IIN_OPTPOSS	Npl|Xill	{MB}i{MB}i	PRON_BACK_POSS
PRON_BACK_ILLATIVE_IN	Nsg|Xill	{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IN_OPTPOSS	Nsg|Xill	{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IN_OPTPOSS	Nsg|Xill	{MB}i	PRON_BACK_POSS
PRON_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}siin	PRON_FRONT_CLIT_OPT
PRON_BACK_ILLATIVE_ISIIN_OPTPOSS	Npl|Xill	{MB}i{MB}siin	PRON_FRONT_CLIT_OPT
PRON_BACK_ILLATIVE_ISIIN_OPTPOSS	Npl|Xill	{MB}i{MB}sii	PRON_BACK_POSS
PRON_BACK_ILLATIVE_ON	Nsg|Xill	{MB}on	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_ON_OPTPOSS	Nsg|Xill	{MB}on	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_ON_OPTPOSS	Nsg|Xill	{MB}o	PRON_BACK_POSS
PRON_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}seen	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_SEEN_OPTPOSS	Nsg|Xill	{MB}seen	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_SEEN_OPTPOSS	Nsg|Xill	{MB}see	PRON_BACK_POSS
PRON_BACK_ILLATIVE_UN	Nsg|Xill	{MB}un	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_UN_OPTPOSS	Nsg|Xill	{MB}un	PRON_BACK_CLIT_OPT
