Incoming morph	analyses	stem part	continuations...	#<- HEADERS
#SYMBOL_BACK_CLIT_OPT			#	SYMBOL_BACK_CLIT
#SYMBOL_BACK_CLIT	Qhan	{MB}han	#
#SYMBOL_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
#SYMBOL_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
#SYMBOL_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
#SYMBOL_BACK_CLIT	Qkaan	{MB}kaan	#
#SYMBOL_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
#SYMBOL_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
#SYMBOL_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
#SYMBOL_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
#SYMBOL_BACK_CLIT	Qkin	{MB}kin	#
#SYMBOL_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
#SYMBOL_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
#SYMBOL_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
#SYMBOL_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
#SYMBOL_BACK_CLIT	Qko	{MB}ko	#
#SYMBOL_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
#SYMBOL_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
#SYMBOL_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
#SYMBOL_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
#SYMBOL_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
#SYMBOL_BACK_CLIT	Qpa	{MB}pa	#
#SYMBOL_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
#SYMBOL_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
#SYMBOL_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
#SYMBOL_BACK_CLIT	Qpa|Qko	{MB}pa{MB}ko	#
#SYMBOL_BACK_CLIT	Qpa|Qs	{MB}pa{MB}s	#
#SYMBOL_BACK_POSS_AN	O3	{MB}an	SYMBOL_BACK_CLIT_OPT
#SYMBOL_BACK_POSS_AN_OPT			SYMBOL_BACK_POSS	SYMBOL_BACK_POSS_AN	SYMBOL_BACK_CLIT	#
#SYMBOL_BACK_POSS_CLIT_OPT			SYMBOL_BACK_POSS	SYMBOL_BACK_CLIT	#
#SYMBOL_BACK_POSS_EN	O3	{MB}en	SYMBOL_BACK_CLIT_OPT
#SYMBOL_BACK_POSS_EN_OBL			SYMBOL_BACK_POSS	SYMBOL_BACK_POSS_EN
#SYMBOL_BACK_POSS_EN_OPT			SYMBOL_BACK_POSS	SYMBOL_BACK_POSS_EN	SYMBOL_BACK_CLIT	#
#SYMBOL_BACK_POSS	O3	{MB}nsa	SYMBOL_BACK_CLIT_OPT
#SYMBOL_BACK_POSS	Opl1	{MB}mme	SYMBOL_BACK_CLIT_OPT
#SYMBOL_BACK_POSS	Opl2	{MB}nne	SYMBOL_BACK_CLIT_OPT
#SYMBOL_BACK_POSS	Osg1	{MB}ni	SYMBOL_BACK_CLIT_OPT
#SYMBOL_BACK_POSS	Osg2	{MB}si	SYMBOL_BACK_CLIT_OPT
SYMBOL_COMPOUND	B←	-	#
SYMBOL_COMPOUND	Bc	-	NOUN	ADJECTIVE	SUFFIX
SYMBOL_FRONT_CLIT_OPT			#	SYMBOL_FRONT_CLIT
SYMBOL_FRONT_CLIT	Qhan	{MB}hän	#
SYMBOL_FRONT_CLIT	Qhan|Qkaan	{MB}hän{MB}kään	#
SYMBOL_FRONT_CLIT	Qhan|Qko	{MB}hän{MB}kö	#
SYMBOL_FRONT_CLIT	Qhan|Qpa	{MB}hän{MB}pä	#
SYMBOL_FRONT_CLIT	Qkaan	{MB}kään	#
SYMBOL_FRONT_CLIT	Qkaan|Qhan	{MB}kään{MB}hän	#
SYMBOL_FRONT_CLIT	Qkaan|Qkin	{MB}kään{MB}kin	#
SYMBOL_FRONT_CLIT	Qkaan|Qko	{MB}kään{MB}kö	#
SYMBOL_FRONT_CLIT	Qkaan|Qpa	{MB}kään{MB}pä	#
SYMBOL_FRONT_CLIT	Qkin	{MB}kin	#
SYMBOL_FRONT_CLIT	Qkin|Qhan	{MB}kin{MB}hän	#
SYMBOL_FRONT_CLIT	Qkin|Qkaan	{MB}kin{MB}kään	#
SYMBOL_FRONT_CLIT	Qkin|Qko	{MB}kin{MB}kö	#
SYMBOL_FRONT_CLIT	Qkin|Qpa	{MB}kin{MB}pä	#
SYMBOL_FRONT_CLIT	Qko	{MB}kö	#
SYMBOL_FRONT_CLIT	Qko|Qhan	{MB}kö{MB}hän	#
SYMBOL_FRONT_CLIT	Qko|Qkaan	{MB}kö{MB}kään	#
SYMBOL_FRONT_CLIT	Qko|Qkin	{MB}kö{MB}kin	#
SYMBOL_FRONT_CLIT	Qko|Qpa	{MB}kö{MB}pä	#
SYMBOL_FRONT_CLIT	Qko|Qs	{MB}kö{MB}s	#
SYMBOL_FRONT_CLIT	Qpa	{MB}pä	#
SYMBOL_FRONT_CLIT	Qpa|Qhan	{MB}pä{MB}hän	#
SYMBOL_FRONT_CLIT	Qpa|Qkaan	{MB}pä{MB}kään	#
SYMBOL_FRONT_CLIT	Qpa|Qkin	{MB}pä{MB}kin	#
SYMBOL_FRONT_CLIT	Qpa|Qko	{MB}pä{MB}kö	#
SYMBOL_FRONT_CLIT	Qpa|Qs	{MB}pä{MB}s	#
SYMBOL_FRONT_POSS_CLIT_OPT			SYMBOL_FRONT_POSS	SYMBOL_FRONT_CLIT	#
SYMBOL_FRONT_POSS_EN	O3	{MB}en	SYMBOL_FRONT_CLIT_OPT
SYMBOL_FRONT_POSS_EN_OBL			SYMBOL_FRONT_POSS	SYMBOL_FRONT_POSS_EN
SYMBOL_FRONT_POSS_EN_OPT			SYMBOL_FRONT_POSS	SYMBOL_FRONT_POSS_EN	SYMBOL_FRONT_CLIT	#
SYMBOL_FRONT_POSS	O3	{MB}nsä	SYMBOL_FRONT_CLIT_OPT
SYMBOL_FRONT_POSS	Opl1	{MB}mme	SYMBOL_FRONT_CLIT_OPT
SYMBOL_FRONT_POSS	Opl2	{MB}nne	SYMBOL_FRONT_CLIT_OPT
SYMBOL_FRONT_POSS	Osg1	{MB}ni	SYMBOL_FRONT_CLIT_OPT
SYMBOL_FRONT_POSS	Osg2	{MB}si	SYMBOL_FRONT_CLIT_OPT
SYMBOL_FRONT_POSS_ÄN	O3	{MB}än	SYMBOL_FRONT_CLIT_OPT
