# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
N_BACK_DERIV_JA	Dja	{DB}j	N_MAKKARA
N_BACK_DERIV_VAINEN	Dva|Dinen	{DB}vai	N_AAKKOSTAMINEN
N_FRONT_DERIV_JÄ	Dja	{DB}j	N_HÄKKYRÄ
N_FRONT_DERIV_VUUS	Dva|Duus	{DB}vyy	N_KÖYHYYS
N_FRONT_DERIV_VÄINEN	Dva|Dinen	{DB}väi	N_KYLKIÄINEN
V_BACK_3SG_A_PI	Vact|Tpres|Psg3	{MB}a	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_A	Vact|Tpres|Psg3	{MB}a	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_A			V_BACK_3SG_VI_ARCH
V_BACK_3SG_E	Vact|Tpres|Psg3	{MB}e	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_E			V_BACK_3SG_VI_ARCH
V_BACK_3SG_I	Vact|Tpres|Psg3	{MB}i	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_I			V_BACK_3SG_VI_ARCH
V_BACK_3SG_O_PI	Vact|Tpres|Psg3	{MB}o	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_O	Vact|Tpres|Psg3	{MB}o	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_O			V_BACK_3SG_VI_ARCH
V_BACK_3SG_U	Vact|Tpres|Psg3	{MB}u	V_BACK_3SG_PI_DIAL	V_BACK_CLIT_OPT
V_BACK_3SG_U			V_BACK_3SG_VI_ARCH
V_BACK_3SG_PI_DIAL	Udial	pi	V_BACK_CLIT_OPT
V_BACK_3SG_VI_ARCH	Vact|Tpres|Psg3|Uarch	{MB}vi	V_BACK_CLIT_OPT
V_BACK_AINF	Vact|Ia|Xlat	{MB}a	V_BACK_CLIT_OPT
V_BACK_AINF	Vact|Ia|Xtra	{MB}a{MB}kse	V_BACK_POSS_EN_OBL
V_BACK_CLIT_KIN_KAAN_OPT	Qkaan	{MB}kaan	#
V_BACK_CLIT_KIN_KAAN_OPT	Qkin	{MB}kin	#
V_BACK_CLIT_KIN_KAAN_OPT			#
V_BACK_CLIT_OPT			V_BACK_CLIT	#
V_BACK_CLIT	Qhan	{MB}han	#
V_BACK_CLIT	Qhan|Qkaan	{MB}han{MB}kaan	#
V_BACK_CLIT	Qhan|Qko	{MB}han{MB}ko	#
V_BACK_CLIT	Qhan|Qpa	{MB}han{MB}pa	#
V_BACK_CLIT	Qkaan	{MB}kaan	#
V_BACK_CLIT	Qkaan|Qhan	{MB}kaan{MB}han	#
V_BACK_CLIT	Qkaan|Qkin	{MB}kaan{MB}kin	#
V_BACK_CLIT	Qkaan|Qko	{MB}kaan{MB}ko	#
V_BACK_CLIT	Qkaan|Qpa	{MB}kaan{MB}pa	#
V_BACK_CLIT	Qkin	{MB}kin	#
V_BACK_CLIT	Qkin|Qhan	{MB}kin{MB}han	#
V_BACK_CLIT	Qkin|Qkaan	{MB}kin{MB}kaan	#
V_BACK_CLIT	Qkin|Qko	{MB}kin{MB}ko	#
V_BACK_CLIT	Qkin|Qpa	{MB}kin{MB}pa	#
V_BACK_CLIT	Qko	{MB}ko	#
V_BACK_CLIT	Qko|Qhan	{MB}ko{MB}han	#
V_BACK_CLIT	Qko|Qkaan	{MB}ko{MB}kaan	#
V_BACK_CLIT	Qko|Qkin	{MB}ko{MB}kin	#
V_BACK_CLIT	Qko|Qpa	{MB}ko{MB}pa	#
V_BACK_CLIT	Qko|Qs	{MB}ko{MB}s	#
V_BACK_CLIT	Qko|Udial	{MB}ks	#
V_BACK_CLIT	Qpa	{MB}pa	#
V_BACK_CLIT	Qpa|Qhan	{MB}pa{MB}han	#
V_BACK_CLIT	Qpa|Qkaan	{MB}pa{MB}kaan	#
V_BACK_CLIT	Qpa|Qkin	{MB}pa{MB}kin	#
