lemma	homonym	new_para	origin
15/30 Research	PROPN	PROPN_PUNK	finer
207 Media	PROPN	PROPN_KITARA	finer
20th Century Fox	PROPN	PROPN_PUNK	finer
3 Step IT	PROPN	PROPN_ACRO_EE	finer
3G Capital	PROPN	PROPN_PUNK	finer
3Ring Media	PROPN	PROPN_KITARA	finer
55 Burger	PROPN	PROPN_STADION	finer
A Carton	PROPN	PROPN_PUNK	finer
A Rocha	PROPN	PROPN_VOIMA	finer
A. E. Järvisen Aihkikko	PROPN	PROPN_LEPAKKO	finer
A. Le Coq	PROPN	PROPN_PUNK	finer
AAC Technologies	PROPN	PROPN_PUNK	finer
ABC Studios	PROPN	PROPN_PUNK	finer
ABI Research	PROPN	PROPN_PUNK	finer
ABN AMRO	PROPN	PROPN_ACRO_OO	finer
AC Milan	PROPN	PROPN_STADION	finer
AC Oulu	PROPN	PROPN_ASU	finer
AES Corporation	PROPN	PROPN_STADION	finer
AF Telecom	PROPN	PROPN_PUNK	finer
AJ Rahastoyhtiö	PROPN	PROPN_HÄIRIÖ	finer
ALD Automotive	PROPN	PROPN_NALLE	finer
AM General	PROPN	PROPN_PUNK	finer
AMC Entertaiment	PROPN	PROPN_PUNK	finer
AMC Motors	PROPN	PROPN_PUNK	finer
ANA Trollhättan	PROPN	PROPN_STADION	finer
ANZ National Bank	PROPN	PROPN_PUNK	finer
ATAbax Investment Management	PROPN	PROPN_PUNK	finer
AU Optronics	PROPN	PROPN_PUNK	finer
Aali shahr	PROPN	PROPN_PUNK	finer
Aapo-vainaan koski	PROPN	PROPN_ONNI	finer
Aapon Juntin palo	PROPN	PROPN_TALO	finer
Aapon Kallan jänkkä	PROPN	PROPN_HÖLKKÄ	finer
Aapon Kortejänkkä	PROPN	PROPN_HÖLKKÄ	finer
Aapramin Marjan kari	PROPN	PROPN_RUUVI	finer
Aarnikotkan metsän luonnonsuojelualue	PROPN	PROPN_ASTE	finer
Aaron polku	PROPN	PROPN_ALKU	finer
Aaronin sauva	NOUN	NOUN_KIRJA	fiwikt
Aaronin siunaus	NOUN	NOUN_VAKUUTUS	fiwikt
Aasikaisen Paloselkä	PROPN	PROPN_NÄLKÄ	finer
Aatamin ja Eevan kivet	PROPN	PROPN_RIPSET	finer
Aavan Viitamaa	PROPN	PROPN_MAA	finer
Aavasaksan Urheilijat	PROPN	PROPN_MARKKINAT	finer
Abanka Vipa	PROPN	PROPN_KIRJA	finer
Abbot Laboratories	PROPN	PROPN_PUNK	finer
Abelin ryhmä	NOUN	NOUN_HÖPÖTTÄJÄ	enwikt
Abercrombie & Fitch	PROPN	PROPN_ZEN	finer
Aberdeen Property Investors	PROPN	PROPN_PUNK	finer
Abraq Hitan	PROPN	PROPN_PUNK	finer
Abu Dhabi National Oil Company	PROPN	PROPN_KÄRRY	finer
Abu Dhabi	PROPN	PROPN_RUUVI	finer
Acacia Research Corporation	PROPN	PROPN_STADION	finer
Academia Latinitati Fovendae	PROPN	PROPN_NALLE	finer
Accel Partners	PROPN	PROPN_PUNK	finer
Accent Equity Partners	PROPN	PROPN_PUNK	finer
Ackermannin funktio	NOUN	NOUN_TUOMIO	enwikt
Action Economics	PROPN	PROPN_PUNK	finer
Activision Blizzard	PROPN	PROPN_PUNK	finer
Acton Vale	PROPN	PROPN_NALLE	finer
Adam Opel	PROPN	PROPN_STADION	finer
Addax Petroleum	PROPN	PROPN_PUNK	finer
Addi Ugri	PROPN	PROPN_BRASSERIE	finer
Addis Abeba	PROPN	PROPN_KIRJA	finer|enwikt
Adecco Finland	PROPN	PROPN_PUNK	finer
Adelante Asset Management	PROPN	PROPN_PUNK	finer
Ado Ekiti	PROPN	PROPN_TYYLI	finer
Adobe Systems	PROPN	PROPN_ZEN	finer
Adolfin kammi	PROPN	PROPN_RUUVI	finer
Adria Media Holding	PROPN	PROPN_PUNK	finer
Adria Media Serbia	PROPN	PROPN_MAKKARA	finer
Adria Media Zagreb	PROPN	PROPN_PUNK	finer
Aegean Airlines	PROPN	PROPN_PUNK	finer
Aer Lingus	PROPN	PROPN_FRANCIS	finer
AerCap Holdings	PROPN	PROPN_PUNK	finer
Aero Design Finland	PROPN	PROPN_PUNK	finer
Aeroports de Paris	PROPN	PROPN_PUNK	finer
Afrikan unioni	PROPN	PROPN_KANAALI	finer
Afrikan yhtenäisyysjärjestö	PROPN	PROPN_JÄÄTELÖ	finer
Again Capital	PROPN	PROPN_PUNK	finer
Agia Marina	PROPN	PROPN_KIRJA	finer
Agio Oros	PROPN	PROPN_PUNK	finer
Agioi Apostoloi	PROPN	PROPN_HAI	finer
Agioi Theodoroi	PROPN	PROPN_HAI	finer
Agios Charalampos	PROPN	PROPN_PUNK	finer
Agios Efstratios	PROPN	PROPN_FRANCIS	finer
Agios Kirykos	PROPN	PROPN_FRANCIS	finer
Agios Loukas	PROPN	PROPN_PUNK	finer
Agios Matthaios	PROPN	PROPN_PUNK	finer
Agios Myron	PROPN	PROPN_PUNK	finer
Agios Nikolaos	PROPN	PROPN_FRANCIS	finer
Agios Vasileios	PROPN	PROPN_FRANCIS	finer
Agnico-Eagle Mines	PROPN	PROPN_ZEN	finer
Agria Gramvousa	PROPN	PROPN_VOIMA	finer
Agricultural Bank of China	PROPN	PROPN_KIRJA	finer
Agricultural Bank of Greece	PROPN	PROPN_NISSE	finer
Agrologien liitto	PROPN	PROPN_HIRTTO	finer
Agronomien yhdistys	PROPN	PROPN_RÄJÄYTYS	finer
Agronomivirkamiehet ja toimihenkilöt	PROPN	PROPN_JÄRJESTÖT	finer
Agua Buena	PROPN	PROPN_KIRJA	finer
Ahdin alue	PROPN	PROPN_ASTE	finer
Ahkiolahden kanava	PROPN	PROPN_VOIMA	finer
Ahkun Heinäoja	PROPN	PROPN_VOIMA	finer
Ahkun Heinäojan kuolpuna	PROPN	PROPN_MAKKARA	finer
Ahlström Capital	PROPN	PROPN_PUNK	finer
Ahman Teirimaa	PROPN	PROPN_MAA	finer
Ahman polku	PROPN	PROPN_ALKU	finer
Aho-Laakon selkä	PROPN	PROPN_NÄLKÄ	finer
Aholammin kämppä	PROPN	PROPN_SEPPÄ	finer
Aholan Rana	PROPN	PROPN_KIRJA	finer
Ahon Haaponeva	PROPN	PROPN_KIRJA	finer
Ahon Koukku	PROPN	PROPN_TIKKU	finer
Ahon Matin saaret	PROPN	PROPN_SAARET	finer
Ahonmuorin suo	PROPN	PROPN_VUO	finer
Ahtaus- ja Huolinta-alan Tekniset	PROPN	PROPN_VIHKIÄISET	finer
Ahtolan satama	PROPN	PROPN_VOIMA	finer
Ahvenanmaan rauhaninstituutti	PROPN	PROPN_KORTTI	finer
Ahvenjoen Latvajärvi	PROPN	PROPN_KIVI	finer
Ahvenlammen luontopolku	PROPN	PROPN_ALKU	finer
Aigaio Pelagos	PROPN	PROPN_PUNK	finer
Aigaío Pélagos	PROPN	PROPN_PUNK	finer
Aijalan Metsäkulma	PROPN	PROPN_VOIMA	finer
Aikion Oulan Kontturimaa	PROPN	PROPN_MAA	finer
Aikon Haminakari	PROPN	PROPN_RUUVI	finer
Aikon Koivukari	PROPN	PROPN_RUUVI	finer
