new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics	suffix_regex	deletion
ADJ_AAKKOSELLINEN	ADJ	ADJECTIVE	38	None	False	strengthen	back	None	None	False	False	nen	nen
ADJ_AAVA	ADJ	ADJECTIVE	9	None	False	weaken	back	a	None	False	False	a	a
ADJ_ABNORMAALI	ADJ	ADJECTIVE	6	None	False	weaken	back	None	None	False	False	i	i
ADJ_ABNORMI	ADJ	ADJECTIVE	5	None	False	weaken	back	None	None	False	False	i	i
ADJ_AHNE	ADJ	ADJECTIVE	48	None	False	strengthen	back	None	None	False	False	e
ADJ_AIEMPI	ADJ	ADJECTIVE	16	H	False	weaken	back	None	None	False	False	mpi	pi
ADJ_AINOA	ADJ	ADJECTIVE	15	None	False	weaken	back	a	None	False	False	oa	a
ADJ_AINUT	ADJ	ADJECTIVE	44	None	False	strengthen	back	None	None	False	False	ut	t
ADJ_ALASTON	ADJ	ADJECTIVE	34	None	False	strengthen	back	None	None	False	False	ton	n
ADJ_AUTIO	ADJ	ADJECTIVE	3	None	False	weaken	back	None	None	False	False	io
ADJ_AUTUAS	ADJ	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False	as	s
ADJ_AVOIN	ADJ	ADJECTIVE	33	None	False	strengthen	back	None	None	False	False	n	n
ADJ_BEIGE	ADJ	ADJECTIVE	8	None	False	weaken	front	None	None	False	False	e
ADJ_CHIC	ADJ	ADJECTIVE	5	None	False	weaken	front	None	None	False	False	[clkhmrd]	
ADJ_COOL	ADJ	ADJECTIVE	5	None	False	weaken	back	None	None	False	False	[clkhmrd]	
ADJ_EHTA	ADJ	ADJECTIVE	9	F	False	weaken	back	a	None	False	False	ta	ta
ADJ_EHYT	ADJ	ADJECTIVE	43	None	False	strengthen	front	None	None	False	False	yt	t
ADJ_ENSIMMÄINEN	ADJ	NUMERAL	38	None	False	strengthen	front	None	None	False	False	inen	nen
ADJ_GAY	ADJ	ADJECTIVE	21	None	False	weaken	both	None	None	False	False	ay
ADJ_HAILAKKA	ADJ	ADJECTIVE	14	A	False	weaken	back	a	None	False	False	kka	ka
ADJ_HALPA	ADJ	ADJECTIVE	9	E	False	weaken	back	a	None	False	False	pa	pa
ADJ_HAPAN	ADJ	ADJECTIVE	33	B	False	strengthen	back	None	None	False	False	pan	an
ADJ_HAPERA	ADJ	ADJECTIVE	11	None	False	weaken	back	a	None	False	False	a	a
ADJ_HARMAJA	ADJ	ADJECTIVE	12	None	False	weaken	back	a	None	False	False	a	a
ADJ_HARRAS	ADJ	ADJECTIVE	41	K	False	strengthen	back	None	None	False	False	rras	ras
ADJ_HELLE	ADJ	ADJECTIVE	48	I	False	strengthen	front	None	None	False	False	lle	le
ADJ_HIDAS	ADJ	ADJECTIVE	41	F	False	strengthen	back	None	None	False	False	das	das
ADJ_HOIKKA	ADJ	ADJECTIVE	10	A	False	weaken	back	a	None	False	False	kka	ka
ADJ_HUPAKKO	ADJ	ADJECTIVE	4	A	False	weaken	back	None	None	False	False	kko	ko
ADJ_HURTTI	ADJ	ADJECTIVE	5	C	False	weaken	back	None	None	False	False	tti	ti
ADJ_HÄPÄISTY	ADJ	ADJECTIVE	1	None	False	weaken	front	None	None	False	False	y
ADJ_HÖLÖ	ADJ	ADJECTIVE	1	None	False	weaken	front	None	None	False	False	ö
ADJ_HÖMPPÄ	ADJ	ADJECTIVE	10	B	False	weaken	front	ä	None	False	False	ppä	pä
ADJ_HÖPPÄNÄ	ADJ	ADJECTIVE	12	None	False	weaken	front	ä	None	False	False	ä	ä
ADJ_IKÄLOPPU	ADJ	ADJECTIVE	1	B	False	weaken	back	None	None	False	False	ppu	pu
ADJ_JÄREÄ	ADJ	ADJECTIVE	15	None	False	weaken	front	ä	None	False	False	eä	ä
ADJ_KADE	ADJ	ADJECTIVE	48	F	False	strengthen	back	None	None	False	False	de	de
ADJ_KELPO	ADJ	ADJECTIVE	1	E	False	weaken	back	None	None	False	False	po	po
ADJ_KOHELO	ADJ	ADJECTIVE	2	None	False	weaken	back	None	None	False	False	o
ADJ_KOLKKO	ADJ	ADJECTIVE	1	A	False	weaken	back	None	None	False	False	kko	ko
ADJ_KOLMAS	ADJ	ADJECTIVE	45	None	False	strengthen	back	None	None	False	False	s	s
ADJ_KORKEA	ADJ	ADJECTIVE	15	None	False	weaken	back	a	None	False	False	ea	a
ADJ_KULTA	ADJ	ADJECTIVE	10	I	False	weaken	back	a	None	False	False	lta	ta
ADJ_KULUNUT	ADJ	ADJECTIVE	47	None	False	strengthen	back	u	None	False	False	ut	ut
ADJ_KYLMÄJÄRKINEN	ADJ	ADJECTIVE	38	None	False	strengthen	front	None	None	False	False	nen	nen
ADJ_KYMMENTÄ	ADJ	NUMERAL	99	None	False	False	both	None	None	False	False	.
ADJ_KYVYTÖN	ADJ	ADJECTIVE	34	C	False	strengthen	front	None	None	False	False	tön	ön
ADJ_KYYTTÖ	ADJ	ADJECTIVE	1	C	False	weaken	front	None	None	False	False	ttö	tö
ADJ_KÄYPÄ	ADJ	ADJECTIVE	10	E	False	weaken	front	ä	None	False	False	pä	pä
ADJ_KÖKKÖ	ADJ	ADJECTIVE	1	A	False	weaken	front	None	None	False	False	kkö	kö
ADJ_LAKO	ADJ	ADJECTIVE	1	D	False	weaken	back	None	None	False	False	ko	ko
ADJ_LATUSKA	ADJ	ADJECTIVE	13	None	False	weaken	back	a	None	False	False	a	a
ADJ_LENKO	ADJ	ADJECTIVE	1	G	False	weaken	back	None	None	False	False	nko	ko
ADJ_LÄHEMPI	ADJ	ADJECTIVE	16	H	False	weaken	front	None	None	False	False	mpi	pi
