new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics
ADJ_AAKKOSELLINEN	ADJ	ADJECTIVE	38	None	False	strengthen	back	None	None	False	False
ADJ_AAVA	ADJ	ADJECTIVE	9	None	False	weaken	back	a	None	False	False
ADJ_ABNORMAALI	ADJ	ADJECTIVE	6	None	False	weaken	back	None	None	False	False
ADJ_ABNORMI	ADJ	ADJECTIVE	5	None	False	weaken	back	None	None	False	False
ADJ_AHNE	ADJ	ADJECTIVE	48	None	False	strengthen	back	None	None	False	False
ADJ_AIEMPI	ADJ	ADJECTIVE	16	H	False	weaken	back	None	None	False	False
ADJ_AINOA	ADJ	ADJECTIVE	15	None	False	weaken	back	a	None	False	False
ADJ_AINUT	ADJ	ADJECTIVE	44	None	False	strengthen	back	None	None	False	False
ADJ_ALASTON	ADJ	ADJECTIVE	34	None	False	strengthen	back	None	None	False	False
ADJ_AUTIO	ADJ	ADJECTIVE	3	None	False	weaken	back	None	None	False	False
ADJ_AUTUAS	ADJ	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False
ADJ_AVOIN	ADJ	ADJECTIVE	33	None	False	strengthen	back	None	None	False	False
ADJ_BEIGE	ADJ	ADJECTIVE	8	None	False	weaken	front	None	None	False	False
ADJ_EHTA	ADJ	ADJECTIVE	9	F	False	weaken	back	a	None	False	False
ADJ_EHYT	ADJ	ADJECTIVE	43	None	False	strengthen	front	None	None	False	False
ADJ_GAY	ADJ	ADJECTIVE	21	None	False	weaken	front	None	None	False	False
ADJ_HAILAKKA	ADJ	ADJECTIVE	14	A	False	weaken	back	a	None	False	False
ADJ_HALPA	ADJ	ADJECTIVE	9	E	False	weaken	back	a	None	False	False
ADJ_HAPAN	ADJ	ADJECTIVE	33	B	False	strengthen	back	None	None	False	False
ADJ_HAPERA	ADJ	ADJECTIVE	11	None	False	weaken	back	a	None	False	False
ADJ_HARMAJA	ADJ	ADJECTIVE	12	None	False	weaken	back	a	None	False	False
ADJ_HARRAS	ADJ	ADJECTIVE	41	K	False	strengthen	back	None	None	False	False
ADJ_HELLE	ADJ	ADJECTIVE	48	I	False	strengthen	front	None	None	False	False
ADJ_HIDAS	ADJ	ADJECTIVE	41	F	False	strengthen	back	None	None	False	False
ADJ_HOIKKA	ADJ	ADJECTIVE	10	A	False	weaken	back	a	None	False	False
ADJ_HUPAKKO	ADJ	ADJECTIVE	4	A	False	weaken	back	None	None	False	False
ADJ_HURTTI	ADJ	ADJECTIVE	5	C	False	weaken	back	None	None	False	False
ADJ_HÄPÄISTY	ADJ	ADJECTIVE	1	None	False	weaken	front	None	None	False	False
ADJ_HÖLÖ	ADJ	ADJECTIVE	1	None	False	weaken	front	None	None	False	False
ADJ_HÖMPPÄ	ADJ	ADJECTIVE	10	B	False	weaken	front	ä	None	False	False
ADJ_HÖPPÄNÄ	ADJ	ADJECTIVE	12	None	False	weaken	front	ä	None	False	False
ADJ_IKÄLOPPU	ADJ	ADJECTIVE	1	B	False	weaken	back	None	None	False	False
ADJ_JÄREÄ	ADJ	ADJECTIVE	15	None	False	weaken	front	ä	None	False	False
ADJ_KADE	ADJ	ADJECTIVE	48	F	False	strengthen	back	None	None	False	False
ADJ_KELPO	ADJ	ADJECTIVE	1	E	False	weaken	back	None	None	False	False
ADJ_KOHELO	ADJ	ADJECTIVE	2	None	False	weaken	back	None	None	False	False
ADJ_KOLKKO	ADJ	ADJECTIVE	1	A	False	weaken	back	None	None	False	False
ADJ_KOLMAS	ADJ	ADJECTIVE	45	None	False	strengthen	back	None	None	False	False
ADJ_KORKEA	ADJ	ADJECTIVE	15	None	False	weaken	back	a	None	False	False
ADJ_KULTA	ADJ	ADJECTIVE	10	I	False	weaken	back	a	None	False	False
ADJ_KULUNUT	ADJ	ADJECTIVE	47	None	False	strengthen	back	u	None	False	False
ADJ_KYLMÄJÄRKINEN	ADJ	ADJECTIVE	38	None	False	strengthen	front	None	None	False	False
ADJ_KYVYTÖN	ADJ	ADJECTIVE	34	C	False	strengthen	front	None	None	False	False
ADJ_KYYTTÖ	ADJ	ADJECTIVE	1	C	False	weaken	front	None	None	False	False
ADJ_KÄYPÄ	ADJ	ADJECTIVE	10	E	False	weaken	front	ä	None	False	False
ADJ_KÖKKÖ	ADJ	ADJECTIVE	1	A	False	weaken	front	None	None	False	False
ADJ_LAKO	ADJ	ADJECTIVE	1	D	False	weaken	back	None	None	False	False
ADJ_LATUSKA	ADJ	ADJECTIVE	13	None	False	weaken	back	a	None	False	False
ADJ_LENKO	ADJ	ADJECTIVE	1	G	False	weaken	back	None	None	False	False
ADJ_LÄHEMPI	ADJ	ADJECTIVE	16	H	False	weaken	front	None	None	False	False
ADJ_LÄHTEISYYS	ADJ	ADJECTIVE	40	None	False	strengthen	front	None	None	False	False
ADJ_LÄMMIN	ADJ	ADJECTIVE	35	H	False	strengthen	front	None	None	False	False
ADJ_LÄNTÄ	ADJ	ADJECTIVE	10	J	False	weaken	front	ä	None	False	False
ADJ_LÄTYSKÄ	ADJ	ADJECTIVE	13	None	False	weaken	front	ä	None	False	False
ADJ_LÖPERÖ	ADJ	ADJECTIVE	2	None	False	weaken	front	None	None	False	False
ADJ_LÖRPPÖ	ADJ	ADJECTIVE	1	B	False	weaken	front	None	None	False	False
ADJ_MARTO	ADJ	ADJECTIVE	1	K	False	weaken	back	None	None	False	False
ADJ_MATALA	ADJ	ADJECTIVE	10	None	False	weaken	back	a	None	False	False
ADJ_MATTA	ADJ	ADJECTIVE	9	C	False	weaken	back	a	None	False	False
ADJ_MELTO	ADJ	ADJECTIVE	1	I	False	weaken	back	None	None	False	False
ADJ_MIETO	ADJ	ADJECTIVE	1	F	False	weaken	back	None	None	False	False
ADJ_MUU	ADJ	ADJECTIVE	18	None	False	weaken	back	u	None	False	False
ADJ_MYKKÄ	ADJ	ADJECTIVE	10	A	False	weaken	front	ä	None	False	False
ADJ_MYKKÄ	ADJ	ADJECTIVE	10	D	False	weaken	front	ä	None	False	False
ADJ_MÄRKÄ	ADJ	ADJECTIVE	10	D	False	weaken	front	ä	None	False	False
ADJ_MÄTÄ	ADJ	ADJECTIVE	10	F	False	weaken	front	ä	None	False	False
ADJ_NELJÄS	ADJ	ADJECTIVE	45	None	False	strengthen	front	None	None	False	False
ADJ_OHUT	ADJ	ADJECTIVE	43	None	False	strengthen	back	None	None	False	False
ADJ_OIKEE	ADJ	ADJECTIVE	15	None	False	weaken	back	None	None	False	False
ADJ_OPAAKKI	ADJ	ADJECTIVE	5	A	False	weaken	back	None	None	False	False
ADJ_PAHIN	ADJ	ADJECTIVE	36	None	False	strengthen	back	None	None	False	False
ADJ_PANTU	ADJ	ADJECTIVE	1	J	False	weaken	back	None	None	False	False
ADJ_PARANNELTU	ADJ	ADJECTIVE	1	I	False	weaken	back	None	None	False	False
ADJ_PARAS	ADJ	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False
ADJ_PEEAA	ADJ	ADJECTIVE	18	None	False	weaken	back	a	None	False	False
ADJ_PIENI	ADJ	ADJECTIVE	26	None	False	weaken	front	None	None	False	False
ADJ_PINKKI	ADJ	ADJECTIVE	5	A	False	weaken	front	None	None	False	False
ADJ_PITKÄ	ADJ	ADJECTIVE	1010	None	False	weaken	front	ä	None	False	False
ADJ_POHATTA	ADJ	ADJECTIVE	14	C	False	weaken	back	a	None	False	False
ADJ_POPPA	ADJ	ADJECTIVE	10	B	False	weaken	back	a	None	False	False
ADJ_RAAKA	ADJ	ADJECTIVE	9	D	False	weaken	back	a	None	False	False
