new_para	deletion
A_AAKKOSELLINEN	nen
A_AAVA	a
A_ABNORMAALI	i
A_ABNORMI	i
A_AHNE	
A_AIEMPI	pi
A_AINOA	a
A_AINUT	t
A_ALASTON	n
A_AUTIO	
A_AUTUAS	s
A_AVOIN	n
A_BEIGE	
A_EHTA	ta
A_EHYT	t
A_GAY	
A_HAILAKKA	ka
A_HALPA	pa
A_HAPAN	an
A_HAPERA	a
A_HARMAJA	a
A_HARRAS	ras
A_HELLE	le
A_HIDAS	das
A_HOIKKA	ka
A_HUPAKKO	ko
A_HURTTI	ti
A_HÄPÄISTY	
A_HÖLÖ	
A_HÖMPPÄ	pä
A_HÖPPÄNÄ	ä
A_IKÄLOPPU	pu
A_JÄREÄ	ä
A_KADE	de
A_KELPO	po
A_KOHELO	
A_KOLKKO	ko
A_KORKEA	a
A_KULTA	ta
A_KULUNUT	ut
A_KYLMÄJÄRKINEN	nen
A_KYVYTÖN	ön
A_KYYTTÖ	tö
A_KÄYPÄ	pä
A_KÖKKÖ	kö
A_LAKO	ko
A_LATUSKA	a
A_LENKO	ko
A_LÄHEMPI	pi
A_LÄHTEISYYS	s
A_LÄMMIN	min
A_LÄNTÄ	tä
A_LÄTYSKÄ	ä
A_LÖPERÖ	
A_LÖRPPÖ	pö
A_MARTO	to
A_MATALA	a
A_MATTA	ta
A_MELTO	to
A_MENTY	ty
A_MIETO	to
A_MUU	u
A_MYKKÄ	kä
A_MÄRKÄ	kä
A_MÄTÄ	tä
A_OHUT	t
A_OIKEE	e
A_OPAAKKI	ki
A_PAHIN	n
A_PANTU	tu
A_PARANNELTU	tu
A_PARAS	as
A_PEEAA	a
A_PIENI	i
A_PIERTY	ty
A_PINKKI	ki
A_PITKÄ	tkä
A_POHATTA	ta
A_POPPA	pa
A_PURTU	tu
A_RAAKA	ka
A_RAITIS	is
A_RAMPA	pa
A_REHTI	ti
A_REIPAS	as
A_RIETAS	as
A_RIIVIÖ	
A_RUMA	a
A_RÄVÄKKÄ	kä
A_SANKA	ka
A_SIPPI	pi
A_SISIN	n
A_STYDI	i
A_SUIPPO	po
A_SUOLISTETTAVA	a
A_SUURI	i
A_SYMPPIS	s
A_SYYPÄÄ	ä
A_SÄIKKY	ky
A_SÄKKÄRÄ	ä
A_TARKKA	ka
A_TERVE	
A_TERÄVÄ	ä
A_TIIVIS	is
A_TOOPE	
A_TUHTI	ti
A_TUMMAHKO	
A_TURTA	ta
A_TYHMÄ	ä
A_TYVEN	
A_TYYLIKÄS	äs
A_TYÖLLISTETTÄVÄ	ä
A_TYÖLÄS	s
A_TÄYSI	si
A_UUSI	si
A_VALKAISTU	
A_VALMIS	is
A_VAPAA	a
A_VASEN	n
A_VELTTO	to
A_VENTO	to
A_VIATON	on
A_VIHANTA	ta
A_VIIPALOITU	tu
A_VIMMATTU	tu
A_VIRKKU	ku
A_VOIMAKAS	as
A_VOIPA	pa
A_VÄHÄTELTY	ty
A_VÄNKÄ	kä
A_VÄÄRTTI	ti
A_YKSILÖITY	ty
A_YLENNETTY	ty
A_ÄLLISTYNYT	yt
A_ÖYKKÄRI	i
N_AAKKOSELLISUUS	s
N_AAKKOSTAMINEN	nen
N_AALLOT	lot
N_AAMUKAHDEKSAN	an
N_AAMUKOLME	e
N_AAMUKYMMENEN	en
N_AAMUYHDEKSÄN	än
N_AAMUYKSI	ksi
N_AARRE	re
N_AHDET	det
N_AIKA	ika
N_AIVOKUOLLUT	ut
N_AIVOT	t
N_AJATAR	ar
N_ALKEET	keet
N_ALKU	ku
N_ALLAS	las
N_ALTIS	is
N_ANTIMET	timet
N_APE	e
N_APU	pu
N_ARISTOTELES	s
N_ARKI	ki
N_ASEMA	a
N_ASKAR	
N_ASKELLIN	lin
N_ASTE	
N_ASU	
N_ASUKAS	as
N_ATERIMET	met
N_AUER	er
N_BÉBÉ	
N_BEIGNET	
N_BERNIE	
N_BESSERWISSER	
N_BIDEE	e
N_BIKINIT	t
N_BORDEAUX	
N_BRASSERIE	
N_BRIE	
N_BÄNET	t
N_CAMUS	
N_CHACHACHA	
N_COMPOUND	
N_COWBOY	
N_DIMITRIS	s
