new_para	suffix_regex
ADJ_AAKKOSELLINEN	nen
ADJ_AAVA	a
ADJ_ABNORMAALI	i
ADJ_ABNORMI	i
ADJ_AHNE	e
ADJ_AIEMPI	mpi
ADJ_AINOA	oa
ADJ_AINUT	ut
ADJ_ALASTON	ton
ADJ_ÄLLISTYNYT	yt
ADJ_AUTIO	io
ADJ_AUTUAS	as
ADJ_AVOIN	n
ADJ_BEIGE	e
ADJ_EHTA	ta
ADJ_EHYT	yt
ADJ_GAY	ay
ADJ_HAILAKKA	kka
ADJ_HALPA	pa
ADJ_HÄPÄISTY	y
ADJ_HAPAN	pan
ADJ_HAPERA	a
ADJ_HARMAJA	a
ADJ_HARRAS	rras
ADJ_HELLE	lle
ADJ_HIDAS	das
ADJ_HOIKKA	kka
ADJ_HÖLÖ	ö
ADJ_HÖMPPÄ	ppä
ADJ_HÖPPÄNÄ	ä
ADJ_HUPAKKO	kko
ADJ_HURTTI	tti
ADJ_IKÄLOPPU	ppu
ADJ_JÄREÄ	eä
ADJ_KADE	de
ADJ_KÄYPÄ	pä
ADJ_KELPO	po
ADJ_KOHELO	o
ADJ_KÖKKÖ	kkö
ADJ_KOLKKO	kko
ADJ_KOLMAS	s
ADJ_KORKEA	ea
ADJ_KULTA	lta
ADJ_KULUNUT	ut
ADJ_KYLMÄJÄRKINEN	nen
ADJ_KYVYTÖN	tön
ADJ_KYYTTÖ	ttö
ADJ_LÄHEMPI	mpi
ADJ_LÄHTEISYYS	ys
ADJ_LAKO	ko
ADJ_LÄMMIN	mmin
ADJ_LÄNTÄ	ntä
ADJ_LATUSKA	a
ADJ_LÄTYSKÄ	ä
ADJ_LENKO	nko
ADJ_LÖPERÖ	ö
ADJ_LÖRPPÖ	ppö
ADJ_MÄRKÄ	kä
ADJ_MARTO	rto
ADJ_MATALA	a
ADJ_MÄTÄ	tä
ADJ_MATTA	tta
ADJ_MELTO	lto
ADJ_MENTY	nty
ADJ_MIETO	to
ADJ_MUU	uu
ADJ_MYKKÄ	kkä
ADJ_NELJÄS	s
ADJ_OHUT	ut
ADJ_OIKEE	ee
ADJ_OPAAKKI	kki
ADJ_ÖYKKÄRI	i
ADJ_PAHIN	in
ADJ_PANTU	ntu
ADJ_PARANNELTU	ltu
ADJ_PARAS	as
ADJ_PEEAA	aa
ADJ_PIENI	i
ADJ_PIERTY	rty
ADJ_PINKKI	kki
ADJ_PITKÄ	tkä
ADJ_POHATTA	tta
ADJ_POPPA	ppa
ADJ_PURTU	rtu
ADJ_RAAKA	ka
ADJ_RAITIS	tis
ADJ_RAMPA	mpa
ADJ_RÄVÄKKÄ	kkä
ADJ_REHTI	ti
ADJ_REIPAS	pas
ADJ_RIETAS	tas
ADJ_RIIVIÖ	iö
ADJ_RUMA	a
ADJ_SÄIKKY	kky
ADJ_SÄKKÄRÄ	ä
ADJ_SANKA	nka
ADJ_SIPPI	ppi
ADJ_SISIN	in
ADJ_STYDI	i
ADJ_SUIPPO	ppo
ADJ_SUOLISTETTAVA	a
ADJ_SUURI	i
ADJ_SYMPPIS	s
ADJ_SYYPÄÄ	ää
ADJ_TARKKA	ka
ADJ_TÄYSI	si
ADJ_TERÄVÄ	ä
ADJ_TERVE	e
ADJ_TIIVIS	is
ADJ_TOOPE	e
ADJ_TUHTI	ti
ADJ_TUMMAHKO	o
ADJ_TURTA	rta
ADJ_TYHMÄ	ä
ADJ_TYÖLÄS	äs
ADJ_TYÖLLISTETTÄVÄ	ä
ADJ_TYVEN	n
ADJ_TYYLIKÄS	käs
ADJ_UUSI	si
ADJ_VÄÄRTTI	tti
ADJ_VÄHÄTELTY	lty
ADJ_VALKAISTU	u
ADJ_VALMIS	is
ADJ_VÄNKÄ	nkä
ADJ_VAPAA	aa
ADJ_VASEN	n
ADJ_VELTTO	tto
ADJ_VENTO	nto
ADJ_VIATON	ton
ADJ_VIHANTA	nta
ADJ_VIIPALOITU	tu
ADJ_VIMMATTU	ttu
ADJ_VIRKKU	kku
ADJ_VOIMAKAS	kas
ADJ_VOIPA	pa
ADJ_YKSILÖITY	ty
ADJ_YLENNETTY	tty
ADP_ALLA	a
ADP_ALLE	e
ADP_HYVILLÄÄN	än
ADP_ILKOSILLAAN	an
ADP_ISTUALLEEN	en
ADP_KOTONA	.
ADP_LISÄKSI	ksi
ADP_LÄHELLÄ	ä
ADP_MUKAAN	n
ADP_MUKAISESTI	.
ADP_NÄHDEN	den
ADP_NÄKYVIIN	n
ADP_TYKÖ	.
ADP_VALTAAN	n
ADP_VUOKSI	ksi
ADP_YLLE	e
ADV_AIKANSA	.
ADV_IKINÄ	.
ADV_JO	.
ADV_JONNE	.
ADV_KUHUN	.
ADV_LEVÄLLEEN	.
ADV_MITEN	.
ADV_NOPEASTI	.
ADV_TYHMÄSTI	.
ADV_VAAN	.
ADV_YLIPÄÄNSÄ	.
AUX_AIKOA	aikoa
AUX_JOUTUA	joutua
AUX_MAHTAA	mahtaa
AUX_OLLA	olla
AUX_PITÄÄ	pitää
AUX_SAATTAA	saattaa
AUX_TAITAA	taitaa
AUX_TARVITA	tarvita
AUX_TÄYTYÄ	täytyä
AUX_VOIDA	voida
CCONJ_JA	.
DET_SE	.
DET_YKSI	.
INTJ_HAH	.
INTJ_OO	.
NOUN_51aavameri	aavameri
NOUN_51hienosokeri	hienosokeri
NOUN_51isojako	isojako
NOUN_51isokäpylintu	isokäpylintu
NOUN_51isokoskelo	isokoskelo
NOUN_51isokuovi	isokuovi
NOUN_51isolepinkäinen	isolepinkäinen
NOUN_51isolokki	isolokki
NOUN_51isomaksaruoho	isomaksaruoho
NOUN_51isomasto	isomasto
NOUN_51isopanda	isopanda
NOUN_51isopistooli	isopistooli
NOUN_51isopurje	isopurje
NOUN_51isorokko	isorokko
NOUN_51isorumpu	isorumpu
NOUN_51isosisar	isosisar
NOUN_51isosisko	isosisko
NOUN_51isotaivot	isotaivot
NOUN_51isovarvas	isovarvas
NOUN_51isoveli	isoveli
NOUN_51isoviha	isoviha
NOUN_51karkearehu	karkearehu
NOUN_51kevytsarja	kevytsarja
NOUN_51kirjavapillike	kirjavapillike
NOUN_51kuivakakku	kuivakakku
NOUN_51kuivakukka	kuivakukka
NOUN_51kuivamuona	kuivamuona
NOUN_51kuivapaino	kuivapaino
NOUN_51kuivapari	kuivapari
NOUN_51kuivarehu	kuivarehu
NOUN_51kultainennoutaja	kultainennoutaja
NOUN_51laiskakoira	laiskakoira
NOUN_51lämminruoka	lämminruoka
NOUN_51lämminvarasto	lämminvarasto
NOUN_51lämminvaunu	lämminvaunu
NOUN_51matalameri	matalameri
NOUN_51mustaherukka	mustaherukka
NOUN_51mustaleipä	mustaleipä
NOUN_51mustaleski	mustaleski
NOUN_51mustalintu	mustalintu
NOUN_51mustamaija	mustamaija
NOUN_51mustamakkara	mustamakkara
NOUN_51mustamies	mustamies
NOUN_51mustamulta	mustamulta
NOUN_51mustapekka	mustapekka
NOUN_51mustapippuri	mustapippuri
NOUN_51mustaraamattu	mustaraamattu
NOUN_51mustatorvisieni	mustatorvisieni
NOUN_51mustaviinimarja	mustaviinimarja
NOUN_51nuoriemäntä	nuoriemäntä
NOUN_51nuoriherra	nuoriherra
NOUN_51nuori-isäntä	nuori-isäntä
NOUN_51nuorikarja	nuorikarja
NOUN_51nuorimies	nuorimies
NOUN_51nuoripari	nuoripari
NOUN_51omakuva	omakuva
NOUN_51omatunto	omatunto
NOUN_51pahahenki	pahahenki
NOUN_51pahaputki	pahaputki
NOUN_51palavakivi	palavakivi
NOUN_51palavapensas	palavapensas
NOUN_51palavarakkaus	palavarakkaus
NOUN_51pitkähousu	pitkähousu
NOUN_51pitkäkirkko	pitkäkirkko
NOUN_51pitkäperjantai	pitkäperjantai
NOUN_51pitkäpiimä	pitkäpiimä
NOUN_51pitkäsiima	pitkäsiima
NOUN_51pitkätakki	pitkätakki
NOUN_51pitkäthousut	pitkäthousut
NOUN_51puolikuu	puolikuu
NOUN_51puolimatka	puolimatka
NOUN_51puolipäivä	puolipäivä
NOUN_51puoliväli	puoliväli
NOUN_51puoliyö	puoliyö
NOUN_51raitisilma	raitisilma
NOUN_51raskassarja	raskassarja
NOUN_51raskasvesi	raskasvesi
NOUN_51raskasvety	raskasvety
NOUN_51särkynytsydän	särkynytsydän
NOUN_51sepiväpeippi	sepiväpeippi
NOUN_51suorakulma	suorakulma
NOUN_51suoraommel	suoraommel
NOUN_51syvämeri	syvämeri
NOUN_51täysikuu	täysikuu
NOUN_51tyhjäpaino	tyhjäpaino
NOUN_51uusikuu	uusikuu
NOUN_51uusivuosi	uusivuosi
NOUN_51vanhaemäntä	vanhaemäntä
NOUN_51vanhaisäntä	vanhaisäntä
NOUN_51vanhakaupunki	vanhakaupunki
NOUN_51vanhapiika	vanhapiika
NOUN_51vanhapoika	vanhapoika
NOUN_51vierasmies	vierasmies
NOUN_AAKKOSELLISUUS	us
