Incoming morph	analyses	stem part	continuations...	#<- HEADERS
PCLE_AIKANSA			PCLE_BACK_POSS
PCLE_ALLE			PCLE_BACK_POSS_EN_OPT
PCLE_HAH			PCLE_COMPOUND_INTERJ	#
PCLE_HYVILLÄÄN			PCLE_FRONT_POSS_ÄN_OBL
PCLE_IKINÄ			PCLE_FRONT_POSS_ÄN_OPT
PCLE_ILKOSILLAAN			PCLE_BACK_POSS_AN_OBL
PCLE_ISTUALLEEN			PCLE_BACK_POSS_EN_OBL
PCLE_KOTONA			PCLE_BACK_POSS_AN_OPT
PCLE_JO			PCLE_BACK_CLIT_KO	#
PCLE_JONNE			PCLE_BACK_CLIT_OPT	PCLE_BACK_CLIT_KA
PCLE_KUHUN			PCLE_BACK_CLIT_OPT	PCLE_BACK_CLIT_KA_S
PCLE_LEVÄLLEEN			PCLE_FRONT_POSS_EN_OBL
PCLE_VAAN			#
PCLE_LISÄKSI		e	PCLE_FRONT_POSS_EN_OBL
PCLE_LISÄKSI		i	PCLE_FRONT_CLIT_OPT
PCLE_MITEN			PCLE_FRONT_CLIT_OPT	PCLE_FRONT_CLIT_KA_S
PCLE_NOPEASTI			PCLE_BACK_CLIT_OPT
PCLE_NÄHDEN		te	PCLE_FRONT_POSS
PCLE_NÄHDEN		den	PCLE_FRONT_CLIT_OPT
PCLE_NÄKYVIIN			PCLE_FRONT_POSS
PCLE_NÄKYVIIN		n	PCLE_FRONT_CLIT_OPT
PCLE_TYHMÄSTI			PCLE_FRONT_CLIT_OPT
PCLE_TYKÖ			PCLE_FRONT_POSS_OPT
PCLE_VALTAAN			PCLE_BACK_POSS
PCLE_VALTAAN		n	PCLE_BACK_CLIT_OPT
PCLE_VUOKSI		e	PCLE_BACK_POSS_EN_OBL
PCLE_VUOKSI		i	PCLE_BACK_CLIT_OPT
PCLE_YLIPÄÄNSÄ			PCLE_FRONT_POSS
PCLE_YLLE			PCLE_FRONT_POSS_EN_OPT
